"","x_Glc","reaction","phi","rel_phi","mu","mu_norm","opt_phi_nonzero","convergence","f.tC","f.ATPS","f.EAA","f.ENT","f.RNAp","f.DNAp","f.r","v.tC","v.ATPS","v.EAA","v.ENT","v.RNAp","v.DNAp","v.r","p.tC","p.ATPS","p.EAA","p.ENT","p.RNAp","p.DNAp","p.r","c.x_C","c.x_W","c.C","c.AA","c.NT","c.ATP","c.RNA","c.DNA","c.p","shape"
"102",1,"ATPS",0.48,6.43252221450163,0.28997883488007,0.29713156706373,TRUE,4,1.67388380498082,1.34776760997599,0.247087380429947,0.123111538575871,0.0852535784735563,0.0216508490852388,0.19220902531223,123.289282375211,99.2693166324033,18.1991281154237,9.06773409119705,6.27932027220009,1.59468514994305,14.1570835002225,3.98877090037448,23.4343684719231,8.59248534376156,0.805466637020256,2.24692058707517,0.427968005053038,9.32511248409891,1,1e-05,6.00167004279904,9.63167182653921,4.11660619833724,158.275234901262,21.6544089322833,5.49931566765066,48.8210924293065,19
"103",1,"ATPS",0.49,6.56653309397042,0.278171859739823,0.285033356423098,TRUE,4,1.68103819249744,1.36207638500057,0.241843697562428,0.121025381984892,0.0837291709197497,0.0213308827931781,0.187603948307355,118.774850156374,96.2383955653189,17.0876242237932,8.55112731794479,5.91593919406195,1.50714743946352,13.2552793555784,3.84271574035326,23.3494256630147,8.29162226213941,0.782765809883317,2.1365685687468,0.408234906833195,8.84006991909738,1,1e-05,5.75479876247585,9.47397572392924,4.05519338107883,160.379375618642,21.2672094136164,5.41804422946724,47.6514028700681,19
"104",1,"ATPS",0.5,6.7005439734392,0.266647952691472,0.273225196143437,TRUE,4,1.68809519833889,1.37619039666816,0.236654859876958,0.118939156676716,0.0822077603838556,0.0210089454444227,0.18306382407949,114.332290660684,93.2074213534485,16.0282976056923,8.05558018616496,5.56781487443338,1.42290604190438,12.3986528512777,3.69898587431625,23.2491056583716,7.99600673739219,0.760218201960828,2.03011378275523,0.389110615975233,8.37467044541925,1,1e-05,5.51873960747018,9.31701974764626,3.99350251550329,162.45548353403,20.8807711374993,5.33627214288336,46.4982113161906,19
"105",1,"EAA",0,0,7.06077121342617e-05,7.23493497789753e-05,TRUE,4,1.08147236811698,0.162944736002011,0.209835937382878,0.000363813673139139,0.000349667882609992,6.45978108136106e-06,0.262026202147731,0.0193955135708871,0.0029223093734095,0.00376327300738692,6.52476498029325e-06,6.27106929627247e-06,1.15852032212945e-07,0.00469927194583174,0.000627501909646349,0.000258410714972558,0.000665549019090463,3.48923272997573e-05,1.30824573028415,0.0181264453468984,65.2266968159216,1,1e-05,179.966106559111,0.0130199159922905,0.00195224639973775,7.37380953585288,0.0888156421829379,0.00164078439466571,66.5546553455237,19
"106",1,"EAA",0.001,0.00435798445376447,0.00588073199400067,0.00602578844618747,TRUE,-1,1.16926827304206,0.338536548020521,0.481335566176289,0.117665151930788,0.115683739991792,0.00197088819478239,0.535367250004112,1.74654294908348,0.505674048107037,0.718973787821286,0.175757134778736,0.172797488022668,0.00294392737696838,0.799681234172392,0.0565058012938773,0.0482955458377343,0.137334441646103,0.514572362593298,97.1218082142591,1.24098830967289,36.8637768257415,1,1e-05,75.297497481004,0.0234817422528079,0.0026730310301629,12.8087904393553,29.3836699579152,0.500605601474728,135.983281501045,21
"107",1,"EAA",0.01,0.0435798445376447,0.0682508623976967,0.0699343650582838,TRUE,4,1.09760707456598,0.195214152639195,0.257496802941831,0.00964675870515598,0.00842077556055432,0.00062708186014531,0.312396920402573,19.0278078708871,3.38417770454462,4.46389223181914,0.167233498646223,0.145980199292581,0.0108709149482128,5.41562524387649,0.615605548763995,0.30108145914553,0.79428168610629,0.0193304162329283,4.81184780750269,0.268748031475822,72.5379228330262,1,1e-05,162.70098970218,0.822509201422839,0.152120926251914,8.67740615761616,2.1388769923808,0.159278792476909,79.3488177822535,19
"108",1,"EAA",0.02,0.0871596890752895,0.134188186635902,0.137498125313373,TRUE,4,1.11120258127574,0.222405166884133,0.297329330076626,0.015472567272241,0.0133760617300278,0.00109782425477213,0.356939957630092,37.8740058790972,7.58041309482976,10.1341132437091,0.527363879195462,0.455907004842108,0.0374180216821667,12.1658699156785,1.22533548432373,0.678504991615718,1.81416140134774,0.0461527122414891,5.7624365856416,0.354708813661992,80.7814492492111,1,1e-05,148.464378976788,1.2229360098111,0.253665047010039,9.71990313796127,3.39751967942707,0.278847360712121,90.6627492380433,19
"109",1,"EAA",0.03,0.130739533612934,0.198494099626817,0.203390233288622,TRUE,4,1.12035308831957,0.240706170189156,0.324121886404327,0.0209328711659516,0.0179742769071368,0.00157865166359547,0.385639600999184,56.4854032926496,12.1358036496842,16.3414156308378,1.05538305933119,0.906218129425806,0.079591672309799,19.4429850867176,1.82746893005631,1.09151614939954,2.93955300860089,0.0790606913415944,6.38722495870882,0.420734726586716,85.2069001890988,1,1e-05,138.710730884157,1.57236504939673,0.350505419185695,10.4474969556491,4.56546633441275,0.400977522553249,97.9524586537926,19
"110",1,"EAA",0.04,0.174319378150579,0.261285862813436,0.267730842843975,TRUE,4,1.12753391107369,0.255067822463683,0.345198005563323,0.0263652274103524,0.0225102753247585,0.00209009521983807,0.407290152730081,74.8306023847997,16.9279864813654,22.9096211161729,1.74977074281534,1.49393064444097,0.138712532550918,27.0304663787598,2.42099007715528,1.52919750076712,4.13910247304821,0.117756230665788,6.86546219598009,0.478097319250057,87.901092996574,1,1e-05,130.912547600855,1.90538888532837,0.448273643901985,11.0335969179767,5.71760993248865,0.53088418583887,103.451698793441,19
"111",1,"EAA",0.05,0.217899222688224,0.322572906356992,0.330529616748737,TRUE,4,1.13358021508224,0.267160429118656,0.363039521352035,0.031916401775259,0.0271084963579177,0.00264352464795669,0.424840374812375,92.8782152002373,21.8893938854341,29.7451052353442,2.6150230862001,2.22109448011393,0.216593274894304,34.8086665880195,3.00488343294885,1.98565862627171,5.39655187430512,0.162232699671305,7.2601554293474,0.530988501872517,89.5689846379263,1,1e-05,124.210542488422,2.23642953863025,0.549752715423694,11.5368068525091,6.8855580749111,0.671455260580998,107.909455202343,19
