"","x_C2","kcat","phi","rel_phi","mu","mu_norm","opt_phi_nonzero","convergence","shape"
"58",1e-05,100,0.18,18,0.691014130714196,68880132429.3911,FALSE,-1,21
"59",1e-05,100,0.2,20,0.740513044435994,73814172965.935,FALSE,-1,21
"60",1e-05,100,0.22,22,0.433437105236902,43204912723.9597,FALSE,-1,21
"61",1e-05,100,0.24,24,0.397405058138617,39613246409.8906,FALSE,-1,21
"62",1e-05,100,0.26,26,0.720148025338962,71784192463.3932,FALSE,-1,21
"63",1e-05,100,0.28,28,0.626844462637778,62483714413.329,FALSE,-1,21
"64",1e-05,100,0.3,30,0.736496848685985,73413839480.9496,FALSE,-1,21
"65",0.005,100,0.001,0.1,0.753145264250069,0.997440070635227,FALSE,-1,21
"66",0.005,100,0.02,2,0.00496821770386175,0.00657973919865964,FALSE,-1,21
"67",0.005,100,0.04,4,0.729233190239356,0.965771729981145,FALSE,-1,21
"68",0.005,100,0.06,6,0.732948453935289,0.970692099343076,FALSE,-1,21
"69",0.005,100,0.08,8,0.549482674133005,0.727716236582586,FALSE,-1,21
"70",0.005,100,0.1,10,0.695235272711797,0.920746039892122,FALSE,-1,21
"71",0.005,100,0.12,12,0.741566003535707,0.98210489006241,FALSE,-1,21
"72",0.005,100,0.14,14,0.572944202218141,0.758787889477795,FALSE,-1,21
"73",0.005,100,0.16,16,0.741566003535707,0.98210489006241,FALSE,-1,21
"74",0.005,100,0.18,18,1.2366482202325e-06,1.63777500396003e-06,FALSE,-1,21
"75",0.005,100,0.2,20,0.215690776642507,0.285653556759585,FALSE,-1,21
"76",0.005,100,0.22,22,0.751092201684896,0.994721064133788,FALSE,-1,21
"77",0.005,100,0.24,24,0.0449637945537413,0.0595485260872866,FALSE,-1,21
"78",0.005,100,0.26,26,0.732767890666165,0.970452967467119,FALSE,-1,21
"79",0.005,100,0.28,28,0.741566003535707,0.98210489006241,FALSE,5,19
"80",0.005,100,0.3,30,0.750589361400381,0.994055119497722,FALSE,-1,21
"81",0.2,100,0.001,0.0412446055234392,0.756542073210388,0.880274881786012,TRUE,4,19
"82",0.2,100,0.02,0.824892110468783,0.854469123150838,0.994217946372204,TRUE,4,19
"83",0.2,100,0.04,1.64978422093757,0.849532338675407,0.988473748495579,TRUE,4,19
"84",0.2,100,0.06,2.47467633140635,0.83256060797331,0.968726283329371,TRUE,4,19
"85",0.2,100,0.08,3.29956844187513,0.815096676051163,0.948406117204239,TRUE,4,19
"86",0.2,100,0.1,4.12446055234392,0.797501999030867,0.927933822559237,TRUE,4,19
"87",0.2,100,0.12,4.9493526628127,0.779853743554951,0.907399186677234,TRUE,4,19
"88",0.2,100,0.14,5.77424477328148,0.762178336584298,0.886832958660877,TRUE,4,19
"89",0.2,100,0.16,6.59913688375027,0.744487281127151,0.86624852284077,TRUE,4,19
"90",0.2,100,0.18,7.42402899421905,0.726786385029129,0.845652636938388,TRUE,4,19
"91",0.2,100,0.2,8.24892110468783,0.70907890022413,0.825049084742934,TRUE,4,19
"92",0.2,100,0.22,9.07381321515662,0.691366786933967,0.804440147071408,TRUE,4,19
"93",0.2,100,0.24,9.8987053256254,0.673651298235913,0.78382728194246,TRUE,4,19
"94",0.2,100,0.26,10.7235974360942,0.655933272436816,0.763211464768411,TRUE,4,19
"95",0.2,100,0.28,11.548489546563,0.638213291821037,0.742593373066501,TRUE,-1,21
"96",0.2,100,0.3,12.3733816570317,0.620491771480687,0.721973489817348,TRUE,-1,21
