"","x_Glc","reaction","phi","rel_phi","mu","mu_norm","opt_phi_nonzero","convergence","f.tC","f.ATPS","f.EAA","f.ENT","f.RNAp","f.DNAp","f.r","v.tC","v.ATPS","v.EAA","v.ENT","v.RNAp","v.DNAp","v.r","p.tC","p.ATPS","p.EAA","p.ENT","p.RNAp","p.DNAp","p.r","c.x_C","c.x_W","c.C","c.AA","c.NT","c.ATP","c.rRNA","c.DNA","c.p","shape"
"11",1,"tC",0.09,9,3.00941057262905e-23,3.73891105476975e-08,FALSE,-1,0.0026604829966726,0.000892310459656226,0.00175260974915589,8.08027159432865e-06,4.98678363230314e-19,3.38098854003579e-17,0.00217505568970969,2.03364735725553e-23,6.82073446964661e-24,1.33967786643583e-23,6.17648111048445e-26,3.8118489641625e-39,2.58439479521362e-37,1.662591439522e-23,6.57944733229731e-25,2.06447395491681e-21,8.10977197703046e-21,3.87372515881673e-18,1.44476683121091e-22,7.34652903482586e-21,0.55246414518626,1,1e-05,0.00302937307333252,0.00226798509335541,0.00205238898495076,0.00262536044059273,1.266643042605e-16,8.5877108916909e-15,0.55246414518626,21
"12",1,"tC",0.1,10,3.47967835951421e-15,4.32317477839686,FALSE,-1,0.00264098282915082,0.000885472228744466,0.00174777540233147,2.10264221717473e-10,8.90855937081562e-11,6.43465479054764e-14,0.00217505592650674,2.33420178280496e-15,7.82614272287485e-16,1.54475084617515e-15,1.85839572970958e-22,7.87372599929695e-23,5.68719437250571e-26,1.92239773970245e-15,7.55182929731016e-17,3.65205174379025e-13,1.44170895452902e-12,2.77577301906635e-14,0.000104400122682778,5.65561771767983e-08,0.552359748652018,1,1e-05,0.00196471627782082,0.00196356389282146,3.07630274911984e-08,0.0019621266432933,2.26277408018717e-08,1.6344023167991e-11,0.552464205332713,21
"13",1,"tC",0.11,11,1.33139635322033e-17,0.0165413539402396,FALSE,-1,0.00264099903415845,0.000885488304043728,0.00174777771541836,1.11691562292112e-10,3.40332674480012e-13,6.37496088696766e-11,0.00217505582080078,8.93118986665989e-18,2.9944971830106e-18,5.91054158643129e-18,3.77712576351845e-25,1.1509189114784e-27,2.15585031791506e-25,7.3554879251766e-18,2.88950260391938e-19,1.3977617757748e-15,5.51780723021756e-15,5.6355631110443e-17,3.91910389350814e-12,5.50581884429328e-10,0.55246417792889,1,1e-05,0.00196417296653131,0.00196418416319855,1.20908116699807e-08,0.00196417607990824,8.6444499317923e-11,1.61924006528979e-08,0.552464178483398,21
"14",1,"tC",0.12,12,1.82219497691476e-13,226.390676137639,FALSE,-1,0.00264661490355429,0.000881624648101696,0.0017436004444629,1.10165839112171e-05,4.61410888655934e-06,6.28741761373133e-16,0.0021697424304794,1.22495268930343e-13,4.08048969344968e-14,8.07003712798247e-14,5.09888842190803e-16,2.13558273315065e-16,2.91005280155068e-26,1.00423821453667e-13,3.96308223009933e-15,8.96509992259890e-12,3.5460787634183e-11,1.30321910886698e-07,0.549089572905388,5.61162870840254e-11,0.0020248740139227,1,1e-05,0.00417381645032999,0.000723655479110921,0.00162622865610336,0.00146359360921689,0.00117198365718607,1.59700407388776e-13,0.551114577341768,21
"15",1,"tC",0.13,13,8.0488958644521e-16,1,FALSE,-1,0.00267368011631964,0.000900348442238636,0.00175766287020328,4.31675103239544e-06,8.23434044940868e-12,4.49743249619769e-11,0.00218086957464958,5.46612389910269e-16,1.84068995673831e-16,3.59340033339837e-16,8.82525020125932e-19,1.6834446592593e-24,9.19463891810171e-24,4.45861239347784e-16,1.76845184970969e-17,4.84109478442721e-14,1.89015988800193e-13,2.96929138679179e-11,8.97015130713022e-14,3.67448828163839e-13,0.553940871930607,1,1e-05,0.00348647154193752,0.00280026681983575,0.00109644124722743,0.00344643229588505,2.09152247414981e-09,1.14234785403421e-08,0.553940871960994,21
"16",1,"tC",0.14,14,2.08028956602313e-19,0.000258456513918974,FALSE,-1,0.00264640004838865,0.000886483744087573,0.00174995096306184,4.95576498122857e-06,5.35527623126559e-15,4.22362309047708e-16,0.00217505554242322,1.39834071567925e-19,4.68412292351723e-20,9.24662801295456e-20,2.6185942502566e-22,2.82969341783667e-31,2.2317351976672e-32,1.14928531900765e-19,4.52404349190346e-21,2.18579477884947e-17,8.62967584868721e-17,3.933487145574e-14,1.39872122577119e-15,8.27362260766818e-17,0.552464107775458,1,1e-05,0.00196475273741358,0.00194981445995278,0.00125876430376454,0.0019647375134987,1.36024016274146e-12,1.07280026498118e-13,0.552464107775499,21
"17",1,"tC",0.15,15,8.0488958644521e-16,1,FALSE,-1,0.00267368011631964,0.000900348442238636,0.00175766287020328,4.31675103239544e-06,8.23434044940868e-12,4.49743249619769e-11,0.00218086957464958,5.46612389910269e-16,1.84068995673831e-16,3.59340033339837e-16,8.82525020125932e-19,1.6834446592593e-24,9.19463891810171e-24,4.45861239347784e-16,1.76845184970969e-17,4.84109478442721e-14,1.89015988800193e-13,2.96929138679179e-11,8.97015130713022e-14,3.67448828163839e-13,0.553940871930607,1,1e-05,0.00348647154193752,0.00280026681983575,0.00109644124722743,0.00344643229588505,2.09152247414981e-09,1.14234785403421e-08,0.553940871960994,21
"18",1,"tC",0.16,16,8.0488958644521e-16,1,FALSE,-1,0.00267368011631964,0.000900348442238636,0.00175766287020328,4.31675103239544e-06,8.23434044940868e-12,4.49743249619769e-11,0.00218086957464958,5.46612389910269e-16,1.84068995673831e-16,3.59340033339837e-16,8.82525020125932e-19,1.6834446592593e-24,9.19463891810171e-24,4.45861239347784e-16,1.76845184970969e-17,4.84109478442721e-14,1.89015988800193e-13,2.96929138679179e-11,8.97015130713022e-14,3.67448828163839e-13,0.553940871930607,1,1e-05,0.00348647154193752,0.00280026681983575,0.00109644124722743,0.00344643229588505,2.09152247414981e-09,1.14234785403421e-08,0.553940871960994,21
"19",1,"tC",0.17,17,8.39642788654294e-20,0.000104317760198957,FALSE,-1,0.00264100163371671,0.000885487705755068,0.00174777551008507,2.89069034873914e-15,2.14787186951577e-15,7.30032957500018e-16,0.002175058144321,5.63244486049908e-20,1.88847315111137e-20,3.72746804220295e-20,6.16495415610052e-32,4.58075062052852e-32,1.55693594694194e-32,4.63873058988862e-20,1.82226157251441e-21,8.80874331986461e-18,3.4773392671684e-17,9.19744304781533e-24,5.07127352635858e-05,1.29274359772695e-05,0.552401128486294,1,1e-05,0.00196555814031819,0.00196316463524873,3.24752251773164e-15,0.00196398489931324,5.45559454857005e-13,1.85428371205005e-13,0.552464768657535,21
"20",1,"tC",0.18,18,8.0488958644521e-16,1,FALSE,-1,0.00267368011631964,0.000900348442238636,0.00175766287020328,4.31675103239544e-06,8.23434044940868e-12,4.49743249619769e-11,0.00218086957464958,5.46612389910269e-16,1.84068995673831e-16,3.59340033339837e-16,8.82525020125932e-19,1.6834446592593e-24,9.19463891810171e-24,4.45861239347784e-16,1.76845184970969e-17,4.84109478442721e-14,1.89015988800193e-13,2.96929138679179e-11,8.97015130713022e-14,3.67448828163839e-13,0.553940871930607,1,1e-05,0.00348647154193752,0.00280026681983575,0.00109644124722743,0.00344643229588505,2.09152247414981e-09,1.14234785403421e-08,0.553940871960994,21
"21",1,"tC",0.19,19,8.0488958644521e-16,1,FALSE,-1,0.00267368011631964,0.000900348442238636,0.00175766287020328,4.31675103239544e-06,8.23434044940868e-12,4.49743249619769e-11,0.00218086957464958,5.46612389910269e-16,1.84068995673831e-16,3.59340033339837e-16,8.82525020125932e-19,1.6834446592593e-24,9.19463891810171e-24,4.45861239347784e-16,1.76845184970969e-17,4.84109478442721e-14,1.89015988800193e-13,2.96929138679179e-11,8.97015130713022e-14,3.67448828163839e-13,0.553940871930607,1,1e-05,0.00348647154193752,0.00280026681983575,0.00109644124722743,0.00344643229588505,2.09152247414981e-09,1.14234785403421e-08,0.553940871960994,21
