"","x_C2","kcat","phi","rel_phi","mu","mu_norm","opt_phi_nonzero","convergence","shape"
"122",1e-05,60,0.33,33,0.418083425053719,0.670635533720465,FALSE,4,19
"123",1e-05,60,0.35,35,0.405639350440871,0.650674353440303,FALSE,4,19
"124",1e-05,60,0.37,37,0.393195275715119,0.630713172979035,FALSE,4,19
"125",1e-05,60,0.39,39,0.380751201465545,0.610751993281592,FALSE,4,19
"126",1e-05,60,0.41,41,0.368307126465011,0.590790812379554,FALSE,4,19
"127",1e-05,60,0.43,43,0.355863053909415,0.570829635399372,FALSE,4,19
"128",1e-05,60,0.45,45,0.343418979252914,0.550868455049187,FALSE,4,19
"129",1e-05,60,0.47,47,0.330974904594361,0.530907274695712,FALSE,4,19
"130",1e-05,60,0.49,49,0.318530829952217,0.510946094368558,FALSE,4,19
"131",0.005,60,0.001,0.1,0.623366619092866,0.9999243693183,FALSE,4,19
"132",0.005,60,0.01,1,0.622942278455764,0.999243696771945,FALSE,4,19
"133",0.005,60,0.03,3,0.62199929981537,0.997731092000698,FALSE,4,19
"134",0.005,60,0.05,5,0.621056320964201,0.996218486891352,FALSE,4,19
"135",0.005,60,0.07,7,0.620113342034613,0.994705881656215,FALSE,4,19
"136",0.005,60,0.09,9,0.619170363220741,0.993193276606698,FALSE,4,19
"137",0.005,60,0.11,11,0.618227384404922,0.991680671554055,FALSE,4,19
"138",0.005,60,0.13,13,0.617284405645622,0.990168066592073,FALSE,4,19
"139",0.005,60,0.15,15,0.616341426956146,0.988655461742095,FALSE,4,19
"140",0.005,60,0.17,17,0.615398448073589,0.9871428565824,FALSE,4,19
"141",0.005,60,0.19,19,0.614455469201343,0.985630251439245,FALSE,4,19
"142",0.005,60,0.21,21,0.613512490324027,0.984117646287956,FALSE,4,19
"143",0.005,60,0.23,23,0.612569511788016,0.982605041684147,FALSE,4,19
"144",0.005,60,0.25,25,0.611626532784788,0.981092436330887,FALSE,4,19
"145",0.005,60,0.27,27,0.610683553927101,0.979579831211086,FALSE,4,19
"146",0.005,60,0.29,29,0.60974057517371,0.978067226258582,FALSE,4,19
"147",0.005,60,0.31,31,0.608797596378193,0.976554621238506,FALSE,4,19
"148",0.005,60,0.33,33,0.607854617622994,0.975042016283103,FALSE,4,19
"149",0.005,60,0.35,35,0.606911638797862,0.973529411215522,FALSE,4,19
"150",0.005,60,0.37,37,0.605968659940424,0.97201680609612,FALSE,4,19
"151",0.005,60,0.39,39,0.60502568112331,0.9705042010414,FALSE,4,19
"152",0.005,60,0.41,41,0.601485289117924,0.964825160594421,FALSE,4,19
"153",0.005,60,0.43,43,0.592219220308835,0.949961727542021,FALSE,4,19
"154",0.005,60,0.45,45,0.577352960766125,0.926115190460842,FALSE,4,19
"155",0.005,60,0.47,47,0.557284941846553,0.893924661569799,FALSE,4,19
"156",0.005,60,0.49,49,0.532663541854658,0.854430185759632,FALSE,4,19
"157",0.01,60,0.001,0.00371904346360387,0.623892879694322,0.834680124631496,TRUE,4,19
"158",0.01,60,0.01,0.0371904346360387,0.628183433258429,0.840420276346934,TRUE,4,19
"159",0.01,60,0.03,0.111571303908116,0.637717996742245,0.85317616905864,TRUE,4,19
"160",0.01,60,0.05,0.185952173180193,0.647252560047289,0.865932061531176,TRUE,4,19
"161",0.01,60,0.07,0.260333042452271,0.656787123745311,0.878687954529459,TRUE,4,19
"162",0.01,60,0.09,0.334713911724348,0.666321687102398,0.891443847071621,TRUE,4,19
"163",0.01,60,0.11,0.409094780996425,0.675856250211177,0.904199739281581,TRUE,4,19
"164",0.01,60,0.13,0.483475650268503,0.685390814332664,0.916955632846401,TRUE,4,19
"165",0.01,60,0.15,0.55785651954058,0.694925377879876,0.929711525642922,TRUE,4,19
"166",0.01,60,0.17,0.632237388812657,0.704459941362075,0.942467418352465,TRUE,4,19
"167",0.01,60,0.19,0.706618258084735,0.713994504880527,0.95522331111051,TRUE,4,19
"168",0.01,60,0.21,0.780999127356812,0.723531451883989,0.967982392633213,TRUE,4,19
"169",0.01,60,0.23,0.855379996628889,0.733066015468455,0.980738285479575,TRUE,4,19
"170",0.01,60,0.25,0.929760865900966,0.742600579265681,0.993494178610579,TRUE,4,19
"171",0.01,60,0.27,1.00414173517304,0.747446601277756,0.999977468272401,TRUE,4,19
"172",0.01,60,0.29,1.07852260444512,0.741546704970604,0.992084244378934,TRUE,4,19
"173",0.01,60,0.31,1.1529034737172,0.725773081623225,0.970981375072377,TRUE,4,19
"174",0.01,60,0.33,1.22728434298928,0.701604080138583,0.938646681364535,TRUE,4,19
"175",0.01,60,0.35,1.30166521226135,0.670859032088033,0.897514170682239,TRUE,4,19
"176",0.01,60,0.37,1.37604608153343,0.635421358989389,0.850103593704477,TRUE,4,19
"177",0.01,60,0.39,1.45042695080551,0.597007967170447,0.798711927419292,TRUE,4,19
"178",0.01,60,0.41,1.52480782007759,0.557037640344001,0.745237303068065,TRUE,4,19
"179",0.01,60,0.43,1.59918868934966,0.516594558979647,0.691130200242625,TRUE,4,19
"180",0.01,60,0.45,1.67356955862174,0.476456297151342,0.637430902693731,TRUE,4,19
"181",0.01,60,0.47,1.74795042789382,0.437143766025267,0.584836315629411,TRUE,4,19
"182",0.01,60,0.49,1.82233129716589,0.399026274822335,0.533840522371615,TRUE,4,19
"183",0.02,60,0.001,0.00563275992752128,0.624814248462487,0.73099005286597,TRUE,4,19
