"","convergence","mu","x_C","x_W","C","I","AA","NT","ADP","ATP","rRNA","DNA","p","tau tC","tau FERM","tau RESP","tau ADPS","tau EAA","tau ENT","tau RNAp","tau DNAp","tau INH","tau r","v tC","v FERM","v RESP","v ADPS","v EAA","v ENT","v RNAp","v DNAp","v INH","v r","p tC","p FERM","p RESP","p ADPS","p EAA","p ENT","p RNAp","p DNAp","p INH","p r","f tC","f FERM","f RESP","f ADPS","f EAA","f ENT","f RNAp","f DNAp","f INH","f r"
"11",4,0.861929500461761,0.0497350220760971,0.001,9.47164257297132,10.2468237398611,14.9944986166942,4.61823034376687,3.01483556747423,19.2932417246704,45.0658470332101,7.10948155056522,140.18539898937,0.0514641980660138,0.00609100981492259,0.015464959990872,0.0423879149075559,0.153228517200568,0.00999509373068636,0.288028773811818,0.132013187997083,0.0909090909090909,0.117715275962213,429.696298321999,1053.83102542631,1.63458801323435e-16,19.2279899166805,167.844148521573,200.529511154537,38.8435830212209,6.12787188142079,8.50735632524295e-17,604.1496546147,22.1139754050763,6.41889511914161,2.52788382262281e-18,0.815034400431594,25.7185099987526,2.00431125975831,11.1880695880598,0.808959902704042,7.73396029567541e-18,71.1176433154453,1.96271006970155,4.81355034577975,7.46625550631203e-19,0.0878270759533248,0.766656361086248,0.915952248954222,0.177424594618937,0.027990084844745,3.88587800064804e-19,2.75955509821594
"12",4,0.831337433366399,0.0368407570934053,0.001,9.28962323714018,10.3861836827921,15.216672210427,4.55996494211726,2.99782928756128,18.9215564385807,44.8010500683641,7.02670399085181,140.800416246638,0.0634937614062126,0.00615434134850449,0.0155142249703893,0.0424843181749441,0.152892757871748,0.00998237345867225,0.289908314778006,0.132874644273253,0.0909090909090909,0.118151107282421,414.59660478493,1017.18448311506,7.13170470173192e-16,18.2224058705389,162.252659608442,191.469492524979,37.2447899759533,5.84156206078017,6.66766558242612e-17,585.263283297005,26.3242979040402,6.2601005234922,1.10642871165052e-17,0.774166488916947,24.8072565995605,1.9113199803268,10.7975742961894,0.776195480826296,6.06151416584193e-18,69.1495049732861,1.96342668099136,4.81713340290025,3.37739844724386e-18,0.0862967941974094,0.768388349688201,0.906752023245427,0.176382086883323,0.0276641889403615,3.1576410306723e-19,2.77166173713855
"13",4,0.793491614151119,0.0272894496988187,0.001,9.06062854829304,10.5694948390297,15.5101001044119,4.48254099478414,2.97425790029486,18.4565931277672,44.4371207478284,6.91574262568475,141.593520945762,0.0797336719154811,0.00623865580385163,0.0155795561921501,0.0426162980274875,0.152464590016247,0.00996678502266819,0.292501533298725,0.134063202761916,0.0909090909090909,0.118754879983498,395.904206953092,971.786685452707,2.42222316379884e-17,17.0052005748891,155.315468713023,180.323899158441,35.2604826704226,5.4875837791083,2.79702469511123e-17,561.766357442964,31.5668961471566,6.06264264530527,3.77371618903316e-19,0.724698695716675,23.6801092605123,1.79724953736147,10.3137452459517,0.735683056851594,2.54274972282839e-18,66.7124963569062,1.96432823275362,4.82164116703863,1.20181631392556e-19,0.0843734292443386,0.770617121056509,0.894699576150525,0.174949294282789,0.0272273331719872,1.38777878078145e-19,2.78727403436539
"14",4,0.748928239090964,0.0202144071843102,0.001,8.52555239725144,9.4916765640444,14.5584251810837,4.15458237471125,2.75950948174219,17.9721601814652,43.0691083611204,6.4303286207763,147.03865665812,0.101657551102993,0.0065480218761785,0.0158034286337075,0.0432298982511737,0.155219350053096,0.0102611543918588,0.304920763226458,0.139755349812127,0.0909090909090909,0.121899490356869,363.511233845813,813.620884260891,105.59284399102,15.5265328542815,148.879389489662,163.851597326995,32.2556714841118,4.81585469073422,3.52442437222827e-17,550.607011046332,36.9536618311929,5.32760734905601,1.66872897424229,0.671210435484093,23.1089620728872,1.68130653752498,9.83542396731726,0.673041456947932,3.20402215657116e-18,67.1187140334671,1.91092619458608,4.27708779106368,0.555086370807642,0.081620746705541,0.782637505311461,0.861344245250293,0.169563418744568,0.0253162544125051,1.85273912513671e-19,2.89446174523858
"15",4,0.699717152886412,0.0149736349513409,0.001,7.92535609421535,8.33347418663987,13.4214570241394,3.78267057268259,2.5101531707847,17.4166266936897,41.298041269718,5.86582858691498,153.446393763339,0.131254788006135,0.00696745552899851,0.0160999192989672,0.0440544770576957,0.158973838909402,0.0106653274602413,0.322204950929294,0.147677269175926,0.0909090909090909,0.126263266639314,328.530329232218,647.108463537706,213.804787384268,13.9431096729643,141.555936407078,145.85669968111,28.8969478570327,4.10442087815588,3.90434954853835e-16,536.845368823855,43.1211787169605,4.50869944213752,3.44223982261955,0.614256405200541,22.5036906310484,1.55560946436911,9.31073966628158,0.606129666834718,3.54940868048941e-17,67.7838499478874,1.84849905094466,3.64100137574269,1.20298770433425,0.0784518892302141,0.796474452497534,0.82067300015968,0.162590713660307,0.023093813334311,2.19680978979811e-18,3.02059830242794
"16",4,0.646546662610329,0.0110915814454377,0.001,7.31482068964475,7.31346313153336,12.3407179898717,3.41650440976458,2.26283990217227,16.7834443318073,39.2991535321847,5.29714267299703,159.971913746724,0.171211057825376,0.00748563934240845,0.0164573309877322,0.0450417012874689,0.163265160887141,0.0111390369867639,0.343764141235177,0.15755856473279,0.0909090909090909,0.131618622439856,293.465010119268,494.95417722549,302.513221081964,12.3143115066072,133.086570728286,127.520080902282,25.4087365596449,3.42484991659699,2.41046212670931e-15,517.146534721659,50.2444548172547,3.70504846172854,4.9785602075109,0.554657540441442,21.7284003818716,1.42045089772565,8.73461250329719,0.539614437284235,2.19132920609937e-16,68.0661144996097,1.78699252877284,3.01391779697141,1.84208967777376,0.0749853709999194,0.810402260476608,0.77650630904268,0.154721076898365,0.0208548924133741,1.46779945233294e-17,3.1490534202111
"17",4,0.590361168022792,0.00821598625587976,0.001,6.70237969998827,6.41402227941421,11.323493506964,3.06370910890171,2.02158316719558,16.0833329945344,37.1159457303875,4.7384441869624,166.53709009005,0.225152022081352,0.00812982402861684,0.0168893623292242,0.0462160886837155,0.168181642978581,0.0116949209275276,0.370620550044443,0.169867752103703,0.0909090909090909,0.138127520912767,258.944214029778,359.95020690297,370.024355201244,10.6884394521936,123.605152306896,109.430414290279,21.9118130736621,2.79739344482593,5.42721658627017e-16,491.585155123394,58.3018133950711,2.92633184118536,6.24947540563137,0.493977865613104,20.7881175955915,1.2797800421914,8.12096821383167,0.475186936222214,4.93383326024561e-17,67.9014387947123,1.72685038377507,2.40044040087657,2.46762300590315,0.0712791974871259,0.82429957161813,0.729770903056758,0.146125770592077,0.0186552920746551,3.61930892333176e-18,3.27828917500099
"18",4,0.532341641634139,0.00608591574509611,0.001,6.09621674760329,5.62040375234476,10.3736438552996,2.73036933104554,1.78983012162781,15.3300608322991,34.8000111631877,4.20218250520374,173.057281816321,0.29797232382692,0.00893693765424753,0.0174136805931466,0.0476045581065026,0.173826451460292,0.0123482386799329,0.404055495059442,0.185192101902244,0.0909090909090909,0.145978632403758,225.613279784637,244.13749237858,415.710042673427,9.11363085501087,113.312726074366,92.145917505092,18.5254950714977,2.23699673326642,9.62406989853391e-16,460.627987494212,67.2265132636414,2.1818415484517,7.23904190247842,0.43385036959858,19.6967490787992,1.13783978273428,7.48532808233526,0.414274126982062,8.74915445321265e-17,67.2418436613005,1.66855490821267,1.80555334143391,3.0744423943403,0.067401145487901,0.83802028601694,0.681478160645714,0.137007917965306,0.0165440256110384,7.11761696009619e-18,3.4066394058331
"19",4,0.473819853717997,0.00450808573710823,0.001,5.50360486062514,4.92006240556098,9.49232799990474,2.42075603893967,1.57022767407874,14.5391946049287,32.4062015783688,3.69815684698423,179.449468236523,0.396279731183436,0.00995848405223991,0.0180537960817517,0.0492367276871926,0.18032037294683,0.0131175345042404,0.445685568517079,0.204272552236994,0.0909090909090909,0.155393523572808,194.073407652708,148.519018363649,440.193610190885,7.63296410772074,102.46783835779,76.1380241401793,15.3547016914186,1.75226013626427,2.72083911417896e-17,425.133603948007,76.9073578144686,1.47902427582873,7.94716567487632,0.375822175217961,18.4770388277322,0.99874315874349,6.84336895275005,0.357938650217847,2.47349010379905e-18,66.0630087066874,1.61257179932467,1.23405665708298,3.65760466939908,0.063422922358297,0.851413640189281,0.63263706279875,0.127583470780979,0.0145596726259222,2.26076744830284e-19,3.53246984717564
"20",4,0.416170532075116,0.00333932276822832,0.001,4.93049675388693,4.30218994635893,8.67868979421982,2.13733532936685,1.3645075440854,13.7267339471377,29.9879002787085,3.23311866988369,185.639027902889,0.528994731114732,0.011268664184426,0.0188420876834441,0.0511453763649473,0.187805066749744,0.0140254850004049,0.497563237454248,0.22804981716653,0.0909090909090909,0.166634663920834,164.829999147843,72.9499005199239,445.327038274714,6.28053000107643,91.3671255227456,61.7518679830444,12.4800804148056,1.34552871710749,1.94047581660633e-17,386.287465081264,87.1942010788551,0.822047931246305,8.39089110298063,0.321220070676397,17.1592091075315,0.866099898143172,6.20962921488006,0.306847577928679,1.76406892418757e-18,64.3688819206473,1.55930551181346,0.690112131014041,4.21283084954994,0.0594143365796189,0.864340612526378,0.584177811129947,0.118062599522474,0.0127288136609594,1.83570627435422e-19,3.65431157289152
"21",4,0.360697552821434,0.00247357242090987,0.001,4.38114206531497,3.75738436970056,7.93046431719333,1.88098954044208,1.17347794045385,12.9078704427138,27.593226796699,2.81084483212225,191.564599758671,0.708159981021982,0.0129789143450948,0.0198251716970083,0.0533670754985722,0.19644681741796,0.0150999750517576,0.562309576296862,0.257725222469395,0.0909090909090909,0.18001545050721,138.256735191199,16.2110114273942,433.973544662396,5.07910790223462,80.3195066414584,49.1889719372888,9.95280938001613,1.01386485230727,6.57930938345157e-19,345.48441170085,97.9078869691604,0.210401328763502,8.60360003489128,0.27105713488395,15.7785114562952,0.742752249074666,5.59656002544031,0.261298544614791,5.98119034859234e-20,62.192532015547,1.5090699973585,0.176942923887833,4.73681412331681,0.05543837946129,0.876686097842834,0.536896822052235,0.108634751168106,0.0110663182367018,7.18130540271726e-21,3.77095668816281
"22",4,0.307978436527707,0.00183227586734064,0.001,3.99121927814873,3.64391025215253,7.86010495415543,1.77630517378416,1.10558584796822,12.2193128808212,26.5595782021637,2.64007283595777,194.203910791739,0.950033068396772,0.0141880848367046,0.0205252462543713,0.0544587570517374,0.198571915163942,0.0154533315419189,0.595610877727229,0.272988318958313,0.0909090909090909,0.186453931654518,116.725179680691,5.40047079368341e-18,384.986567358559,4.1037814773826,69.0532136686685,40.1285530631648,8.17977736953775,0.813085504337545,4.10057783265829e-17,299.05308406603,110.892780611212,7.66223377789257e-20,7.90194409965953,0.223486838470199,13.7120288864124,0.62011983478257,4.8719643786837,0.221962844998479,3.72779802968936e-18,55.7596232975205,1.49214327041835,6.90363139635293e-20,4.92143269564453,0.0524602312157065,0.882734028410401,0.512978866844547,0.104565268512456,0.0103939875431408,5.24192777819292e-19,3.82291162975864
"23",4,0.257557956773241,0.00135724138321529,0.001,3.66663596002317,3.77285546939514,8.22525200924806,1.73612616722281,1.09709571944555,11.5287083509779,26.145737278162,2.57662784106031,195.250962349372,1.27656173635274,0.0150812578339583,0.0210701749748934,0.0549127179368225,0.196166983221897,0.0153073467004084,0.609484229423637,0.279346938485834,0.0909090909090909,0.188735169045477,97.6573963398772,4.78530125933037e-18,322.376750245941,3.25187629899754,57.9552695627251,32.6373620033232,6.73404267169335,0.663631002108541,5.30910123772869e-17,251.442194603566,124.665695439321,7.21683621051269e-20,6.7925345355195,0.17856936597229,11.3689103919316,0.499591415571604,4.10429280866292,0.185383288723307,4.82645567066244e-18,47.4559851036698,1.49278221943838,7.31476867325363e-20,4.92782214930873,0.0497078900410372,0.885899063138009,0.498891794312975,0.102935973536071,0.0101442040986626,8.1154446318609e-19,3.84352288089315
"24",4,0.211144447626197,0.00100536398756688,0.001,3.3334546634764,3.93706139352965,8.70841043106135,1.67929777971031,1.08087717263941,10.7629045771436,25.5269274078341,2.48550526565885,196.485561074219,1.71737543809329,0.016230218616786,0.0217602401456812,0.0555918815964602,0.193332447995379,0.015141689041843,0.630780797098244,0.289107865336695,0.0909090909090909,0.192206775981286,80.0941142494356,0,264.63424601943,2.50074875536316,47.7105641601933,25.7940964146197,5.38986898712117,0.524800636389542,9.34221885881596e-17,207.434176297697,137.551664547818,0,5.75850474415407,0.139021328710644,9.22400016433078,0.390566187025488,3.3998258559514,0.15172399171392,8.49292623528724e-18,39.870254254514,1.49343807998492,0,4.93438080909047,0.0466290620070196,0.889613100814068,0.480957760571865,0.100499714204071,0.00978545380180649,1.74195389087624e-18,3.867826005398
"25",4,0.170039684879269,0.00074471406486435,0.001,3.00241228793725,4.13930860864819,9.33497983436428,1.60214794226297,1.05397701872928,9.94823571554723,24.6451765815342,2.36040241583084,197.913359594518,2.31247393544305,0.017707986274065,0.022628232152682,0.0565910134119957,0.190150317765178,0.0149682765370883,0.663107554686785,0.30392429589811,0.0909090909090909,0.197404384650833,64.529855319182,1.76937879126995e-16,213.397753599545,1.87081278631105,38.6080731583577,19.8095931183457,4.190658059718,0.401362082976141,7.56841190885649e-17,168.265626494246,149.22360848352,3.133213534943e-18,4.82881390931133,0.105871191481462,7.34133737936293,0.2965154678826,2.77885701850807,0.121983688468722,6.88037446259681e-18,33.2163724559836,1.49408973958697,4.0967249723453e-18,4.9408973958944,0.0433157981664428,0.893910666400925,0.458660718780737,0.0970282542580085,0.00929292289697182,1.75234959416203e-18,3.89593227548264
"26",4,0.134854852383946,0.00055164004804767,0.001,2.68313282541926,4.37529793463232,10.1199744141832,1.50334460899742,1.0142579994621,9.11789000919823,23.4659617437805,2.19908841036553,199.521053888347,3.11585690686519,0.0196069948415332,0.0237115650818895,0.0580203303448283,0.186809195914589,0.0148100335335596,0.711218915990565,0.325975336495676,0.0909090909090909,0.204992587988758,51.1987823887979,1.34951454066469e-18,169.456496358998,1.36636932404018,30.7861895200227,14.7945858509784,3.16449880700485,0.29655774295909,3.74650522279848e-17,134.531911348012,159.528079729224,2.64599246373866e-20,4.01807874196536,0.079277199553851,5.75114330950959,0.219108312568118,2.25065141117142,0.0966705100514874,3.40591383890771e-18,27.5780446743031,1.49471825330263,3.93982810315851e-20,4.94718246080642,0.0398903464907887,0.898784644442646,0.431919207640155,0.0923856761566162,0.00865782838726585,1.09377010181316e-18,3.92757980095171
