"","convergence","mu","x_C","C","AA","NT","rRNA","p","tau Cin","tau EAA","tau ENT","tau rRNAp","tau Deg","tau r","v Cin","v EAA","v ENT","v rRNAp","v Deg","v r","p Cin","p EAA","p ENT","p rRNAp","p Deg","p r","f Cin","f EAA","f ENT","f rRNAp","f Deg","f r"
"11",4,0.815949837448372,0.0345716130336078,1.13038530597963,3.0931877996099,0.80097018069007,58.820624029524,176.154834581123,0.103482142334919,0.369802221630847,0.261545338460481,0.0160606137773217,0.0132145856060505,0.544032009242816,205.089663836169,164.372282181071,53.2790807546182,92.6170130076255,39.9914837417423,143.733508642212,21.2231177845152,60.7852351250926,13.9348952088299,1.48748607512465,0.528470885418232,78.1956295021423,1.04729509923838,0.839370850577726,0.272070854876487,0.472950913345238,0.204217434221627,0.733978477421346
"12",4,0.72153593632146,0.0246940093097198,0.835133798868742,2.63377416723078,0.687736221901973,55.5377721223658,180.305583903218,0.130270744904279,0.438267026648989,0.319727524905697,0.0175288989353094,0.0135734870276132,0.582621294207108,181.581612967973,147.220895426682,44.775218856688,84.129880967132,39.8508885092562,130.096958305596,23.6547719822584,64.5220640992539,14.3158699021597,1.47470418091247,0.540915518219249,75.7972582204147,1.04858263593976,0.850159176739721,0.258564268959361,0.485826350498237,0.230127649130134,0.75127326626341
"13",4,0.624640298579366,0.0176385780783713,0.613726046588889,2.22164001253004,0.577841830799093,51.8848892502406,184.701903412078,0.166861740884829,0.530989526532396,0.404565187739095,0.0195041241230952,0.0140262265073046,0.632790123014621,157.48366358011,129.188790786495,36.5553317948058,75.6999157611231,39.5055272600393,115.372252095498,26.2779982658978,68.5978948530135,14.7890146704305,1.4764605531128,0.554113473639809,73.006421595984,1.05049567419227,0.861754564188859,0.243842548783305,0.504956718912796,0.263521844424487,0.769591264216994
"14",4,0.528419490866193,0.0125989843416938,0.448916701871257,1.85561226673465,0.474744267539693,47.8915619706795,189.3291647585,0.217489458099753,0.657777615069382,0.530535460881678,0.0221885514908356,0.0146001803632088,0.699013795365988,133.57961631803,110.864399718823,28.9371681817115,67.5893852846659,38.9030812270994,100.045220847808,29.0521583661813,72.9241204431462,15.3521938578949,1.49971055562274,0.567992002600212,69.9329895330549,1.0532952403896,0.874182362333416,0.228173896259621,0.532952405340818,0.306756610195946,0.788871519827084
"15",4,0.436221596669249,0.0089992745297813,0.327059138299675,1.5342570143136,0.380324652843127,43.5410872699534,194.21727241862,0.288242266719505,0.832775532873888,0.721200903524782,0.0259238041297551,0.0153452902821259,0.78857530010925,110.689302985565,92.9246043150427,22.1575282216493,59.9611956943829,37.9695733000496,84.7217686751971,31.9053355941612,77.3853368755549,15.9800293733293,1.5544222925671,0.582654124177716,66.80949415883,1.05727325888501,0.8875898265217,0.211642511424928,0.572732568265514,0.362674742894099,0.809238635077585
"16",-1,0.00345682034322724,0.00642805323555806,29.8652878924146,0.00465514600920258,3.31086714881033,53.8735296735034,152.96033687869,-0.0261725634452917,0.139956301865991,490.189373224262,0.00930025483410058,0.0137721398222601,92.4699560123371,0.858663932557993,0.600908373164207,0.212164343916568,0.289763153320288,0.0890438823174502,0.528756404229148,-0.0224734362530577,0.0841009136683713,104.000706764999,0.00269487116741123,0.0012263247975928,48.8940814403108,1.03498765640743,0.724302867833361,0.255731571756216,0.349265033264848,0.107328741295341,0.637334736994543
"17",-1,0.00345681846883921,0.0045914665968272,29.8652878924146,0.00465514600920258,3.31086714881033,53.8735296735034,152.96033687869,-0.0260759720278691,0.139956301865991,490.189373224262,0.00930025483410058,0.0137721398222601,92.4699560123371,0.858663466965558,0.600908047334296,0.21216422887492,0.28976299620232,0.0890438340352803,0.528756117522123,-0.022390484545947,0.0841008680664219,104.000650372806,0.00269486970617409,0.001226324132644,48.8940549285249,1.03498765640743,0.724302867833361,0.255731571756216,0.349265033264848,0.107328741295341,0.637334736994543
"18",-1,0.00345681713708796,0.00327961899773372,29.8652878924146,0.00465514600920258,3.31086714881033,53.8735296735034,152.96033687869,-0.0260073438369057,0.139956301865991,490.189373224262,0.00930025483410058,0.0137721398222601,92.4699560123371,0.858663136162494,0.600907815832397,0.212164147137919,0.289762884570126,0.0890437997308359,0.528755913817004,-0.0223315474222538,0.0841008356662723,104.000610306197,0.00269486866796624,0.0012263236601984,48.8940360919215,1.03498765640743,0.724302867833361,0.255731571756216,0.349265033264848,0.107328741295341,0.637334736994543
"19",-1,0.0034568161894333,0.00234258499838122,29.8652878924146,0.00465514600920258,3.31086714881033,53.8735296735034,152.96033687869,-0.0259585089900939,0.139956301865991,490.189373224262,0.00930025483410058,0.0137721398222601,92.4699560123371,0.858662900767883,0.60090765109904,0.212164088975067,0.289762805134293,0.0890437753202962,0.528755768863428,-0.0222896086290432,0.0841008126108008,104.000581795385,0.00269486792919275,0.00122632332401303,48.8940226880706,1.03498765640743,0.724302867833361,0.255731571756216,0.349265033264848,0.107328741295341,0.637334736994543
"20",-1,0.00345681551436293,0.00167327499884373,29.8652878924146,0.00465514600920258,3.31086714881033,53.8735296735034,152.96033687869,-0.025923721029003,0.139956301865991,490.189373224262,0.00930025483410058,0.0137721398222601,92.4699560123371,0.858662733082403,0.600907533749742,0.212164047542233,0.289762748547459,0.0890437579312275,0.528755665604437,-0.0222597331504295,0.0841007961870271,104.00056148545,0.00269486740292077,0.00122632308452835,48.8940131397163,1.03498765640743,0.724302867833361,0.255731571756216,0.349265033264848,0.107328741295341,0.637334736994543
