"","convergence","mu","x_C","x_W","C","AA","NT","ATP","RNA","DNA","p","tau tC","tau tC2","tau RESP","tau FERM","tau EAA","tau ENT","tau RNAp","tau DNAp","tau r","v tC","v tC2","v RESP","v FERM","v EAA","v ENT","v RNAp","v DNAp","v r","p tC","p tC2","p RESP","p FERM","p EAA","p ENT","p RNAp","p DNAp","p r","f tC","f tC2","f RESP","f FERM","f EAA","f ENT","f RNAp","f DNAp","f r"
"11",4,0.891277068308617,0.0725381502864057,0.001,34.4436168293331,14.6771893742058,5.49557792363781,13.980588864021,40.3282142983067,7.71278718045725,137.3620277062,0.0767285457577419,10.1,0.491018078049579,0.12178730881881,0.263872502440755,0.0599710232819897,0.299159005462261,0.224369254096696,0.525991929096313,251.087718080996,0,0,49.4066815820874,123.266305132271,47.7159255370441,35.9436126099164,6.87423034668623,122.427625350909,19.2655954659847,0,0,6.01710678755028,32.526588401878,2.86157288130376,10.7528554011034,1.54236593537486,64.3959428330055,1.1091212354756,0,0,0.218242453816071,0.544500056337741,0.210773934655125,0.158772497237428,0.0303653038600679,0.540795384670081
"12",4,0.870208504840902,0.055798577143389,0.001,33.5413046290604,14.5502465560528,5.34419347737448,13.7387891419113,39.9689715610973,7.54383358260956,139.312660544715,0.0900696901302258,10.1,0.491811124650822,0.122580355420053,0.265590770076782,0.0603615386538141,0.302761713210432,0.227071284907824,0.52951711444213,245.111677149546,1.33693661438726e-12,2.35794988828254e-14,48.157434722619,121.769704134831,45.9966097404288,34.781338982211,6.56470814269125,121.231062038025,22.0771328081596,1.35030598053113e-11,1.15966598642652e-14,5.90315546441665,32.3409094931918,2.77642613679129,10.530457778007,1.49065671300576,64.1939221511297,1.10893722318584,6.04858484905857e-15,1.06678654886281e-16,0.217874450365219,0.550911972623215,0.208098419768037,0.157358155752352,0.0297001322149982,0.548475041514627
"13",4,0.844653392526614,0.0429219824179915,0.001,32.4872638894292,14.3922303673754,5.16620049921969,13.4494779388419,39.5178034736433,7.3406383563183,141.64638538838,0.107413177814455,10.1,0.492793313250212,0.123562544019443,0.267718845375459,0.0608451921307862,0.307325648947656,0.230494236710742,0.534004741756528,237.866318792948,1.5183977391619e-14,0,46.6487143289948,119.834336167512,43.9427906383267,33.3788467692128,6.20029509097523,119.642099957427,25.5499771965767,1.53358171655352e-13,0,5.76403381772683,32.0819101151011,2.6737075391519,10.2581757444727,1.4291322843757,63.8894486909745,1.10871699366491,7.07739281918501e-17,0,0.217433988013228,0.558558965420933,0.20482142649284,0.155581903439541,0.0289001510091271,0.55766293459992
"14",4,0.814132443540686,0.0330169095523012,0.001,31.280176146693,14.1978632342162,4.96104881654861,13.109206502502,38.9575916148157,7.10032432605186,144.393789322176,0.129959711803953,10.1,0.493999423734545,0.124768654503775,0.27033208475818,0.0614391101723136,0.313080060341822,0.234810045256366,0.539684569605871,229.217837805271,4.21631785205637e-13,9.05665347485464e-15,44.8563943521151,117.359042767594,41.5361944448713,31.71663925583,5.78060439349997,117.555668532962,29.7890841414981,4.25848103057694e-12,4.47398159754165e-15,5.59667196920414,31.7259146965882,2.55194682663709,9.92984733205505,1.35734397924688,63.4429803769418,1.10845899762883,2.03894055747326e-15,4.37964563697588e-17,0.216917995548972,0.567528636315646,0.200862065974079,0.153376344940219,0.0279540327797317,0.568479485520376
"15",4,0.778323665125957,0.0253976227325394,0.001,29.9268831032715,13.9621389009405,4.72968194039636,12.7165309903127,38.271662847194,6.8214813528102,147.571620976287,0.1592702059903,10.1,0.495467307782848,0.126236538552078,0.27351250019617,0.0621619318627659,0.320298826015038,0.240224119511278,0.54682435794473,219.077636527304,5.14559949228148e-13,6.97720528326311e-15,42.7668509975045,114.239699538536,38.7782846485299,29.787740897693,5.3093203681076,114.858484906842,34.8925402975717,5.19705548720429e-12,3.45697711754663e-15,5.39873923469747,31.2459858424442,2.41053308807686,9.54097843917118,1.27542681063194,62.8074172636886,1.10816414645336,2.60280736990892e-15,3.52929165200004e-17,0.216328292031035,0.577860621179524,0.196152858820475,0.150675837981079,0.0268562257984653,0.58099063376491
"16",4,0.737145448832069,0.0195366328711841,0.001,28.4427251740735,13.6808965546642,4.47471663195326,12.2725468553595,37.4455453464815,6.50463727733345,151.17893216132,0.197373848432551,10.1,0.497237734697778,0.128006965467009,0.277348425178519,0.0630337329951179,0.329308419015287,0.246981314261465,0.555730740678881,207.425682244427,4.82697363240897e-14,1.34816030901564e-14,40.381476480415,110.381586253021,35.6961940965409,27.6028133311937,4.79486376528977,111.440861802009,40.94040516833,4.87524336873306e-13,6.70356178064394e-15,5.16911026533531,30.6141591159823,2.25006436762327,9.08983881846948,1.18424175445595,61.9311126711235,1.10783637823889,2.57803032340092e-16,7.20036698380166e-17,0.215672756468437,0.589535179133278,0.190649209668379,0.147423406875911,0.0256088081784782,0.595192646304411
"17",4,0.691535416859065,0.0150281791316801,0.001,26.0342880530315,13.3621751099572,4.20868405038216,11.8457457381894,36.5610929745003,6.16510597503202,155.822908212918,0.246908583607477,10.1,0.500540281496676,0.131309512265906,0.284503943242797,0.0646599871006356,0.340096219683671,0.255072164762754,0.565661548536981,175.649995961044,6.51832224510774e-13,18.9674586957864,1.53562880149514e-14,106.221771143299,32.4571338805773,25.2832906709441,4.26338913042408,107.757059787212,43.3694917134005,6.58350546755882e-12,9.49397711486551,2.01642668945805e-15,30.2205127485024,2.09867785804173,8.59875157835152,1.08747189472326,60.9540253050263,1.00000000044886,3.71097204549847e-15,0.107984395903469,8.74254960145285e-17,0.60473540354954,0.184783003936671,0.14394131092323,0.0242720707678426,0.613476016586291
"18",4,0.645307941058487,0.0115601377936001,0.001,24.4626075051533,12.9664886936421,3.9235289995051,11.6308503774832,35.3634224019497,5.78535142112635,159.867752635309,0.311303739334881,10.1,0.503046081491515,0.133815312260746,0.289933176564949,0.0658939037647611,0.353748873460156,0.265311655095117,0.577256182551235,163.908218341521,2.87644975137035e-13,17.8218731393269,3.41406886910439e-14,101.214915386917,29.0855149332045,22.8202972989837,3.73333321386684,103.163930294739,51.0252412774336,2.90521424888406e-12,8.96522344757726,4.56854691798894e-15,29.3455619338814,1.9165581219571,8.07265446154134,0.990496813992584,59.5520165789226,1.00000000800854,1.75491491733081e-15,0.108730809610291,2.08291501853342e-16,0.617509708918976,0.177450011112524,0.139226072448621,0.0227769740989226,0.629400600926412
"19",4,0.594952316313385,0.00889241368738467,0.001,22.8335309515158,12.523031320443,3.62926342045286,11.3707739130549,34.0143057581191,5.38138735591846,164.247707433166,0.395017441780508,10.1,0.506007475881476,0.136776706650707,0.296349531076531,0.0673521661537571,0.37060815096627,0.277956113224703,0.591493570074783,151.117888434431,1.08576712790915e-13,16.5370236765004,1.25454228308607e-14,95.3982050792354,25.5977975494778,20.2368899985847,3.20166887238325,97.7195539865253,59.6942016966412,1.09662479918824e-12,8.36785760913815,1.71592161834572e-15,28.2712133407742,1.72406711372266,7.49995638368328,0.889923435600166,57.8004878536053,1.00000000060106,7.18490140254221e-16,0.109431278174691,8.30174572207888e-17,0.631283338623199,0.169389592655474,0.133914589598894,0.0211865643933798,0.64664451745341
"20",4,0.541511624754259,0.00684031822106513,0.001,21.1784873559399,12.0363650697717,3.33259424237742,11.0637769356604,32.5274204684746,4.96204278130391,168.899313180435,0.503845254959822,10.1,0.50948261346581,0.140251844235041,0.303878995842589,0.0690634081460429,0.391345943604565,0.293509457703424,0.608821434913089,137.543952705973,4.56016935519832e-14,15.1372579743698,1.36186681375979e-14,88.8326789552618,22.1056186783891,17.6139763069486,2.68700384860402,91.460941500216,69.3008679193228,4.6057710487503e-13,7.71216975348808,1.91004332232309e-15,26.994385278932,1.52668936510638,6.89315817847127,0.78866104245078,55.6833816426636,1.00000000013371,3.31542700794438e-16,0.110053969502771,9.90132090251282e-17,0.645849397370722,0.160716761780142,0.128060710505806,0.0195356015011965,0.664957925907226
