"","convergence","mu","x_C","x_W","x_CO2","C","AA","NT","ADP","ATP","LIP","rRNA","mRNA","tRNA","DNA","TC","p","tau tC","tau FERM","tau ATPS","tau ADPS","tau EAA","tau ENT","tau LIPS","tau rRNAp","tau mRNAp","tau tRNAp","tau DNAp","tau tRNAc","tau r","v tC","v FERM","v ATPS","v ADPS","v EAA","v ENT","v LIPS","v rRNAp","v mRNAp","v tRNAp","v DNAp","v tRNAc","v r","p tC","p FERM","p ATPS","p ADPS","p EAA","p ENT","p LIPS","p rRNAp","p mRNAp","p tRNAp","p DNAp","p tRNAc","p r","f tC","f FERM","f ATPS","f ADPS","f EAA","f ENT","f LIPS","f rRNAp","f mRNAp","f tRNAp","f DNAp","f tRNAc","f r"
"11",4,0.944769978462089,0.0485193928301464,0.001,0.001,1.53121651470395,2.54104280273165,9.13907682162668,1.54675972718024,18.2709127499992,27.8688771884958,45.2169473209602,13.733667855693,2.41196721732564,9.89324385923053,12.1693152482749,155.676972023971,0.0341323683720685,0.00213260489246538,0.0609365651187185,0.0924510075556579,0.170119713080991,0.0216931630073591,0.0366692232067556,0.173349116076762,0.260023674115144,0.173349116076762,0.187252424167243,0.00036903451794887,0.00386441459392931,738.449869605509,2275.09438349849,1.71033073816814e-18,18.7231419994337,202.627660334045,317.52698608989,146.275991672987,42.719614346545,12.9751570842286,13.654934724079,9.34683978780542,14719.9952703025,14707.892950613,25.2050429736812,4.85187741306939,1.04221680400929e-19,1.7309733424553,34.4709594383001,6.88816466848344,5.3638269884463,7.40540738611375,3.37384801726224,2.36707086450498,1.75021840856941,5.43218635878573,56.8373961642989,2.60539562165022,8.02697811941457,6.03438147964949e-21,0.0660589082572653,0.714910030848232,1.12029733278487,0.516090318305477,0.150723157736534,0.04577889285231,0.0481772813678475,0.0329774795307684,51.9350233597386,51.8923240079902
"12",4,0.93059207526649,0.0451343189117641,0.001,0.001,1.45967293154928,2.49615098358866,9.01424604310542,1.53968954805594,18.2482952585931,28.109682572968,44.9364706554561,13.6720726294634,2.41028227602342,9.79859855528888,12.1092795456683,156.205559817027,0.0353537116343791,0.00220199475411382,0.0629194390466495,0.0926837661924238,0.173880829931685,0.0224146322527962,0.0377736767888269,0.174831703289476,0.262247554934215,0.174831703289476,0.189093230071857,0.000373838758500874,0.00388360611732866,728.544509154334,2246.83442907146,1.27282495571073e-15,18.4145418465612,199.73289439103,310.944437399824,145.325821337003,41.8175234824127,12.7231224414465,13.3931702246353,9.11849816426951,14548.2275021263,14536.3656078291,25.7567524894526,4.94751762617768,8.00854322178955e-17,1.70672909104728,34.72972144137,6.96970521536969,5.48949060425476,7.31102885777788,3.33660775139799,2.34155076281888,1.72424627128602,5.43869130778318,56.4535183982911,2.60960926030418,8.04804628790777,4.5591940498248e-18,0.0659599493554965,0.715433037022277,1.11378710989195,0.520549677277184,0.149788235518187,0.0455735754315447,0.0479736524040351,0.0326619951842963,52.1110086391692,52.068519939009
"13",4,0.916121611941553,0.0419854129411759,0.001,0.001,1.39082978060741,2.45150447655497,8.88672084600088,1.53235680776445,18.2252713730795,28.3480531486696,44.6470786776922,13.6083468942079,2.40820073360979,9.70153870086457,12.0473068960088,156.752791087152,0.0366407000613958,0.0022758382724792,0.0650295851911313,0.0929273797313889,0.177851344002397,0.0231830749156107,0.0389474061465008,0.176392462079382,0.264588693119072,0.176392462079382,0.191032791649542,0.000378810322837227,0.00390368743990763,718.405194418318,2217.84355682589,3.16541993804841e-16,18.1003901771765,196.779361194885,304.267595758956,144.279245255356,40.9021536866888,12.4669006925816,13.1268261277821,8.88778927294941,14372.0796470396,14360.4619647099,26.3228692512303,5.04745324899575,2.05845945527024e-17,1.68202183128079,34.9974738604434,7.05385846687264,5.61930236347094,7.21483159314429,3.29860096149542,2.31547317996744,1.69785919640438,5.44429213093739,56.0587550029095,2.61393678544412,8.06968393685044,1.15174663013712e-18,0.0658587606028129,0.715987043022402,1.10708589992442,0.524963947197585,0.148823595592307,0.0453611563140264,0.0477623129093898,0.0323384623362152,52.2932016146508,52.2509303623841
"14",4,0.901361781164873,0.0390561980848148,0.001,0.001,1.32458366421911,2.40716696785569,8.75658183628716,1.52476912267341,18.201840933886,28.5834631662239,44.3488136273727,13.542485873572,2.40572135257224,9.60214614935939,11.9834001680694,157.319026639975,0.037996882702598,0.00235449577488598,0.0672773012435656,0.0931824185601952,0.1820484775907,0.0240021874909538,0.0401959696521222,0.1780351522739,0.26705272841085,0.1780351522739,0.193076086720023,0.000383949622465265,0.00392468937845499,708.032181800413,2188.11823949886,1.78396458859428e-15,17.7808123769254,193.767674316451,297.502330670296,143.133562618712,39.9743256437176,12.206679188403,12.8561054777689,8.655007556192,14191.5056788804,14180.1358063332,26.9030157615348,5.15191514985102,1.20020323034711e-16,1.65685910124696,35.2751101156006,7.14070671974418,5.75339233922186,7.11683515302575,3.25982698209897,2.28883869638391,1.67107498948178,5.44882324761981,55.6526283841651,2.61837956965289,8.0918978565634,6.59729395333646e-18,0.0657553668551983,0.716573812223087,1.10019578851686,0.529323391967109,0.147829378757909,0.0451416195785735,0.0475432682207964,0.032007153831198,52.4817225647918,52.4396755466582
"15",4,0.886316632958907,0.0363313470556417,0.001,0.001,1.26088563680516,2.36312770199677,8.62380430588984,1.51692118575442,18.1779914339729,28.8157231792374,44.0413506006124,13.474400551295,2.40281997792238,9.50035769013211,11.9174838253514,157.905133403763,0.039427317497648,0.00243831386321829,0.0696724928491901,0.09344965275781,0.186485931596985,0.0248759486527844,0.0415245192844758,0.179765799294033,0.26964869894105,0.179765799294033,0.195230856577636,0.00038926637572731,0.00394667091361161,697.427421435625,2157.66215998776,3.06380068717719e-15,17.4559286395365,190.69860113657,290.652632603865,141.888081913876,39.0345815752976,11.9425853277634,12.5811375115775,8.42032503982316,14006.5132103639,13995.394616535,27.4976923765083,5.26105755683968,2.13462631468697e-16,1.6312504699298,35.5626062871951,7.23025996445035,5.89183439367002,7.01708275699152,3.22030259562389,2.26165824079687,1.64390727018679,5.45226463397503,55.2352168575952,2.62294307136157,8.11471536526232,1.15225965275671e-17,0.0656497087324241,0.717195164967684,1.09311060252264,0.533624503319211,0.146804502002041,0.0449146685043167,0.047316188683707,0.031667858967107,52.6768602006414,52.6350444679209
"16",4,0.870991147876198,0.0337966019122248,0.001,0.001,1.19966704717593,2.31941529801671,8.4885156996405,1.50881130581189,18.1538745701488,29.0447272205068,43.7248104220742,13.4040950960232,2.39949915577924,9.39629677395043,11.8495745200299,158.510713622196,0.0409367836424652,0.00252769551428749,0.0722266768371553,0.0937295552539466,0.191180510845753,0.0258085919657233,0.0429388719899731,0.181588312046849,0.272382468070273,0.181588312046849,0.197502337340247,0.000394764379838285,0.00396965874012235,686.591332766108,2126.46993883122,4.81387304264054e-15,17.1260253414322,187.572502352737,283.726005790997,140.542779453002,38.0839228201916,11.674848173927,12.3021762527186,8.1840913129285,13817.006919282,13806.1428408472,28.106840840238,5.37506852565087,3.47690052585892e-16,1.60521473852026,35.8602068204126,7.32256871352427,6.03474841604746,6.91559526104106,3.18002395995995,2.23393142023401,1.61637716330939,5.45446216771164,54.8056755955466,2.62762461072949,8.13812304145819,1.84229696416493e-17,0.0655422862532025,0.717850779578756,1.08583578024043,0.537865318898275,0.145749368073581,0.044680316986744,0.0470811377081384,0.0313209892465014,52.8784819951883,52.836904540732
"17",4,0.855391282092905,0.0314386994532324,0.001,0.001,1.14086652114034,2.27600095884879,8.35077169758792,1.50045922433053,18.1293475905369,29.2700394550933,43.3989247045793,13.3314995087689,2.39570564297296,9.28992404644306,11.7796300075888,159.136831373186,0.0425310165011212,0.00262302846592165,0.0749509347568993,0.0940230354998971,0.196148686310978,0.0268052030953903,0.0444454960861112,0.183508906111883,0.275263359167825,0.183508906111883,0.199898522580783,0.000400458323585912,0.00399371691467022,675.527397769577,2094.55006258176,5.74372299252972e-16,16.7911656186056,184.390678091439,276.727444965085,139.096314313345,37.1230618445035,11.4036484570267,12.0193933487049,7.94652004063264,13623.0323404036,13612.4258216512,28.7308669014973,5.49406443744993,4.30497407274797e-17,1.57875636104281,36.1679892756262,7.41773536435754,6.18220469340629,6.81241247060864,3.13900658105016,2.20566572554927,1.58849761578105,5.45545669319468,54.364175253622,2.6324303739171,8.16215185740096,2.23824391354423e-18,0.065432689382892,0.718543205320363,1.078365931312,0.542037767686913,0.144663082348598,0.0444383316958962,0.0468377984840526,0.0309664134881435,53.086942492843,53.0456104577286
"18",4,0.839524035054534,0.0292453018169604,0.001,0.001,1.08441907579428,2.23291894228,8.21059495794021,1.49183625217542,18.1044548770764,29.4913958157532,43.0635436985709,13.2565590544984,2.3914322901696,9.18125338251383,11.7076037276384,159.783989049478,0.0442159076488319,0.00272480322070935,0.0778592850750939,0.0943307069708053,0.20140961424369,0.0278707283735584,0.0460509987459909,0.185534128091946,0.278301192137919,0.185534128091946,0.202427969900647,0.000406352906560866,0.00401890128796513,664.238949751593,2061.9086914585,4.33906134181027e-15,16.4515574009331,181.154314759481,269.66326471604,137.548531192397,36.1528799695715,11.1291999483712,11.7330184004469,7.7078828865461,13424.596043153,13414.2499223927,29.3699280589735,5.61829544329474,3.37836213970325e-16,1.55188704040081,36.4862206542871,7.51571160322772,6.33424723745399,6.70759306316722,3.09726961317297,2.17687533881368,1.56029108495546,5.45512362154073,53.9105462901904,2.63736324399752,8.18681620125609,1.72282593494714e-17,0.0653209704308405,0.719273886930126,1.07069900505597,0.546136959550985,0.143545145661903,0.0441885301816614,0.0465859936127768,0.0306041779417128,53.3024089944845,53.2613296831594
"19",4,0.823397487952716,0.0272049319227538,0.001,0.001,1.03025797063447,2.19016696172074,8.06799200340003,1.48295586757961,18.0792305171038,29.7085337711568,42.7185368391074,13.1792361664316,2.38670207617204,9.07032443390121,11.6334536535554,160.452609573027,0.0459977080149846,0.00283350780317563,0.0809656757425221,0.0946537090167868,0.206983520097593,0.029010965233418,0.0477629325891448,0.187671035102128,0.281506552653191,0.187671035102128,0.205099983209409,0.000412456229030364,0.00404526985353731,652.729983747798,2028.5536874942,2.44645575476682e-15,16.1074551280111,177.864743549818,262.540471833809,135.899622655161,35.1743359223366,10.8517499525754,11.4433298873567,7.4684823537904,13221.7106779094,13211.6275657888,30.0240832050569,5.74792270267552,1.98078943358878e-16,1.52463037068771,36.8150707211971,7.6165525007358,6.49096451576866,6.60120403157486,3.05483871940392,2.14758156497534,1.53178560536218,5.45337692754102,53.4445987080482,2.64242561378521,8.21212807169626,9.90390745078118e-18,0.0652072879489443,0.720044070056042,1.06283407335699,0.5501580327992,0.142395122797025,0.0439307872214386,0.0463256610761557,0.0302344147796707,53.5250223266355,53.484203191009
"20",4,0.807020866698037,0.0253069134165152,0.001,0.001,0.978315401440373,2.14777158434682,7.92317571461536,1.47380997769004,18.0535497617625,29.9212034947543,42.3637356868288,13.0994496672352,2.38138188142116,8.95712099241554,11.5571696486782,161.143316986412,0.0478830321636956,0.00294969261490832,0.0842858375625038,0.0949924526692873,0.212893072181099,0.0302321334648926,0.0495896016460799,0.189926286126435,0.284889429189652,0.189926286126435,0.207923085928661,0.000418781409368498,0.00407289277548779,641.005641802837,1994.49690574873,4.3169972869907e-15,15.7589867812573,174.523598804351,255.365900171137,134.150197649916,34.1884186905511,10.5715292237195,11.1505242830036,7.22858354641837,13014.4196990302,13004.6019336971,30.6932937635556,5.88315279334454,3.63861732089067e-16,1.49698480593451,37.1548651175598,7.72025597635625,6.65245486220223,6.49327939043196,3.01171692620716,2.11777766543351,1.50298939786445,5.45019702367301,52.9663492638494,2.64762109735585,8.23810547348592,1.78310023327067e-17,0.0650911991315085,0.720855374815863,1.05476785342605,0.554096361013968,0.141212452289429,0.0436648322241173,0.0460563237091441,0.0298570699747185,53.7549904679223,53.7144389954708
"21",4,0.790404564585182,0.0235413148060607,0.001,0.001,0.928536428561551,2.10573412777314,7.77607001327641,1.46440326948767,18.0275179453255,30.1291491949717,41.9991655935385,13.0171970205905,2.37555891449972,8.84170593193713,11.4786472689438,161.85631545629,0.0498797589026017,0.00307392849335022,0.0878360857541685,0.0953484010680586,0.219160491377622,0.0315408421098747,0.051539398652114,0.192308717366168,0.288463076049252,0.192308717366168,0.210909047299916,0.000425333433699205,0.00410182785173193,629.071295925061,1959.74962814266,5.62682252227206e-15,15.4065035007231,171.132544560514,248.147839842649,132.301205837631,33.1963321939018,10.2888519431793,10.8549249092898,6.98852472732299,12802.7473440397,12793.197054359,31.3779245732892,6.02413022178022,4.94238065589775e-16,1.4689854748434,37.505492556585,7.82679183638347,6.81872458982107,6.38394406547048,2.96795388054484,2.0874966864116,1.47394309227159,5.44543648862378,52.4754919902648,2.65295067071215,8.26475333414084,2.37297150277513e-17,0.0649730707160441,0.721708654986186,1.04650137815977,0.557947207314291,0.139997218645128,0.0433906567353016,0.0457779277248426,0.0294723531064571,53.9923811074262,53.9521051520965
"22",4,0.773560193882328,0.0218988974940099,0.001,0.001,0.880855024098509,2.06406587854046,7.62679257064028,1.45473307148212,18.0011232877627,30.3321307273113,41.6244879538436,12.9323809999676,2.36918737684704,8.72413370039228,11.3979491916162,162.592161336251,0.0519957401255915,0.00320686212143912,0.0916349034086405,0.0957224734405942,0.225811483356287,0.0329445352515918,0.0536219327992635,0.19482650901214,0.292239763518209,0.19482650901214,0.214068637919735,0.00043212354122909,0.00413215750937188,616.933814108967,1924.32877539422,1.30205394045497e-16,15.0502760174041,167.693624646446,240.894078288444,130.354049590462,32.1990469718279,10.0039751536951,10.5568983090375,6.74864255673081,12586.7634371086,12577.4823847017,32.0779302730998,6.17105705900707,1.19313587066431e-17,1.44064964634958,37.8671461308062,7.93614345407333,6.98983608725159,6.27322791503913,2.92355933315788,2.05676364354594,1.44467271992652,5.43903678905619,51.9721382849377,2.65841761674556,8.29208806508188,5.61065555834014e-19,0.0648528545308158,0.722605368324466,1.03803203333343,0.56170612457984,0.138748293179479,0.0431079366665586,0.0454905271864053,0.0290804456679743,54.2373799162648,54.1973871120837
"23",4,0.756500611024359,0.0203710674362883,0.001,0.001,0.835207006250716,2.02273841527718,7.47548478870361,1.44478519660067,17.9744029657717,30.5298664319362,41.2398880908341,12.8450209608032,2.3622461773769,8.60448113120714,11.3150178743979,163.350862223217,0.0542395508242136,0.00334921830973445,0.0957030068309984,0.0961154692084954,0.232872686825008,0.0344517538142559,0.0558474084025941,0.197488150631734,0.296232225947601,0.197488150631734,0.217413083639954,0.000439168455123906,0.00416393939871411,604.600183932251,1888.24999834978,1.01419059856665e-16,14.6906277104317,164.208910159247,233.614232827758,128.310347834732,31.1980005392922,9.71726620546832,10.2567552656156,6.50929523330577,12366.5130429911,12357.502708322,32.7932424047223,6.32416146782915,9.70610897825584e-18,1.41199657535547,38.2397701093901,8.04842003688819,7.16580039780519,6.16123542991265,2.87856739817127,2.02558762888872,1.41520594899586,5.43098242836006,51.4558923968982,2.66402157126076,8.32010783526423,4.46878069797969e-19,0.0647306272079079,0.723546056523318,1.02936349036311,0.565367896887707,0.137466293636114,0.0428167365360107,0.045193862001544,0.0286816037706905,54.4899892248422,54.450287407739
