"","convergence","mu","x_C","x_W","C","AA","NT","ADP","ATP","LIP","RNA","DNA","p","tau tC","tau ATPS","tau ADPS","tau EAA","tau ENT","tau LIPS","tau RNAp","tau DNAp","tau r","v tC","v ATPS","v ADPS","v EAA","v ENT","v LIPS","v RNAp","v DNAp","v r","p tC","p ATPS","p ADPS","p EAA","p ENT","p LIPS","p RNAp","p DNAp","p r","f tC","f ATPS","f ADPS","f EAA","f ENT","f LIPS","f RNAp","f DNAp","f r"
"11",4,0.585505398490628,0.0725381502864057,0.001,16.9371824706094,15.5702283717261,4.79048735137004,2.28242329933958,12.9034356503006,36.4606575400867,37.0852892044284,5.5643760522041,158.405920228557,0.309692553099334,0.010956863814424,0.141749405713972,0.0373506164734298,0.0997964506667614,0.0360966241418161,0.448536072175807,0.299024048117205,0.139118186504653,180.998869394793,560.115186689101,8.89140239573151,120.197908140542,109.784035487833,118.599510123549,21.7136370337791,3.25797221779747,463.737607233481,56.0540019709664,6.13710582094317,1.26035100555873,4.48946596786592,10.9560570815595,4.28104194033326,9.7393494677824,0.974212041219187,64.5143349323288,1.06597485523582,3.29874273271828,0.052365030860828,0.707893635790017,0.646562167640333,0.698480029503577,0.127880307601477,0.01918750362829,2.73113655566478
"12",4,0.551994387998553,0.055798577143389,0.001,16.2295048698476,15.0601840202564,4.603668080794,2.23548142221883,12.6266550335793,38.046865335306,36.2322000104638,5.35542401562313,159.610017355295,0.356698735049084,0.0111938024758997,0.14344361854287,0.0379157455663732,0.101996107373131,0.0367505700746064,0.462278831085821,0.308185887390548,0.141958766308033,170.736737619541,532.918251040653,8.20381591726928,113.267545877217,100.901646510986,116.67586747792,19.9999710706171,2.95616400197665,440.519169242374,60.9015783352976,5.96538163795099,1.1767850410327,4.29462345040804,10.2915751716602,4.2879046437628,9.24556324827513,0.911048026221165,62.5355578006868,1.06658216804807,3.32910837768211,0.0512487463993039,0.70757557123066,0.630326538949815,0.728867152017357,0.124938620725737,0.0184669793642177,2.75189685095337
"13",4,0.514711061283254,0.0429219824179915,0.001,15.445457120773,14.4960481157024,4.394343617252,2.18080853087756,12.3083155107698,39.7605104476584,35.2477640331757,5.11930046969474,161.047452407746,0.417300516251772,0.0114848107401369,0.145513054376269,0.0386023318584972,0.104685753087093,0.0375483800017243,0.479391773743746,0.319594515829164,0.145428298864794,159.305968691151,501.988039422526,7.45771241254107,105.602633601093,91.3080966783898,113.695414053768,18.1424140333776,2.63496057778444,414.464525728776,66.4784629768058,5.7652376265801,1.08519451180866,4.07650790740067,9.55865686372637,4.26907861134425,8.69732404345432,0.842118950085954,60.2748709165398,1.06726077568965,3.36303874074979,0.049962496695336,0.707478505532184,0.611713113377761,0.761695602445563,0.121544013907502,0.0176527602403267,2.77668021392665
"14",4,0.474225431252333,0.0330169095523012,0.001,14.5956652918996,13.8849282562027,4.1647542267068,2.11826753924176,11.9486409462337,41.5689531280779,34.1303857239839,4.8579239796079,162.730480909818,0.495447880663176,0.0118398852390337,0.148022041425034,0.0394297909687709,0.10795265743874,0.0385146216339914,0.500621952161595,0.33374796810773,0.149638726921369,146.877657543304,467.614123964338,6.67088574291174,97.3231016251219,81.2430122608296,109.516970688171,16.1854968887647,2.30375109422061,385.85466243679,72.7702241466016,5.53649756388904,0.987438125778952,3.837429553511,8.77039907188466,4.21800468855583,8.10281504915882,0.768872246722087,57.7388004637159,1.06800404998591,3.40020249898991,0.0485065809843984,0.707673777151406,0.590749250627443,0.796340098239041,0.117690985255117,0.0167514619986479,2.805697946721
"15",4,0.43137407440582,0.0253976227325394,0.001,13.6948142818138,13.2364160828305,3.91841546371106,2.04807964134492,11.549731205083,43.4338339090893,32.8838751862472,4.57476250444201,164.660071774688,0.59626076990873,0.0122703435789479,0.151041039892841,0.0404190991030134,0.111895264357373,0.0396764866884963,0.526869640407083,0.351246426938055,0.154716129550311,133.705501860262,430.351013066431,5.86574306782329,88.5972983265549,71.0021888441411,104.090166113497,14.1852512213439,1.97343394098012,355.15043026701,79.7233454802327,5.28055478987341,0.885967932708251,3.58102298132026,7.94480869066727,4.12993209020555,7.47377821007359,0.693161620567553,54.9474999790395,1.06880195645883,3.44009781445011,0.0468890029187172,0.708220413303217,0.567570348965809,0.832065783699029,0.113392673056025,0.0157750431187656,2.838966754736
"16",4,0.387204240808192,0.0195366328711841,0.001,12.7604448910212,12.5617585318759,3.65983875339754,1.97084469642921,11.1155173102351,45.314700584187,31.5176311267153,4.27462116026351,166.824642204599,0.726380047743022,0.0127889964227446,0.154647216305454,0.0415927942050864,0.116624847313365,0.0410640348271082,0.559228639197116,0.372819092798078,0.160803105364641,120.10925401848,391.001223556487,5.06709486573164,79.630731021139,60.9075204350786,97.4780235397258,12.2037604324924,1.65515144110246,322.97604466465,87.2449656683224,5.00051324935266,0.783612115741059,3.31206460776282,7.10333027097669,4.00284095351297,6.82469233975036,0.617072058715251,51.9355509404648,1.06964180087119,3.48209017136555,0.0451253862298771,0.709157335379294,0.54241640560645,0.868097712340747,0.108681486643846,0.0147400729664259,2.87628693456205
"17",4,0.342880260545447,0.0150281791316801,0.001,11.8112907752149,11.872814786629,3.39420649352347,1.88752606246488,10.6516368632267,47.1727296377676,30.0467729767627,3.96334843432516,169.199673776382,0.894422469058087,0.0134104023005283,0.158923934174784,0.0429751893838069,0.122268031851122,0.0427106264970085,0.599026563929854,0.399351042619903,0.168060082759661,106.446380787579,350.555264790826,4.29943145098297,70.6485006303193,51.2713687079144,89.8588768268761,10.3024453468223,1.3589539437938,290.076141143252,95.2080347263236,4.70108712941319,0.683282560905011,3.03613269426997,6.26884934222989,3.8379289255934,6.17143843618206,0.542699674326483,48.7502202871381,1.07050923517879,3.52546179233663,0.0432384928472126,0.710497358545387,0.515625550591606,0.903692138654553,0.103609561988837,0.0136667187390523,2.9172357547652
"18",4,0.299568394953927,0.0115601377936001,0.001,10.8658077560614,11.1811308897594,3.12688927608196,1.7993824485513,10.164976335456,48.9738272309381,28.4912410926625,3.64731632835699,171.749430675024,1.11157081622694,0.0141511072869948,0.163961331003892,0.0445923494476524,0.128969214118766,0.0446532452993602,0.647885261000377,0.431923507333585,0.176668444496725,93.0767720386175,310.096844649432,3.58414375757797,61.8744932269636,42.3609491675506,81.5056156573502,8.53507536437427,1.09262069837515,257.253506407838,103.461423466735,4.38821371799269,0.587660981001776,2.75912902387316,5.46325832346401,3.63949024922303,5.52974953010551,0.471928564227468,45.4485768184011,1.07138934462503,3.56946688075304,0.041256409600025,0.712225738983922,0.487608976678801,0.938195923964331,0.0982456589402155,0.0125769528564034,2.96119708060386
"19",4,0.25832303803862,0.00889241368738467,0.001,9.94067978779345,10.4971585386882,2.86299973896377,1.70785786141639,9.66313786453202,50.6907017528351,26.8745240766308,3.33288163065089,174.430059533145,1.39233942020735,0.0150300827401645,0.169856799942422,0.0464724555628024,0.136894575167711,0.0469332502271996,0.707794217804718,0.471862811869812,0.186833923358378,80.3275225223341,270.692064421988,2.93739016145115,53.5110796710934,34.3719693577671,72.7476448727886,6.94230870531732,0.860960108252847,225.296514519296,111.84317613544,4.06852412536844,0.498935693006448,2.48679127213247,4.70533614290911,3.41428342025404,4.91372595983895,0.406255057587926,42.0930317266079,1.07226772755806,3.61338624261771,0.0392103300894772,0.714303167785965,0.458820990834131,0.971086240475767,0.0926707726780374,0.0114926952781065,3.00741481953698
"20",4,0.219996431208434,0.00684031822106513,0.001,9.04987542963248,9.82969929014657,2.60702121445673,1.61446218692394,9.15385505559949,52.3037345023783,25.2219901225657,3.02588219994275,177.193479786378,1.75556807225541,0.0160691971468393,0.176715908137202,0.0486460689498414,0.146236589550649,0.0495971239029767,0.78120526392376,0.520803509282507,0.198791231965156,68.4646741148134,233.285455550075,2.36899136347539,45.7229108635532,27.4160413979758,63.9257496077594,5.54874781493884,0.665683285244531,194.909665932034,120.194395953338,3.74870997672436,0.418638460165743,2.22423987445586,4.00922839301939,3.17053332388671,4.33471100121569,0.34669019102606,38.7463326125461,1.07313142244045,3.65657115856998,0.0371321284224944,0.716671670573339,0.429725488121914,1.00198725100342,0.0869723797329853,0.0104340765515267,3.05505999631685
"21",4,0.185186239013768,0.00526178324697318,0.001,8.20412088640265,9.18565654090784,2.36256570007141,1.5206561651569,8.64446447342745,53.8007487877498,23.5591270021626,2.73125588006015,179.991406171885,2.22571377002913,0.0172938411536652,0.184653730473593,0.0511465774769194,0.157219872283824,0.0526975078844267,0.87115311428795,0.580768742858633,0.212809833787953,57.6764663978695,198.622839306494,1.88244046018068,38.6272748738492,21.5226713915887,55.3508795784885,4.3628261239782,0.505791004212578,166.659657818855,128.371305468361,3.43495183245648,0.347599653366788,1.97565290705759,3.38379164739228,2.91685341299735,3.80068956500044,0.293747605665745,35.4668140795876,1.0739694695912,3.69847320234883,0.0350521401330496,0.719262404562869,0.40076470391161,1.03066568558908,0.0812383689729745,0.00941812372434534,3.10330010641181
"22",4,0.154224244440238,0.00404752557459475,0.001,7.41086103632944,8.5700573432449,2.13227717111004,1.42776285195533,8.14149310421214,55.1763089885425,21.9099624148999,2.45282435846161,182.77845279816,2.83452499292523,0.0187336209984374,0.193796436368487,0.0540105800612013,0.170107772799157,0.0562943045809327,0.981406595331313,0.654271063554209,0.229200839629378,48.0692631896493,167.21161458302,1.47581126969516,32.2915756452868,16.6526721195421,47.2751364708836,3.37904739915194,0.378284983428353,140.944343913759,136.253527902562,3.13247901413507,0.286006964819375,1.7440867316921,2.83274896540993,2.66132093159708,3.31621940346483,0.247500918434255,32.3045619660454,1.07477316919869,3.73865844839744,0.0329974343316118,0.722002310661118,0.372334502381158,1.05701741357361,0.0755515945341375,0.00845801502917797,3.15135263445103
"23",4,0.127199533918167,0.00311348121122673,0.001,6.67442959276392,7.98613888583916,1.91784662412892,1.33690140428719,7.65042130527398,56.4300345892825,20.2958076449094,2.19322533174629,185.515194657208,3.62322692236933,0.0204233921943897,0.20428362596036,0.0572787764835506,0.185212058309059,0.0604564205995967,1.1166645243492,0.744443016232798,0.248325929988846,39.674235001603,139.318508041336,1.14318325982834,26.7371429239419,12.7177454174999,39.8770783263487,2.58161727292524,0.278977239975645,117.987231475674,143.748756382216,2.84535652966543,0.233533621454917,1.53147083334921,2.35547980582575,2.4108254195808,2.88280042412274,0.20768265798777,29.299288983006,1.07553622790862,3.77681138932055,0.030990767964004,0.724822188614552,0.344767729819799,1.08103514538855,0.0699855436031358,0.00756284597153893,3.19853783891738
"24",4,0.104003946354304,0.00239498554709749,0.001,5.99675959588843,7.43577371039178,1.72012907269983,1.24896364557496,7.17555477900753,57.5655362016992,18.7344959841583,1.95399393609398,188.168795747286,4.64534970458311,0.0224038762838622,0.21627034457716,0.0609953789944737,0.202898574454879,0.065262177322684,1.28279369838859,0.855195798925727,0.270606521327077,32.4610654518836,114.996036557687,0.876183162291117,21.9470311334871,9.60110170631179,33.2613496609903,1.94846151531131,0.203223080506153,97.8514866922736,150.793000807361,2.57635697617291,0.189492434421406,1.33866748179056,1.94804984940696,2.17070809956735,2.49947415339404,0.173795524693607,26.4792504204789,1.07625443436012,3.81272125717816,0.0290500635330429,0.727659097125674,0.318326836852514,1.10278804984098,0.0646017102902009,0.00673791012446201,3.24428958184977
