"","convergence","mu","x_C","C","ATP","NT","AA","DNA","RNA","p","tau Cin","tau Met","tau DNAp","tau RNAp","tau r","v Cin","v Met","v DNAp","v RNAp","v r","p Cin","p Met","p DNAp","p RNAp","p r","f Cin","f Met","f DNAp","f RNAp","f r"
"11",4,0.845757759176195,3.45716130336078,69.768149121286,39.4972248203072,2.29178118012342,4.17361567154287,23.4178649326272,55.3599095129159,145.491455968039,0.184152326306212,0.200707594950614,0.299109117340505,0.276100723698928,0.226035191178551,287.557639140602,228.550685677912,19.8058409701096,46.8210730178407,123.05052777881,52.9544081948641,45.8718584467275,5.9241076107559,12.9273321445862,27.813749571105,1.00000000354953,0.794799564957516,0.0688760733312566,0.162823263273282,0.42791604696482
"12",4,0.791163709159542,2.46940093097198,60.2385200462364,40.8430174627672,2.11574116511104,3.89723381416365,23.9950940888516,57.8176085962083,151.092784373468,0.209750182296064,0.213299234659501,0.315310728877279,0.291056057425181,0.235572637518833,268.995660755694,221.337129801632,18.984047640968,45.7431936717108,119.539127712156,56.421888880357,47.2110403884187,5.98587389871463,13.3138336041246,28.1601476018531,0.999999998667077,0.822827880884029,0.0705738061436812,0.170051789988848,0.444390542274906
"13",4,0.730671258607292,1.76385780783713,51.3841104777602,42.0940922063185,1.94938093327234,3.64617180390163,24.5707439103153,60.0646423994043,156.290859556761,0.243309249317715,0.229077116570985,0.333348371040384,0.307706188652663,0.245612948131691,248.428228867389,210.883336192188,17.9531363778675,43.8875078597697,114.197239061154,60.4448858750539,48.308546587776,5.984648766628,13.5044577729935,28.0483205543096,1.00000000378745,0.848870267088157,0.0722668938538685,0.176660712939425,0.459678998696356
"14",4,0.665554608061161,1.25989843416938,42.2656995276416,43.3712551619793,1.77918297633879,3.28670666108832,25.4479233178865,62.0931836588651,161.756048067477,0.284663639697483,0.24952748421748,0.354955342113981,0.32765108502829,0.263255565302457,226.288566322345,198.158435238794,16.9369826298064,41.3264045133456,107.657483173072,64.416126911244,49.4459758216088,6.0118724637415,13.5406412791157,28.3414315917668,0.999999998150813,0.875689117187161,0.0748468332879016,0.182627010761368,0.475753082551402
"15",4,0.59693570017965,0.899927452978129,34.6343050998926,44.4460798621184,1.60791274466507,3.03931724850557,25.6609891686606,64.3408061275727,166.270588318139,0.340510482541353,0.275296617445117,0.382506093182191,0.353082547552792,0.277664211515402,202.958137207197,182.283684042157,15.3179605366968,38.4073241558857,99.2528500569706,69.1093732361167,50.1820816322401,5.85921324041088,13.560955857646,27.5589643517252,0.999999995792806,0.898134392557827,0.0754734975548841,0.189237665081096,0.489031142112173
"16",4,0.526795002299538,0.642805323555806,27.6997421282968,45.4118397956763,1.43576065188287,2.7162227588632,26.6972519150126,65.5570648336177,170.482118046658,0.412927429399928,0.306316657583772,0.41551460609786,0.383551944090332,0.301061666683533,179.11030085033,164.518215132157,14.0639788839604,34.5351341197766,89.8091277684192,73.9595561091745,50.3946697709305,5.84378864613742,13.2460178310607,27.0380856893547,1.00000000038237,0.918530170593266,0.0785213291618016,0.192814896569464,0.501417994254876
"17",4,0.456651884151881,0.459146659682719,21.8572321850787,46.2299358499713,1.2708606566145,2.48382471067009,27.3042931737927,66.8676764632247,173.986176791166,0.510142816856404,0.348828098118584,0.456374310587605,0.421268594388558,0.321565989088958,155.261640534245,145.280494274584,12.4685569232477,30.5352504457899,79.4511154480683,79.2056106518864,50.6779185115309,5.6903290698695,12.8635420346005,25.5487765232791,0.999999999501524,0.935714022486587,0.0803067446288019,0.196669636656543,0.511724049385783
"18",4,0.388522037036669,0.327961899773371,16.9388285208206,46.9113797426547,1.11845798324607,2.22289489227154,27.5516801082495,68.2482133219555,177.008545329793,0.640544306659058,0.402738093480242,0.50550804649948,0.466622812153366,0.349851667680556,132.097492553223,125.516384391299,10.7044348794398,26.5159348639593,68.7717206044287,84.6142967789045,50.550229350285,5.41117796478649,12.3729400930962,24.0599011427206,0.999999999702914,0.950179915818147,0.0810343532595573,0.200730039182222,0.520613368617037
"19",4,0.324286062865385,0.234258499838122,12.9527172369837,47.4573899147149,0.988841060026207,1.95504255736719,27.9731638318137,69.1521797254833,179.520664968339,0.818488482032744,0.472496804460193,0.558829122531859,0.515842266952486,0.386967393715794,110.257261145521,106.056875469331,9.07130716490724,22.4250881017365,58.2160496455583,90.2442983080851,50.1115347502914,5.06931062318208,11.5678082830089,22.527713003771,0.999999997925669,0.96190377075807,0.0822740112700402,0.20338876389848,0.528001955789231
"20",4,0.265441358483556,0.167327499884373,9.83381198287586,47.8835274939186,0.857116875674996,1.73570264794066,28.2043353974162,69.9884042185996,181.497101672086,1.06569242960438,0.562285397653409,0.6300306314513,0.581566736724277,0.425904042551058,90.2500619609919,87.6397615491855,7.486597103016,18.5778170938813,48.1768372286665,96.1788078031552,49.2785581729337,4.71678550023465,10.804240462749,20.5187097330134,1.00000000084856,0.971077024428341,0.0829539276394595,0.205848247701763,0.5338150049179
"21",4,0.213305629028877,0.119519642774552,7.28148119820213,48.219320346292,0.746679473507519,1.43981155883745,28.5218087631977,70.5470667381696,183.243829702912,1.39959866126329,0.678227405965521,0.708819378519488,0.654294810941066,0.497529794579615,72.5239133965183,70.9707324692739,6.08386235927523,15.0480864467275,39.0869403604401,101.504372099342,48.1342957821086,4.31235953649958,9.84588487668636,19.4469174082754,0.999999993473877,0.978583872302694,0.0838876728329344,0.207491372759322,0.538952440302682
"22",4,0.168320076988518,0.0853711734103943,5.39230686909465,48.4770375575345,0.630582070701151,1.30333664121138,28.7435084856248,71.0082174536584,184.445011157884,1.87018952686227,0.844534027577326,0.821761095786753,0.758548703803157,0.54142815195404,57.2288262157706,56.3211927084189,4.83810956122048,11.9521086286172,31.0457984782431,107.028751423355,47.5651637159998,3.97577021456491,9.06625650795209,16.8090692960127,1.00000000069326,0.98414027460769,0.084539730840073,0.208847698393113,0.542485326934954
"23",4,0.130771662038097,0.0609794095788531,3.84995847368626,48.6744649210358,0.537891452470182,1.0751304829387,28.9802130633267,71.3269079010609,185.555433568694,2.49668532883984,1.07546494001591,0.946778372335729,0.873949266771442,0.640037314421431,44.4623650750651,43.9588996066835,3.78979062850941,9.32753829426003,24.2653924479778,111.008534568436,47.2762553286673,3.58809180275333,8.1517952530511,15.5307566157858,0.999999999597683,0.988676592322135,0.0852359207744902,0.209785023238414,0.54575127520204
"24",4,0.100154904551921,0.0435567211277522,2.79009308475318,48.8096230129934,0.449155232210614,0.913728194316437,29.1783432167315,71.5354736101249,186.32358359718,3.39346446104735,1.37192774181341,1.11494776665837,1.02918255383849,0.739536711031584,34.0526675424763,33.7732260358818,2.92235417985495,7.16462853149855,18.6612207309475,115.556517109254,46.3344257291612,3.25827226621402,7.37371068935181,13.8006578031993,0.999999999847971,0.991793843716344,0.0858186565197986,0.210398451794485,0.548010539991706
