"","convergence","mu","x_C","x_W","x_CO2","C","I","AA","NT","ADP","ATP","RNA","DNA","p","tau tC","tau GLY","tau FERM","tau RESP","tau ADPS","tau EAA","tau ENT","tau RNAp","tau DNAp","tau r","v tC","v GLY","v FERM","v RESP","v ADPS","v EAA","v ENT","v RNAp","v DNAp","v r","p tC","p GLY","p FERM","p RESP","p ADPS","p EAA","p ENT","p RNAp","p DNAp","p r","f tC","f GLY","f FERM","f RESP","f ADPS","f EAA","f ENT","f RNAp","f DNAp","f r"
"11",4,0.765051255677508,0.0725381502864057,0.001,0.001,18.8281852997647,4.31256831563035,22.808046606531,9.61355138372565,2.26257919445626,15.4067708916842,44.2391070676275,7.88339620701889,128.645797317062,0.0792861639496667,0.015731922156022,0.00598011443068665,0.0142112696054948,0.0786710737810484,0.158194914435424,0.0109843595702983,0.355765274973541,0.164199357680096,0.133087561615843,200.238804452225,230.377989205265,6.36306798194368e-15,311.357040165397,13.5179584704072,146.244555774615,181.88384612985,33.8451844121401,6.03120216718311,492.103143875262,15.8761666788843,3.62428859263811,3.80518746622615e-17,4.42477884135932,1.06347230819455,23.1351449874119,1.99787756591909,12.0409413389152,0.990319521890267,65.4928074818491,1.03044305066041,1.18554142715291,3.27447978967434e-17,1.60226535106574,0.0695643704178755,0.752584827936414,0.935987136881894,0.174169712864675,0.0310369929410192,2.53239758498153
"12",4,0.74907494462993,0.055798577143389,0.001,0.001,18.3931117148871,4.24265196354315,22.5557114385983,9.41047925402727,2.22885297254234,15.2626057546921,43.9220404970276,7.74435765402012,130.240191219746,0.0930720131345667,0.0158833331643771,0.00599866603928438,0.0142854686199842,0.0791698918952399,0.158980112212016,0.0110693069948757,0.360184627590829,0.166239058888075,0.133911847807099,196.119109358194,225.803396433455,3.4686467882788e-15,308.109030140161,13.1024134775999,143.882368342467,176.208299514897,32.9009000533445,5.80110428087949,487.798320132612,18.2532003221253,3.58651057520048,2.08072536911209e-17,4.40148188160105,1.03731665858832,22.8744350644159,1.9505037623754,11.850398433117,0.964370116164988,65.3219744061571,1.03076799367468,1.18678345352641,1.82306053827227e-17,1.61936757651993,0.0688640107371437,0.756220750883853,0.926120233536583,0.172921419279636,0.0304895970630713,2.56378329172728
"13",4,0.729530410034576,0.0429219824179915,0.001,0.001,17.8776676928494,4.15831386498522,22.2473946443236,9.16632287060927,2.18798114015677,15.0849891514474,43.5217256074496,7.57541449090118,132.180191834143,0.110993617074937,0.016073670712561,0.00602187444666869,0.0143782929670868,0.0797988890447949,0.159959817507402,0.0111759951265656,0.365803832008029,0.16883253784986,0.134963551698655,191.074870058439,220.194034563215,1.30301775021499e-15,303.902366502813,12.601157099349,140.942213458885,169.356844159275,31.7504223278151,5.52649523972901,482.147347736057,21.2080909599097,3.53932640443938,7.8466092935754e-18,4.36959725896843,1.00555833720698,22.5450907439726,1.89273126497458,11.614426155388,0.933052216738616,65.0723184925449,1.03116094627358,1.18830638992223,7.03190857024805e-18,1.64004953514808,0.0680038200456856,0.76061339806594,0.913956731347119,0.171345376407282,0.0298244664996109,2.60197228019967
"14",4,0.705959006131302,0.0330169095523012,0.001,0.001,17.2783703325759,4.05816574804223,21.8758194554787,8.87769792176719,2.13920068645324,14.8688789035641,43.0209552576423,7.37322645376115,134.507687513507,0.134291702197418,0.016311361127931,0.00605068634989545,0.0144935290563849,0.080587069826542,0.161172392880227,0.0113090724921421,0.372917473834589,0.172115757154426,0.136298743976801,184.985102316744,213.410295327481,5.62953810940987e-15,298.500692362908,12.0070069635707,137.325607255621,161.229114374066,30.3710308165044,5.20519561927825,474.784566970274,24.841964271279,3.48101239550494,3.40625693948226e-17,4.32632845811281,0.967609508581044,22.1330967251188,1.82335174230018,11.3258880898433,0.895896185148976,64.7125401376175,1.03162902954902,1.19015127762822,3.13949332345456e-17,1.66468529479082,0.0669609432677844,0.765840498348737,0.899146108057757,0.169373839597017,0.0290284506053589,2.64778912428162
"15",4,0.677999865846023,0.0253976227325394,0.001,0.001,16.5957850246631,3.94130619840196,21.4349651817058,8.54296285358949,2.08197836689567,14.6097079234176,42.4016892230424,7.13541829880476,137.256188308987,0.164579212856643,0.0166060591023615,0.00608615710695924,0.0146353978977559,0.0815678683831656,0.162660164859402,0.0114738347655467,0.38188048527185,0.176252531663931,0.137983825800997,177.753277656218,205.33789674492,4.73796501837103e-16,291.647936632747,11.3169610655763,132.940201271865,151.782158648054,28.7483396048675,4.83781264934489,465.298386300147,29.2544945193486,3.40985324930075,2.88359994690831e-18,4.26838359867976,0.923100390694335,21.6240750553236,1.74152340868576,10.9784298790667,0.852676727162825,64.2036514807244,1.03217727468337,1.19235556973131,2.75124030605254e-18,1.69354048695983,0.0657153003555639,0.771956818203022,0.881368247745649,0.166935784342687,0.0280921980267904,2.70189347064935
"16",4,0.645461328461908,0.0195366328711841,0.001,0.001,15.8352433154408,3.80751169947161,20.9209273389106,8.16283136553964,2.01611702489829,14.3039345699939,41.646474536581,6.86109590198736,140.445864356224,0.203952976713636,0.0169686892922226,0.00612944167038545,0.0148085188393666,0.0827792249260095,0.164468923056621,0.0116762283967215,0.39311785469424,0.18143900985888,0.14009601086507,169.325917712996,195.90854432403,8.42071113637809e-15,283.091590172946,10.533962183006,127.712281245155,141.055434179508,26.8811887801366,4.42857207560131,453.261870921745,34.5345249523338,3.32431121832609,5.16142577335947e-17,4.19216714634233,0.871993224909133,21.0047013574949,1.64699546607865,10.5674752648782,0.803515732485788,63.5001799933749,1.03280776386645,1.19494917445885,5.13623428497764e-17,1.72672439142774,0.0642521716334339,0.778984324388324,0.860371226825878,0.163962498175516,0.0270121885905014,2.764682369217
"17",4,0.608392220960694,0.0150281791316801,0.001,0.001,15.0068336809793,3.65736640121381,20.3326875672055,7.74076315349979,1.94184283971892,13.949610418957,40.7403567397083,6.55128251533583,144.079256772599,0.255138869727727,0.0174115202882907,0.00618178703467159,0.0150178793604591,0.0842636064047474,0.166647692863563,0.0119228795016355,0.407136670502131,0.187909232539445,0.142723513548268,159.711359698116,185.121219688041,6.15547996379978e-15,272.617658937902,9.6682365423389,121.601709003598,129.190185833759,24.7861161196022,3.98574931964613,438.28349511124,40.7485757960557,3.22324187239145,3.80518662323982e-17,4.09413911346019,0.81468047863164,20.2646442537159,1.54031901848981,10.091336791614,0.748959095749319,62.5533603524913,1.03351893570951,1.19795039195003,3.98331409424638e-17,1.7641544925401,0.0625647766089602,0.786905008556751,0.836011312028147,0.160395105274442,0.0257924508477789,2.8362058419803
"18",4,0.56713726253525,0.0115601377936001,0.001,0.001,14.1247976040276,3.49229600049977,19.6726940773981,7.28299714985365,1.85984484415845,13.5468480249501,39.6730244456252,6.20915944125371,148.138338476607,0.321680530646044,0.0179482612269746,0.00624453012348346,0.0152688266209805,0.0860680242068289,0.169248421642642,0.012221123286082,0.424541609972146,0.195942281525606,0.145965538755738,148.994633798431,173.059506791376,7.82638511401365e-15,260.093109366779,8.73770961850752,114.616722052827,116.436122316979,22.5000504805859,3.52144568815753,420.073858800715,47.9286728636922,3.106117235703,4.88720976024407e-17,3.97131659223306,0.752037402957947,19.3986993012945,1.42298020578913,9.5522076554825,0.690000102406094,61.3163071170482,1.03430524707245,1.20136109178434,5.43299512382794e-17,1.8055393062638,0.0606562711382223,0.795657360263485,0.808287447614703,0.156193009628446,0.0244455096112351,2.91610902513005
"19",4,0.522359447976955,0.00889241368738467,0.001,0.001,13.2061568590978,3.31449511346869,18.9469654902852,6.79816079900656,1.77125274178463,13.0980916211187,38.4408344644175,5.84001446073569,152.584028334507,0.408184689839858,0.0185942831416921,0.00631910313822426,0.0155670888537204,0.0882441354218477,0.172326410451458,0.0125791133016131,0.446055523216999,0.205871779946307,0.149932377742839,137.343956681401,159.900369835551,5.78923421189686e-16,245.508260822539,7.76714251318548,106.82520816321,103.139957592536,20.0799330706066,3.05058672988733,398.518544054565,56.0617003593767,2.97323275118352,3.65827680763127e-18,3.82184891054683,0.68540477577433,18.4088046684958,1.29740921248008,8.95676505197175,0.628029719962489,59.7508328847151,1.03515738252141,1.20516440841397,4.36332888493382e-18,1.85038857770768,0.0585407258382025,0.805138467985525,0.777362842272893,0.151341867970148,0.0229921829162822,3.00362260500997
"20",4,0.475016574991119,0.00684031822106513,0.001,0.001,12.2691287370201,3.12675487630994,18.1647801792899,6.29653292977145,1.6775576517207,12.6081068175339,37.0483160735696,5.45089718200098,157.35792506317,0.520640096791816,0.019366899136918,0.00640705040563792,0.0159188427479856,0.0908483467949223,0.175940862501032,0.0130059658998156,0.472545173415871,0.218097772345787,0.154745637877121,125.005346035844,145.90991532139,1.78322888592118e-15,229.007169509161,6.78592740765766,98.3585520948262,89.7147174693257,17.5985642104555,2.58926651002285,373.738113056079,65.082795459596,2.82582261310561,1.14252373568865e-17,3.64552911957763,0.616490286456052,17.3052884899164,1.16682655611764,8.31611657670002,0.564713257845533,57.8343427038547,1.0360628608515,1.20932303368156,1.47796656678249e-17,1.898045409427,0.0562427735010026,0.815210277833692,0.743568893566372,0.145859512100668,0.0214602251259881,3.09759695006239
"21",4,0.426289145907939,0.00526178324697318,0.001,0.001,11.3315247434388,2.93222391603737,17.3379542730105,5.78901610464777,1.58046173351387,12.0836337714745,35.5084172908385,5.04994552959919,162.386822480603,0.66683212582936,0.0202858789972006,0.00651005912076525,0.0163308364091288,0.0939424279022759,0.180155860676374,0.013511981650705,0.50505922318416,0.233104256854228,0.160539736977576,112.284472509564,131.425118614594,1.51976078578971e-16,210.896290305545,5.82485560242603,89.4058416705292,76.5935334714741,15.1368528794543,2.15273696669445,346.118699309802,74.8748935011812,2.66607405340839,9.89373256491167e-19,3.444112816272,0.547201077472076,16.1069863556498,1.03493041882921,7.64500715675008,0.501812150823935,55.5658049502163,1.03700705646239,1.21378114314187,1.4035802313312e-18,1.94773984630834,0.0537956515944427,0.825710684915947,0.707382177732023,0.139796918467868,0.0198816753133826,3.19659099371266
"22",4,0.377469711154343,0.00404752557459475,0.001,0.001,10.40934638778,2.73417105525201,16.4797741395022,5.28617976304311,1.48176070778831,11.5328441452469,33.8420008822122,4.6456661310005,167.588258502082,0.856881763578169,0.0213739405948998,0.00662999096549079,0.0168105158200899,0.0975938955635569,0.185042194458407,0.0141089888740343,0.544871852823738,0.251479316687879,0.167463586233658,99.5181825488927,116.823550680352,1.07824594301589e-16,191.625014144291,4.91261913466308,80.1980673306724,64.179402495242,12.7743302978937,1.75359825258827,316.297457648201,85.2753157705893,2.4969796323271,7.14876086077246e-19,3.22131533179754,0.479441638771839,14.8400263701907,0.90550647574754,6.96037301799573,0.440993690305958,52.9683065743564,1.03797432409755,1.21846925808296,1.12461017197837e-18,1.99864828157291,0.0512386017836029,0.836465584473346,0.669390961729584,0.133236223945717,0.0182900241377973,3.29898146657642
"23",4,0.329834532218518,0.00311348121122673,0.001,0.001,9.51601813869494,2.53575019183794,15.6040090909189,4.79740773695299,1.38317812513505,10.9646405294439,32.0760218929594,4.2461649466587,172.876810442357,1.10394629265162,0.0226575341741943,0.00676893227686626,0.0173662254946243,0.101876867898993,0.190678731470526,0.0148107002435304,0.593542738563504,0.273942802413925,0.175683707704939,87.0410478141251,102.486356195352,2.2229738110331e-15,171.740856287694,4.07273698985214,70.9851825589363,52.8005965030856,10.5797796764952,1.40053182890384,285.103709518421,96.0886420429157,2.32208811788483,1.50471591801304e-17,2.98249043693196,0.414917688302508,13.5353645635417,0.782013807486799,6.27955140258548,0.383665614079818,50.0880767686282,1.03894910063499,1.22330911989824,2.65341089027328e-17,2.04995243811193,0.0486134592699959,0.847301284050594,0.630244391899076,0.126283550759683,0.016717184829365,3.40308681973144
"24",4,0.284522848986216,0.00239498554709749,0.001,0.001,8.66203337312998,2.33984116607907,14.7238752225368,4.3303421092932,1.28625588768964,10.3879659818364,30.2411804334717,3.85854619501563,178.169959409586,1.4251301804471,0.0241676799617502,0.00692923385847631,0.0180073677068433,0.106873030390931,0.197153958900548,0.0156331737117236,0.652992036803936,0.301380940063355,0.185388400046288,75.1535491156293,88.7620952715214,1.40382890638155e-15,151.82871242699,3.32158286601473,62.0106111364198,42.6820823653418,8.60430681363757,1.09784455635077,253.46712227487,107.103591012397,2.14517391125651,9.72745878960681e-18,2.73403545312937,0.35498762658559,12.2256374793876,0.667256407995483,5.61854383152318,0.330869424436432,46.9898642628748,1.03991688429493,1.2282214565307,1.94251023349722e-17,2.10088869296992,0.0459615034233308,0.858055039117229,0.590601756415985,0.119059765486109,0.01519112675203,3.50728266554303
