"","convergence","mu","x_C","C","AA","NT","ATP","ADP","P","RNA","p","tau Cin","tau EAA","tau ENT","tau RNAp","tau R","v Cin","v EAA","v ENT","v RNAp","v R","p Cin","p EAA","p ENT","p RNAp","p R","f Cin","f EAA","f ENT","f RNAp","f R"
"11",-1,6.90985845177424e-20,0.0345716130336078,143.464338571225,2.01511876446757,0.183490667563481,1.9875850475373e-10,-1.66942573167162e-10,-3.18026046115943e-11,0.183863015721627,2.63135909327083,2120279.34332326,-49562792718830.4,0.127800306307744,24598.453378074,724053179034493568,2.93132325329742e-17,3.29695473603765e-17,2.538361953238e-20,1.98510533305123e-20,3.63646377405809e-18,6.21522414256966e-11,-0.001634062841856,3.24403435143742e-21,4.88305209856266e-16,2.63299315605053,2.65054067475096,2.98114942487169,0.00229521994775886,0.00179495810398891,0.3288137920155
"12",-1,6.76997883847196e-20,0.0246940093097198,142.029695185513,1.99496757682289,0.181655760887846,1.96770919706192e-10,-1.6527314743549e-10,-3.14845785654783e-11,0.18202438556441,2.60504550233812,2958685.61925677,-41947938923015.3,0.128061446369118,24900.6675327079,738935061539204992,2.84326322553889e-17,3.19791075470687e-17,2.46210689545416e-20,1.92547068493269e-20,3.52722058481712e-18,8.41232201716353e-11,-0.00134145765019697,3.15300970147238e-21,4.79455053694841e-16,2.60638695990419,2.65054067475096,2.98114942487169,0.00229521994775886,0.00179495810398891,0.3288137920155
"13",-1,6.63311547321347e-20,0.0176385780783713,140.609398233657,1.97501790105466,0.179839203278968,1.9480321050913e-10,-1.63620415961135e-10,-3.11697327798235e-11,0.180204141708766,2.57899504731473,4132397.94658563,-36512461677910,0.128325242505427,25207.0255961084,754124636908520832,2.75792536553891e-17,3.10192848411499e-17,2.38820908266567e-20,1.86767950110245e-20,3.42135439073685e-18,1.13968451173894e-10,-0.00113259044903866,3.06467509686735e-21,4.70786449896165e-16,2.5801276376498,2.65054067475096,2.98114942487169,0.00229521994775886,0.00179495810398891,0.3288137920155
"14",-1,6.49912609732395e-20,0.0125989843416938,139.203304251321,1.95526772204412,0.178040811246178,1.92855178404039e-10,-1.61984211801524e-10,-3.08580354520254e-11,0.178402100291679,2.55320509684159,5775555.39390518,-32440560452971.5,0.128591721917207,25517.5915825429,769628321839669120,2.67519293793819e-17,3.00887662820136e-17,2.31656742858182e-20,1.81165272784852e-20,3.31872037534074e-18,1.54507250024459e-10,-0.000976096441526992,2.97891394578653e-21,4.62290143986384e-16,2.55418119312861,2.65054067475096,2.98114942487169,0.00229521994775886,0.00179495810398891,0.3288137920155
"15",-1,6.36790803463055e-20,0.0089992745297813,137.811271208808,1.93571504482368,0.176260403133717,1.90926626619999e-10,-1.60364369683509e-10,-3.05494550975052e-11,0.176618079288762,2.52767304587318,8075959.95623507,-29278473985976.9,0.12886091208729,25832.4306027564,785452668496697600,2.5949686965746e-17,2.91864581104014e-17,2.24709772346634e-20,1.75732450963114e-20,3.21919789954698e-18,2.095686328122e-10,-0.000854534954528192,2.89563062195146e-21,4.53959634415693e-16,2.52852758061814,2.65054067475096,2.98114942487169,0.00229521994775886,0.00179495810398891,0.3288137920155
"16",-1,6.23937895181358e-20,0.00642805323555806,136.43315849672,1.91635789437545,0.17449779910238,1.89017360353799e-10,-1.58760725986674e-10,-3.02439605465301e-11,0.174851898495875,2.50239631541445,11296544.7524866,-26753703296459.8,0.129132840783808,26151.6088841813,801604367419601408,2.51716624175343e-17,2.83113885608065e-17,2.17972515001699e-20,1.7046363361872e-20,3.12267977989855e-18,2.84352810994162e-10,-0.000757434489466602,2.81474100749605e-21,4.45789827537314e-16,2.50315374961956,2.65054067475096,2.98114942487169,0.00229521994775886,0.00179495810398891,0.3288137920155
"17",-1,6.11346809177633e-20,0.0045914665968272,135.068826911753,1.89719431543169,0.172752821111356,1.87127186750261e-10,-1.57173118726807e-10,-2.99415209410648e-11,0.173103379510916,2.4773723522603,15805430.7555225,-24692720160622.6,0.12940753606323,26475.1937915362,818090250497392384,2.44170605172512e-17,2.74626632262113e-17,2.11438084684725e-20,1.65353435502911e-20,3.02906736539844e-18,3.85922159258816e-10,-0.000678127857910258,2.73616815689788e-21,4.37776424903585e-16,2.47805047973229,2.65054067475096,2.98114942487169,0.00229521994775886,0.00179495810398891,0.3288137920155
"18",-1,5.99011187622227e-20,0.00327961899773372,133.718138642636,1.87822237227738,0.171025292900243,1.85255914882759e-10,-1.5560138753954e-10,-2.96421057316542e-11,0.171372345715807,2.4525986287377,22118007.9870169,-22979775379764.8,0.129685026273437,26803.2538478228,834917294006528128,2.36851346520865e-17,2.66394423668712e-17,2.05100016146446e-20,1.60396800520051e-20,2.93826803472164e-18,5.2386799740842e-10,-0.00061216840183289,2.65984009826342e-21,4.29915616071751e-16,2.45321079661567,2.65054067475096,2.98114942487169,0.00229521994775886,0.00179495810398891,0.3288137920155
"19",-1,5.8692515268615e-20,0.00234258499838122,132.380957256209,1.8594401485546,0.169315039971239,1.8340335573393e-10,-1.54045373664143e-10,-2.93456846743375e-11,0.169658622258648,2.42807264245031,30955851.6972189,-21534699009194.9,0.129965340056826,27135.8587557282,852092621716232448,2.29751756623726e-17,2.58409283678107e-17,1.9895216846086e-20,1.55588926208874e-20,2.85019381280643e-18,7.11216130521961e-10,-0.000556476614518969,2.58568862290587e-21,4.22203912555941e-16,2.42862911835362,2.65054067475096,2.98114942487169,0.00229521994775886,0.00179495810398891,0.3288137920155
"20",-1,5.75083169687142e-20,0.00167327499884373,131.057147683647,1.84084574706905,0.167621889571527,1.81569322176592e-10,-1.52504919927502e-10,-2.90522278275942e-11,0.167962036036062,2.40379191602582,43329208.5618162,-20300205662425,0.130248506353453,27473.0794194384,869623508062068992,2.2286505214048e-17,2.50663582846174e-17,1.92988667634466e-20,1.50925218860507e-20,2.76476054867291e-18,9.65656632533488e-10,-0.000508852228385763,2.51364857025322e-21,4.14638052415084e-16,2.40430076728854,2.65054067475096,2.98114942487169,0.00229521994775886,0.00179495810398891,0.3288137920155
"21",-1,5.63479964166354e-20,0.00119519642774552,129.74657620681,1.82243728959836,0.165945670675812,1.79753628954826e-10,-1.50979870728227e-10,-2.87617055493183e-11,0.166282415675702,2.37975399686556,60652482.370961,-19234273154269.6,0.130534554404205,27814.9879668763,887517381389591808,2.16184715935514e-17,2.43149991138228e-17,1.87203870192407e-20,1.46401265041311e-20,2.68188739375709e-18,1.311213967215e-09,-0.000467681334701089,2.44365737783086e-21,4.07214942545954e-16,2.38022167688905,2.65054067475096,2.98114942487169,0.00229521994775886,0.00179495810398891,0.3288137920155
"22",-1,5.5211046933309e-20,0.00085371173410394,128.449110444743,1.80421291670238,0.164286213969054,1.77956092665278e-10,-1.49470072020946e-10,-2.84740884938251e-11,0.164619591518945,2.35595645689691,84905921.083591,-18305376757453,0.130823513754017,28161.6577723662,905781827269356672,2.09704468734463e-17,2.35861446049873e-17,1.81592338634357e-20,1.42012812398353e-20,2.60149645029135e-18,1.78051510732447e-09,-0.000431753263250061,2.37565478109559e-21,3.99931622205367e-16,2.35638820837965,2.65054067475096,2.98114942487169,0.00229521994775886,0.00179495810398891,0.3288137920155
