"","convergence","mu","x_C","x_W","x_CO2","C","AA","NT","ADP","ATP","CI1","LIP","rRNA","mRNA","tRNA","DNA","TC","p","tau tC","tau CCM","tau FERM","tau ATPS","tau ADPS","tau EAA","tau ENT","tau LIPS","tau rRNAp","tau mRNAp","tau tRNAp","tau DNAp","tau tRNAc","tau r","v tC","v CCM","v FERM","v ATPS","v ADPS","v EAA","v ENT","v LIPS","v rRNAp","v mRNAp","v tRNAp","v DNAp","v tRNAc","v r","p tC","p CCM","p FERM","p ATPS","p ADPS","p EAA","p ENT","p LIPS","p rRNAp","p mRNAp","p tRNAp","p DNAp","p tRNAc","p r","f tC","f CCM","f FERM","f ATPS","f ADPS","f EAA","f ENT","f LIPS","f rRNAp","f mRNAp","f tRNAp","f DNAp","f tRNAc","f r"
"11",4,1.01916846492592,0.0485193928301464,0.001,0.001,1.12954113101615,6.66506714656024,9.8781814134305,1.75500333553882,18.2127474411032,2.61882332144884,21.7582374129352,46.5726351598711,14.0292172631463,1.8745776874006,10.3167763859179,12.4601857916659,152.729007224734,0.0304960022035032,0.0438000804099308,0.00239885183213009,0.0685447641863673,0.0925240049673473,0.114108232917428,0.0159913721293281,0.0514695050648561,0.166291223829207,0.24943683574381,0.166291223829207,0.178364657945179,0.000226257910167279,0.0037801829358065,783.365337117742,135.428857572149,2388.07398455748,2.1192318530974e-15,20.3505019070536,221.169052008161,350.814155266164,123.196163464638,47.4653610834409,14.2981358221931,14.4758649066054,10.51453315222,15579.0261826324,15565.6587842892,23.8895110468907,5.93179485148517,5.7286356531179,1.452622476268e-16,1.88290993953624,25.2372097006739,5.60999970509712,6.34084555941404,7.89307298406058,3.56648175652306,2.40720929130568,1.87542110914897,3.52487790652371,58.8410377209567,2.56210614854755,0.442939063340531,7.81053073082492,6.93124485313111e-18,0.0665591692554733,0.723364388451836,1.1473868725313,0.402930322461762,0.15524211719957,0.0467640575438211,0.0473453454287611,0.0343892546197265,50.9533890250575,50.9096690749113
"12",4,1.00661237290884,0.0451343189117641,0.001,0.001,1.08359926319797,6.63089477064265,9.77843139632501,1.7534614837222,18.1895472752441,2.5479106349979,21.9988031861574,46.3452764764071,13.9802455612584,1.8666147570471,10.2349461987314,12.411587232473,153.178682097405,0.0315929095347948,0.0451760274505346,0.00246738467766141,0.0705031545764034,0.0927295275881193,0.115412980610656,0.0163731939479188,0.0526768416519593,0.167362536068393,0.251043804102589,0.167362536068393,0.17967744869536,0.000227187873916106,0.00379486111518254,774.844932001092,134.004458722322,2364.30609896314,5.06999760012948e-15,20.0748793698049,218.590865751389,344.868599909206,123.023708202069,46.6517287270323,14.0726881582665,14.2411026036906,10.3026234796994,15432.3068846966,15419.1556665117,24.4796058402047,6.05378910573363,5.83365264188307,3.57450824503923e-16,1.86153408035049,25.2282233506315,5.64660047286062,6.48050039639722,7.80775163173081,3.53286116920069,2.38342704816384,1.85114910170129,3.50603299075511,58.5135542677918,2.56585008243044,0.443747306407149,7.82925040659209,1.67889770235937e-17,0.0664766958632215,0.723849854006597,1.14201059974599,0.407385244188099,0.154484254921357,0.0466008185375279,0.0471585123428648,0.0341164873291048,51.1031101280208,51.0595606991349
"13",4,0.993707340134692,0.0419854129411759,0.001,0.001,1.03892594746194,6.59298260869063,9.67290119175106,1.75149660461544,18.1627086943684,2.4768654685414,22.2351346532507,46.1027832077598,13.9281048572637,1.85822761953673,10.1477470738886,12.3598080153393,153.67231256578,0.0327545070331497,0.0466247030747591,0.00253999581399798,0.0725780901927906,0.0929489009050104,0.116801841808518,0.0167804428477828,0.0539590657773073,0.168525548175607,0.25278832226341,0.168525548175607,0.181103041963271,0.000228214876712855,0.00381074746525858,766.112418169017,132.533846170009,2340.00108805487,6.74716657970428e-15,19.7888919785498,215.95470051915,338.734226279099,122.751202854547,45.8126740741893,13.8404600308286,13.9992818258574,10.0838907531535,15283.4589518904,15270.5304972088,25.0936345891004,6.17935122503248,5.94359296841009,4.8969646456756e-16,1.83935575953418,25.2239067678436,5.68411032466435,6.6235402290721,7.72060601174317,3.49870667054695,2.35923664376743,1.82622329022139,3.48791270045165,58.1921353853925,2.56987943776006,0.444577059452417,7.84939721366284,2.26329768909954e-17,0.0663806843299474,0.72440745142622,1.13626421179897,0.411761752837976,0.153675944025866,0.046427016190879,0.0469597746420318,0.0338258235796288,51.2674719360156,51.2241041885934
"14",4,0.98045073488927,0.0390561980848148,0.001,0.001,0.995834989094699,6.55662258767753,9.57255500320331,1.74933208656678,18.1435663206496,2.40674270992259,22.4839363726637,45.8696114963698,13.8773788351366,1.8501366606344,10.0652666109805,12.3098588776045,154.119157675393,0.0339759185848195,0.0481486644593518,0.00261681709007434,0.0747733406519188,0.093159589688631,0.118269827329238,0.0172055199510258,0.0553025226034645,0.169653011472038,0.254479517208058,0.169653011472038,0.182486655882763,0.00022920224001539,0.00382603389668422,756.99317282038,131.008209623042,2314.28976066059,1.39740479057967e-15,19.5040068624329,213.208250049255,332.613885591053,122.468844109898,44.9728943007011,13.6060862772465,13.7561337137804,9.86849804559222,15123.328572107,15110.6241403354,25.7195384090095,6.30787032656029,6.05607299708068,1.04488624434637e-16,1.81698527658849,25.2161029184944,5.72279484452507,6.77283601960783,7.62978695272762,3.46247026692486,2.33376951075487,1.80086920692571,3.46630078521566,57.8137601609783,2.57362301467693,0.445401300174585,7.86811506961969,4.7508924241104e-18,0.066309661357388,0.724864739798595,1.13081964500276,0.416369192086365,0.152898704987899,0.0462579294504554,0.0467680602545656,0.0335508887032682,51.4162450457542,51.3730525584644
"15",4,0.966839954343189,0.0363313470556417,0.001,0.001,0.953886573052529,6.5127890053332,9.46276387390795,1.746533576374,18.1178013645249,2.33631031271019,22.7248090612001,45.6133663127982,13.8219858023491,1.84150148586184,9.97427625098243,12.2549170637583,154.639058681543,0.0352717731310782,0.0497539392961252,0.00269847495788481,0.0771068071482362,0.0933916902221972,0.119837040277536,0.017664097460241,0.0567366515755703,0.170920827279983,0.256381240919975,0.170920827279983,0.184042938135477,0.000230364139682271,0.00384315870547088,747.708320464962,129.438192785355,2288.28167388267,3.29102801262123e-15,19.2056326873164,210.416202548188,326.248119630188,122.062518639936,44.1008250033049,13.3636481220754,13.5042591568703,9.64352879510621,14963.5941945384,14951.1220435337,26.3729982476597,6.44005998644269,6.17487079355911,2.53760662288629e-16,1.79364649845515,25.2156549398134,5.76287858136801,6.92541859051058,7.53774949329466,3.4261886887556,2.30815914689557,1.77482337344542,3.44707550317946,57.4595348381641,2.57784244126495,0.446258598105781,7.88921221691816,1.13463384773507e-17,0.0662144498029958,0.72544306705216,1.12479188227115,0.420829797429632,0.152044554375994,0.0460732860078304,0.0465580647421089,0.0332475875032748,51.5893526028435,51.5463528938478
"16",4,0.952873690210049,0.0337966019122248,0.001,0.001,0.913317535273103,6.47024495645434,9.3515601178199,1.74337061408658,18.0919715840337,2.26661093076302,22.9690777550031,45.3493349803071,13.7646049728321,1.83245835811334,9.88124802376161,12.1985948878176,155.167605412113,0.0366418776261868,0.0514492097789829,0.00278494422171896,0.0795777713222792,0.0936296167229967,0.121502617045501,0.0181463267373313,0.0582513646808549,0.172243448971264,0.258365173456896,0.172243448971264,0.185666902298032,0.000231538759755946,0.00386100752897905,738.13056779991,127.818478062795,2261.34230307284,6.28150177608867e-15,18.9005757169019,207.544108519594,319.768255165156,121.592388228507,43.2121881712569,13.1159299347462,13.2474665352864,9.41558126828248,14797.7483718793,14785.5128770097,27.0464899374721,6.57615969148305,6.29771218027137,4.99867911898074e-16,1.7696536602175,25.2171523375061,5.80261923845323,7.08292254911487,7.44301632821253,3.38869951263918,2.28178932616913,1.74816180741738,3.42625230520551,57.0869765379512,2.58212106313622,0.447133337734122,7.91060531354146,2.19738874824147e-17,0.0661178073270672,0.726028750896471,1.11861015246301,0.425353291759316,0.151164449934357,0.0458820165761071,0.046342156613175,0.0329374934125387,51.7653372246967,51.722535137371
"17",4,0.938551390651006,0.0314386994532324,0.001,0.001,0.874057820807822,6.42363427987847,9.24063727683684,1.73992881545981,18.0705166362285,2.19739273151183,23.2159891761338,45.0846366135467,13.7066719510848,1.82364736610054,9.78879275917709,12.1419234450343,155.692171902937,0.0380906607760018,0.0532362333602529,0.00287685308163947,0.0822041865032311,0.0938702547519153,0.123274553899917,0.018659572571488,0.0598517416459591,0.173593335368662,0.260390003052993,0.173593335368662,0.187326217012398,0.00023278275413836,0.00387902698741406,728.236906476739,126.143583965296,2233.35744277152,6.37287439507033e-15,18.5931211280981,204.58363806946,313.231537360357,121.052216258884,42.3142483906395,12.8644160208878,12.9874499151371,9.18728505692016,14624.5060443867,14612.5104452977,27.7390249691704,6.71540927287515,6.42504124163971,5.23876955334027e-16,1.74534101692778,25.2199567182348,5.84476660305433,7.24518597319749,7.34547151174915,3.34976532695394,2.25453474870209,1.72101935432739,3.40433279492543,56.6823223711797,2.58638618950712,0.448008087150132,7.93193093462328,2.26337256135753e-17,0.0660348181722947,0.726593628249293,1.11246452238519,0.42992572548396,0.150282122045156,0.045688906503616,0.0461258703022062,0.032629309197257,51.9399938744705,51.8973906343125
"18",4,0.923873129832805,0.0292453018169604,0.001,0.001,0.836029697405791,6.37470725162069,9.12311990386874,1.73575068751992,18.0429474643264,2.12867495011292,23.4614662029674,44.8003348972757,13.6447554935792,1.81412427897953,9.68973017639889,12.0810839378144,156.267275065047,0.0396261056852455,0.0551253683444651,0.00297451151931569,0.0849949111980707,0.0941270388582667,0.125164634093325,0.0192060276698016,0.0615543383236479,0.175070100078719,0.262605150118078,0.175070100078719,0.189141816204009,0.000234130909975314,0.00389876479351145,718.12136656315,124.423432632878,2204.7971380346,6.6985677947601e-15,18.2730077655647,201.562777665837,306.495401899748,120.418990063345,41.3898256191039,12.6060229636564,12.7199212014587,8.95208134530502,14448.8624808256,14437.1136504789,28.4563531662643,6.85888755457015,6.55819448483818,5.69344174869891e-16,1.71998411200671,25.2285313133787,5.88655916955353,7.41231125495114,7.24612091337724,3.31040655276293,2.22687787773279,1.69321292445702,3.38292532074389,56.2869104204108,2.59098117614594,0.448919621158356,7.95490588061446,2.41684259395095e-17,0.065928993839488,0.727238301296176,1.10583510514124,0.434471596351249,0.149334449657586,0.0454825183119307,0.0458934630406113,0.0322991005879963,52.131481456552,52.0890916883491
"19",4,0.908840447238631,0.0272049319227538,0.001,0.001,0.799258295035107,6.32269077736073,9.00500643996761,1.73127641918422,18.01792162202,2.06064137512137,23.7075425360097,44.5129017215517,13.5813074138225,1.80464870141748,9.59026935209318,12.0193552352298,156.847179275138,0.0412534963597874,0.0571225804187827,0.00307833796315041,0.0879619050347729,0.0943895353840106,0.127179114735994,0.0197876174388925,0.0633558841744491,0.176594417087835,0.264891625631752,0.176594417087835,0.191017809508858,0.000235550061313531,0.00391896890043607,707.699554017306,122.648400563977,2175.23710302777,7.11235091162326e-15,17.9488699803723,198.458465547314,299.689232382039,119.702075340866,40.4551255085043,12.3432415040637,12.4488278552787,8.7160246870953,14266.4046625665,14254.9060560534,29.1950809754761,7.00599312445084,6.69611495310369,6.25615935462186e-16,1.69418549811535,25.2397719601712,5.93013588093115,7.58383082073711,7.14414930738951,3.26962130757676,2.19839349852974,1.66491594335408,3.36045249299119,55.864533512311,2.59561347710533,0.449834735152999,7.97806739946079,2.60858068587397e-17,0.0658306601373471,0.727881577565124,1.0991633470708,0.439028565481661,0.148376339071839,0.0452710247127416,0.0456582813595152,0.0319675645069773,52.3245662679765,52.2823930917126
"20",4,0.893455702442364,0.0253069134165152,0.001,0.001,0.763681793827864,6.26726696804633,8.88377033112253,1.7263770067991,17.9927043225536,1.99319584181259,23.9521075204331,44.2138362881148,13.5156540825969,1.79489767422965,9.48730643878408,11.955352855518,157.453848535309,0.0429798805017452,0.0592347526383779,0.00318885160769117,0.0911200063429228,0.0946635744362748,0.129330910598174,0.0204082958755068,0.0652693405108695,0.178210949853734,0.267316424780602,0.178210949853734,0.193008149493331,0.000237069959800356,0.00394024347952785,697.008989738929,120.821833554549,2144.86139655379,2.35448269969716e-15,17.618125660635,195.281708627908,292.764710815093,118.889705831353,39.5031041584693,12.0756382123346,12.1728020807228,8.47648803854979,14079.0476510457,14067.8038845368,29.9573630876213,7.15685142391899,6.8396447126753,2.14540478530707e-16,1.66779474990316,25.2559612000146,5.97482884022162,7.7598526931437,7.03988571425182,3.22801643386529,2.16932662118712,1.63603127052285,3.33771926066071,55.4305725273228,2.60042360553364,0.450765991062451,8.00211803334912,8.78417994781727e-18,0.0657302710978425,0.728563293043265,1.09225601976232,0.443557546674687,0.147379454293716,0.0450521802753229,0.0454146823673781,0.0316243547959469,52.526564784947,52.4846161784364
"21",-1,0.877088572734181,0.0235413148060607,0.001,0.001,0.763681793827864,6.26726696804633,8.88377033112253,1.7263770067991,17.9927043225536,1.99319584181259,23.9521075204331,44.2138362881148,13.5156540825969,1.79489767422965,9.48730643878408,11.955352855518,157.453848535309,0.0471953307902604,0.0592347526383779,0.00318885160769117,0.0911200063429228,0.0946635744362748,0.129330910598174,0.0204082958755068,0.0652693405108695,0.178210949853734,0.267316424780602,0.178210949853734,0.193008149493331,0.000237069959800356,0.00394024347952785,684.240548604532,118.608509921422,2105.56988541619,2.31135115592138e-15,17.2953808987912,191.70436165255,287.401582030095,116.711776661513,38.7794505650453,11.8544257488738,11.9498096816339,8.32120806348493,13821.1349213576,13810.0971283338,32.2929590315001,7.02574574600203,6.71434991421553,2.10610331988278e-16,1.63724257711645,24.7932996581659,5.86537652115893,7.61770069254882,6.91092272000267,3.16888270901604,2.12958693393534,1.60606096988221,3.27657590020154,54.4151451615636,2.60042360553364,0.450765991062451,8.00211803334912,8.78417994781727e-18,0.0657302710978425,0.728563293043265,1.09225601976232,0.443557546674687,0.147379454293716,0.0450521802753229,0.0454146823673781,0.0316243547959469,52.526564784947,52.4846161784364
