"","convergence","mu","x_C","x_W","C","AA","NT","ATP","RNA","DNA","p","tau tC","tau ATPS","tau EAA","tau ENT","tau RNAp","tau DNAp","tau r","v tC","v ATPS","v EAA","v ENT","v RNAp","v DNAp","v r","p tC","p ATPS","p EAA","p ENT","p RNAp","p DNAp","p r","f tC","f ATPS","f EAA","f ENT","f RNAp","f DNAp","f r"
"11",4,0.90359748542172,0.0725381502864057,1e-05,33.7265808255025,15.7678550527141,4.68748104753625,14.8071503844029,36.9055820713087,6.73039918189785,141.374951403241,0.0699583799555882,0.110512686953832,0.221025373907664,0.0434924386723789,0.322406836776866,0.24180512758265,0.536367856099654,272.809171140647,86.5908197474144,136.093866207616,43.6649590218225,33.3477911576595,6.0815717766473,127.746050589586,19.0852876500265,9.56938415582171,30.0801976650779,1.89909555238855,10.7515558606366,1.47055523935524,68.5188752799344,1.18863971205405,0.377279424371065,0.592966040199374,0.190249851577728,0.145297567209877,0.026497634574401,0.556594296863153
"12",4,0.882995681395423,0.055798577143389,1e-05,32.896766924414,15.6176046752832,4.58898540958034,14.551105724736,36.6487794118862,6.61141554765974,143.085342363064,0.0821223645305,0.111198280328668,0.222396560657335,0.0439013789537869,0.3257946256636,0.2443459692477,0.539595634949812,266.623276476845,84.6847467048187,133.878047814985,42.2506196242491,32.360713949109,5.83785137649411,126.343739377571,21.8957339031478,9.41679820364464,29.774017381571,1.85486046315647,10.5429466872568,1.42645545291347,68.1745302713742,1.18879170193262,0.377583403419382,0.596921298156856,0.18838259987845,0.144286533117662,0.0260291950695265,0.563328119539623
"13",4,0.857897701038904,0.0429219824179915,1e-05,31.9182387611844,15.4320146306438,4.47066995959444,14.2443085151634,36.3217813457183,6.46626926966918,145.146717485429,0.0979355444778854,0.112052545365215,0.224105090730429,0.0444143364778145,0.33010702972691,0.247580272295182,0.543716414484065,259.084697386314,82.3573627007956,131.100334550195,40.5431477353169,31.1603727141294,5.5473975407477,124.521035244093,25.3736009044168,9.22835212019034,29.380252369161,1.80069700538611,10.2862580818447,1.37342619366794,67.7041308107619,1.18897450408327,0.377949008423208,0.601637058573735,0.186057955019614,0.142999139156371,0.0254577530301936,0.571443769627673
"14",4,0.827777604261712,0.0330169095523012,1e-05,30.7862699341844,15.2055925709343,4.33094067133765,13.882920876611,35.9092278217903,6.2917733883184,147.593274737842,0.118492678409486,0.113108511314503,0.226217022629006,0.045053416950973,0.335573383831,0.25168003787325,0.548950070352968,250.034173877467,79.5573247882984,127.659519601374,38.5180993722688,29.7248545772095,5.2081891019398,122.174407367632,29.6272189566442,8.99861057096883,28.878756434472,1.73537199117784,9.97487003435858,1.31079723042725,67.0676495197936,1.18919200792655,0.378384015845072,0.607163725227791,0.183196621580497,0.141374912684214,0.0247707613713323,0.581075884794655
"15",4,0.792255106331518,0.0253976227325394,1e-05,29.5038824607309,14.933319616677,4.16905413424854,13.4652418690125,35.3948830223045,6.08549868049963,150.448120273612,0.145216952520567,0.114402690658991,0.228805381317983,0.045843860358359,0.342470761933158,0.256853071449868,0.555556169555518,239.355961851401,76.2463295959387,123.460331329967,36.1659986430579,28.0417768124275,4.82126740419955,119.193291524747,34.7585433476895,8.72278525864768,28.2483881875976,1.65798899151295,9.60348867091159,1.23835734104979,66.2185684762027,1.18944806915167,0.378896137853859,0.613519928985197,0.179722188334853,0.139349933158679,0.0239586562224395,0.592315434148078
"16",4,0.75118509904978,0.0195366328711841,1e-05,28.0828460766337,14.6112542853328,3.9854060754249,12.992326376171,34.7629725678201,5.84625452449823,153.718940348604,0.179958508864973,0.11597484923116,0.231949698462321,0.0468141873999258,0.351131707756475,0.263348780817357,0.563835384720513,227.004815205219,72.4075997108195,118.427329212784,33.4988239331998,26.1134269916227,4.39161928405542,115.471377431593,40.8514480495,8.3974604596525,27.4691833006032,1.56822022128593,9.16925221494252,1.15652758426999,65.10684851835,1.18974637014626,0.37949273828871,0.620685005864963,0.175569421920249,0.136862096723701,0.0230167500964497,0.605192678537811
"17",4,0.704742129345451,0.0150281791316801,1e-05,26.5434861585543,14.237175244031,3.7817191655398,12.4683061130883,33.9999803138091,5.57453065117415,157.394802258886,0.2251225321127,0.117867857592546,0.235735715185092,0.04799642700936,0.36195345556098,0.271465091670735,0.574129800260691,213.031487198945,68.0539728241861,112.521468544969,30.5549619425762,23.9612185240572,3.92860660120995,110.922748091833,47.9581878179607,8.02137597744815,26.525328861125,1.46652900065063,8.67284584423427,1.06647955113571,63.6840552063311,1.1900901160748,0.38018023289699,0.628595750432578,0.170693819411508,0.133858190211847,0.0219469710676148,0.619664575822384
"18",4,0.653479108585364,0.0115601377936001,1e-05,24.9131718336751,13.8111221283845,3.56105449254893,11.9002912425411,33.0966934109944,5.27279635785875,161.44487054404,0.283835762334745,0.120127791814433,0.240255583628867,0.0494265355026163,0.375409375651391,0.281557031738543,0.586822630770028,197.600528786731,63.2336703989716,105.756290456958,27.4007346864402,21.6279977073397,3.44566226368569,105.500850088799,56.0860967259305,7.59612119335015,25.4085392861603,1.35432338577711,8.11935311590211,0.970150439336852,61.9102863975833,1.19048157396666,0.380963147854247,0.637148675123022,0.165080882918906,0.13030194256297,0.0207590407789715,0.63560972655134
"19",4,0.598339272670273,0.00889241368738467,1e-05,23.2238129272322,13.3357283465309,3.32762018587662,11.2978216862259,32.050072324785,4.94554155999611,165.819404308799,0.360162961623404,0.122804313810953,0.245608627621905,0.051145062972265,0.392063957396684,0.294047968047513,0.602338537305811,180.994056278491,58.0317604375977,98.209437959885,24.1269745455505,19.1768169638415,2.95911173996868,99.2162617687446,65.1873553454945,7.12655051978077,24.121085276846,1.23397563246242,7.51853874911558,0.870120794363332,59.7617779907361,1.19092136730117,0.381842724055523,0.646207508367582,0.15875289004196,0.126181387105453,0.0194706360629768,0.652832300428341
"20",4,0.540607790627217,0.00684031822106513,1e-05,21.5088431606142,12.8162000086979,3.08639899251029,10.671989669835,30.8645365732587,4.59902793358989,170.453003541723,0.459388320698661,0.125951462993845,0.25190292598769,0.0531981861944345,0.412591961062117,0.309443970796588,0.621145607373451,163.597424901278,52.5660922934274,90.0252996595769,20.8404105961482,16.6856089256023,2.48627033021089,92.1482216504644,75.1547462960234,6.62077622822667,22.677636397166,1.10867204326236,6.88434810812982,0.769361363454201,57.2374631054611,1.1914078212927,0.382815643528469,0.655614513451922,0.151771509839995,0.121513923516766,0.0181064091873618,0.6710748170934
"21",4,0.481803709197244,0.00526178324697318,1e-05,19.800390375356,12.2599791777125,2.84266926032197,10.0344072551699,29.5522751263218,4.24075323417816,175.2695256809,0.588381287496495,0.129628716873224,0.259257433746448,0.0556390877887126,0.43780360184857,0.328352701386427,0.643760158032386,145.866979840949,46.9776753037409,81.4063562595753,17.6512150027406,14.2383957710793,2.04321063801725,84.445507582299,85.825401402043,6.08965577131088,21.1052030145066,0.982097501114927,6.23362095312395,0.670893732494449,54.3626533063058,1.19193654434406,0.383873087822299,0.665203400203945,0.144235030003236,0.116347539867409,0.0166958788747172,0.690037502680707
"22",4,0.423529565983228,0.00404752557459475,1e-05,18.1270234848272,11.6761062149766,2.60151357809268,9.39624197179612,28.1324815103557,3.87874136196586,180.187891921661,0.756072144333679,0.133902400418944,0.267804800837888,0.0585297810193893,0.468677097501603,0.351507823126202,0.670755070028976,128.285027719262,41.4170358820491,72.5938786872653,14.6595172463358,11.9149376841121,1.6427616455946,76.3148996610139,96.992735993608,5.54584052284391,19.4409892238929,0.858018334277995,5.58425841070214,0.577443569958174,51.1886058663777,1.19250037025529,0.385000740166691,0.674811618720439,0.136270615946513,0.110757801221873,0.0152706352833301,0.709401149297877
"23",4,0.367308540553603,0.00311348121122673,1e-05,16.5123834008712,11.0744352032583,2.36740904684058,8.76745937318647,26.6296600126496,3.52080014660226,185.127852984177,0.974070258222018,0.138847225205436,0.277694450410872,0.0619433479048778,0.50640034811151,0.379800261083632,0.702772052620048,111.310949475987,36.0291602276327,63.8418088143174,11.9440910800028,9.78130155468496,1.29321996342939,67.9990414954399,108.424685299013,5.00254892408886,17.7285160119278,0.739856989176159,4.95325451227612,0.491165279749046,47.7878259679461,1.19308983093786,0.38617966055615,0.684290388713942,0.1280231071106,0.104841181152164,0.0138614179000089,0.728849814898333
"24",4,0.314441837334484,0.00239498554709749,1e-05,14.9746150039805,10.4648489311514,2.14396099141365,8.15635628697499,25.0713807143717,3.173883152267,190.0149552964,1.25746780627686,0.14454804011698,0.289096080233961,0.0659666822171734,0.552423803744335,0.414317852808251,0.740537608679906,95.3382211610357,30.9399887193415,55.3895473216745,9.55564369953675,7.88349101633938,0.9980016498838,59.7486516644299,119.884743817705,4.47231473062229,16.0129010166296,0.630354111307876,4.35502809403049,0.413489900678948,44.2461236254256,1.19369397719929,0.387387951433545,0.693511670686594,0.119642617551387,0.0987062232849278,0.0124956029616811,0.748090375182677
"25",4,0.265911445501898,0.00184229657469037,1e-05,13.5264745499292,9.85658484618998,1.93378612994801,7.56936683339541,23.4859028439014,2.84365457366256,194.784231178661,1.62588461874815,0.151101668924625,0.30220333784925,0.0707037908059084,0.608527207135765,0.456395405351824,0.784883202419556,80.664914636295,26.2468144493692,47.4392598449634,7.51554653743565,6.24517037413896,0.756160298190695,51.7953564736937,131.151843979785,3.96593746725464,14.3363026702458,0.531377630174919,3.8003560858618,0.345108085803698,40.6533052595352,1.1943013715731,0.388602735621093,0.702371946399603,0.111273006092567,0.0924641844248085,0.0111954904474904,0.766867051884492
"26",4,0.222339174718646,0.00141715121130029,1e-05,12.1758628064838,9.2577500973835,1.73853291209856,7.01109227842829,21.9001015281192,2.53428109604552,199.382379205253,2.10482647496083,0.158618894712896,0.317237789425791,0.0762797854316013,0.67690360473621,0.507677703552157,0.836768971746631,67.481020005877,22.0137392885612,40.1414404312937,5.8192644403136,4.86925050001658,0.563469967399825,44.3305136459361,142.035837465731,3.49179499444942,12.7343818267907,0.443892242876869,3.29601321582482,0.286061139070152,37.0943983205099,1.19490102203511,0.38980204467012,0.710793171074427,0.103042974552218,0.0862208721579497,0.00997748463010046,0.784969996871075
"27",4,0.183998129699911,0.00109011631638484,1e-05,10.9265853771032,8.67504527494309,1.55899471139618,6.48447558947927,20.3379052105291,2.24843313264708,203.768560802994,2.72745088803731,0.167226574911581,0.334453149823162,0.08284571570196,0.760264385087718,0.570198288815788,0.897311761542042,55.8715327707401,18.2720156174598,33.5898326245267,4.44269612302276,3.74213652075143,0.413707491162376,37.4930340793936,152.386861671561,3.05556658843872,11.2342253233058,0.368058339958143,2.84501312086338,0.235895303531059,33.6429404553365,1.19548315415208,0.3909663075239,0.718721629101953,0.0950603663565841,0.0800704929548389,0.00885209894742945,0.802238428358245
"28",4,0.150862553391888,0.00083855101260372,1e-05,9.77916561674761,8.1136743494815,1.39527137422189,5.99105482331761,18.8193460019876,1.98743365781972,207.914054350192,3.53686262503675,0.177070028527124,0.354140057054248,0.0905845029176455,0.861971414507668,0.646478560880751,0.967817748724654,45.8311492519301,15.024121328351,27.8244618793056,3.34945810953065,2.83913459102527,0.299829316315662,31.3664451253298,162.098478851632,2.66032159220608,9.85375651744103,0.303408997895311,2.4472528594037,0.193833224921609,30.357002306692,1.19603964949026,0.392079297612275,0.726125357460427,0.0874096497402725,0.074091913393652,0.00782454195992014,0.818559269095245
"29",4,0.12267821909294,0.0006450392404644,1e-05,8.73163971741002,7.57739367676354,1.24694722398063,5.53124096349255,17.3601871871153,1.75149349883204,211.801097443086,4.58909788313601,0.188315524116918,0.376631048233837,0.0997181505432974,0.986201485501028,0.739651114125771,1.04982020823202,37.2852627136549,12.2499901990827,22.8401884074545,2.49756021516578,2.12971684723538,0.214870103189577,25.983381436248,171.105720191403,2.30686332476738,8.6023241017579,0.249052085526852,2.10032991844009,0.15892891121649,27.2778789099739,1.19656426359757,0.393128529473248,0.732990764530314,0.0801520783855431,0.0683471936500601,0.00689564369618914,0.833862588358606
"30",4,0.0990372383058754,0.00049618403112646,1e-05,7.78023003924789,7.06865915082057,1.11325104183378,5.10458592214429,15.9719651048893,1.53997164521667,215.421337053585,5.95700371866506,0.201153328634562,0.402306657269125,0.110516762368315,1.1381553616269,0.853616521220171,1.14512459135443,30.1124081929045,9.91389933479533,18.5979121388087,1.84458716184202,1.58181931430605,0.152514538811614,21.3347342939462,179.379727583092,1.99421385094205,7.482063864749,0.203857801032938,1.8003561337024,0.130188930055869,24.4309288900105,1.19705264594407,0.394105292220907,0.739319146850635,0.0733275109918887,0.0628817523814538,0.00606288049297901,0.848115500210964
