"","convergence","mu","x_C","x_W","C","I","AA","NT","ADP","ATP","rRNA","DNA","p","tau tC","tau tI","tau FERM","tau RESP","tau ADPS","tau EAA","tau ENT","tau RNAp","tau DNAp","tau r","v tC","v tI","v FERM","v RESP","v ADPS","v EAA","v ENT","v RNAp","v DNAp","v r","p tC","p tI","p FERM","p RESP","p ADPS","p EAA","p ENT","p RNAp","p DNAp","p r","f tC","f tI","f FERM","f RESP","f ADPS","f EAA","f ENT","f RNAp","f DNAp","f r"
"11",4,0.924296065205573,0.062267393688585,0.001,5.25306626365417,21.4038703400994,14.6026962831265,5.13922794040786,2.76044991230529,19.8423597312388,51.2046662864786,7.94933513736656,125.844327985794,0.0614132694238612,0.0742912494562796,0.00666606889677988,0.00996570091944544,0.0422278317613985,0.180372531321864,0.0113970815686461,0.275064038546741,0.126952633175419,0.0880429905020295,280.754362846531,2.92583345992397e-14,4.00896192200207e-16,919.663247895903,20.8916880161184,169.973465370023,240.472056697176,47.3282715687567,7.34753918846832,581.587085928544,17.2420433274185,2.17363823438741e-15,2.67240163766329e-18,9.16508887513638,0.882210686756274,30.6585442063402,2.74067964515782,13.0183055151391,0.932789447335635,51.2046662825098,1.19586372678675,1.24624888100302e-16,1.70760379143679e-18,3.91727454514672,0.0889874395415122,0.723996235326059,1.02428260417508,0.201593174356215,0.0312965950290022,2.47725055090145
"12",4,0.902910964323012,0.0471722679458977,0.001,5.14578509933018,21.7408715077273,14.7978694759675,5.08142165562613,2.74889312544447,19.5141940068698,50.5317068539547,7.85923537187243,126.580022910586,0.073524295409372,0.0739777090328181,0.00671188741825488,0.0100053751281393,0.0423060800500979,0.179611836702362,0.0113560105554917,0.27663127450553,0.127675972848706,0.0884267927166403,274.278024776402,4.27973466696078e-14,4.88092152885039e-16,898.772796633889,20.1015854714451,166.357388524453,231.770894465596,45.625632164392,7.09618978845886,571.452452751132,20.1660985179592,3.16604965930089e-15,3.27601957989803e-18,8.99255898528888,0.850419284088841,29.8797561018855,2.63199272400707,12.6214767757563,0.90601293476054,50.53170758684,1.19594820074405,1.86611412955386e-16,2.12825264625566e-18,3.91896401429998,0.0876499493398199,0.725376448399361,1.01060223270507,0.198943727771475,0.0309418715428049,2.49173273446036
"13",4,0.876153102857802,0.0357365666256801,0.001,5.01319906780814,22.1683944916526,15.0468781071795,5.00510797680059,2.7323704151127,19.1074996726038,49.6774279246781,7.74059472158889,127.508527532737,0.0895108497102462,0.0735936661926337,0.00677247809057458,0.0100577843679327,0.0424121485945949,0.178680092977069,0.0113068186596328,0.278758512999783,0.128657775230669,0.0889344205640204,266.172999672903,6.44400136389433e-15,4.71410105322768e-15,872.602232514663,19.1350699433642,161.814005744997,221.039789008571,43.5250326182015,6.78194608328484,558.584960193186,23.8253713706466,4.74237685319316e-16,3.1926146099739e-17,8.77644509360917,0.811559429805928,28.912941591508,2.49925681088342,12.1329733709169,0.872550094809779,49.6774297705574,1.19605259873477,2.89562224080118e-17,2.11828879050097e-17,3.92105198176935,0.0859837405028212,0.727113803131137,0.993245800259137,0.195580424900307,0.0304747823684602,2.5100103845027
"14",4,0.843181455715104,0.0270731565346061,0.001,4.8523067441748,22.7041739372345,15.3612632865329,4.90516441944962,2.70885998896059,18.6117769029098,48.6055476882202,7.58552398493276,128.665383267254,0.1106131013874,0.0731327971914697,0.00685241657378343,0.0101268239948473,0.0425560518728399,0.177561957823681,0.0112495976741651,0.281652442579223,0.129993435036565,0.0896051712732424,256.183432911403,8.32722421451846e-17,4.49842290974217e-15,840.306859490911,17.9771656512604,156.186786972254,208.061014786032,40.9832964555834,6.39597315597744,542.441325817125,28.3372440384013,6.08993199648273e-18,3.08250677026044e-17,8.50963966772736,0.765037193981674,27.7328316809836,2.34060270802138,11.5430455516635,0.831434520947165,48.6055479055282,1.19617928706602,3.8881722408671e-19,2.10041697386331e-17,3.92358572402353,0.0839395153223243,0.729271980496155,0.971484664346185,0.191360423969371,0.0298642676572156,2.53278313518217
"15",4,0.803315730349296,0.0205099670716713,0.001,4.66122653134846,23.3652663676083,15.752957188125,4.77592539091857,2.67580355085382,18.0194128195162,47.2801905095139,7.38526123905352,130.083956488165,0.138468073601243,0.0725932652779562,0.00695750485942077,0.0102173918480915,0.0427510657363696,0.176252975016527,0.0111854909798042,0.285592094250036,0.131811735807709,0.0904897116325818,244.101747373432,2.09651724823285e-14,3.42990609921792e-15,801.191035926928,16.6247928533005,149.340579893294,192.739479470283,37.980920770204,5.93269652607062,522.492442565082,33.8002987214965,1.52193032760778e-15,2.38635883526656e-17,8.18608275924377,0.710727612124977,26.3217214968863,2.15588570906702,10.8470507043073,0.781999027121734,47.2801904579176,1.19632974329076,1.02749200625184e-16,1.68097882433897e-17,3.92659485911424,0.0814772298046063,0.73191027728826,0.944605986961384,0.186142482320921,0.029075831649817,2.56070780488514
"16",4,0.756208714831626,0.0155378538421752,0.001,4.44010628079848,24.1651998724633,16.2329729939753,4.61197721204235,2.63024442082812,17.3276205552246,45.6707040361086,7.13120259963621,131.78997201254,0.175236636923517,0.0719798929838425,0.00709481463068816,0.0103353840014853,0.0430141802562484,0.174764844718263,0.0111170907808446,0.290946448802431,0.134282976370353,0.0916523608332759,229.820886852949,1.81966374264133e-15,1.15657484630614e-16,754.877465962103,15.092311424324,141.190836380145,175.177217791471,34.5365844046012,5.39267755307485,498.303626816494,40.2730393068909,1.30979201461902e-16,8.20568414105874e-19,7.80194848478651,0.64918340408931,24.6751945956177,1.94746103292356,10.0482965862841,0.724144792432481,45.6707038095154,1.19650385324481,9.47361534233973e-18,6.02141206189312e-19,3.93007706618612,0.078574271559263,0.735074092198564,0.912015521993493,0.179805921402002,0.0280756007859693,2.59429078764843
"17",4,0.702033950748669,0.0117711013955873,0.001,4.19149224038354,25.1102066709491,16.8097827359083,4.40932432718809,2.56921943371337,16.5401401947393,43.758084060201,6.81659163780994,133.795158899733,0.223771140508917,0.0713056356952476,0.00727278179863999,0.0104877159251771,0.0433664509363922,0.173128998577816,0.0110486705180474,0.298194161211832,0.137628074405461,0.0931729356662969,213.3914343858,7.11955380812144e-15,2.17569826699226e-16,701.496215095838,13.4154192362397,131.73780917969,155.736688628429,30.7196606299753,4.78547875813206,469.643719967129,47.7508446473442,5.0766431015462e-16,1.58233787555139e-18,7.35709302651209,0.581779120099523,22.8076349781151,1.72068336022725,9.16042343426762,0.658616226589952,43.7580841065777,1.19669961335699,3.99264727470248e-17,1.22013204624879e-18,3.9339922513424,0.0752336993246168,0.738785911269557,0.873371677750621,0.172275921496854,0.0268369749520076,2.63376297046719
"18",4,0.641634434607267,0.0089175010572631,0.001,3.92051273919461,26.1950867265774,17.487379552368,4.16701227850296,2.49040073287996,15.6681418607428,41.5418441207798,6.43893394873033,136.090688399376,0.287836685241646,0.0705915620689619,0.00750109420530237,0.0106821458568509,0.0438326389355239,0.171396552217482,0.0109861221737741,0.307937014717432,0.14212477602343,0.0951480059099855,195.067068749872,1.32281082742476e-15,1.75927077582074e-15,641.838442583627,11.6511462103511,121.096458891452,135.062767024901,26.6546776649798,4.13144174366712,436.602359532238,56.1474584687673,9.33792826296501e-17,1.31964558220667e-17,6.85621186021232,0.510700485023319,20.755515539741,1.48381605966355,8.20796186840928,0.58718023247254,41.541843885087,1.19691298379191,8.11664144333566e-18,1.07947181811891e-17,3.93825964755839,0.0714903251717433,0.74303635599434,0.828732294564052,0.163550567404645,0.0253501336564186,2.67895055904284
"19",4,0.576563555085186,0.00675568261913871,0.001,3.63443137553794,27.3999376132126,18.2641360762934,3.88832037151159,2.3928119353648,14.7296066683118,39.0455264914817,6.00195276270411,138.643277032329,0.372403204288848,0.0698647949294003,0.00779053522621086,0.0109270457760898,0.0444406625420739,0.169633309549786,0.0109364930937217,0.320918570217407,0.148116263177265,0.0976911625457468,175.317475681115,8.79033094329903e-17,6.2167445265949e-17,577.406650021738,9.87216254179253,109.510476493588,114.032218996769,22.5122275641015,3.46050722231804,399.6833034721,65.2887897114792,6.14134668715149e-18,4.84317672267911e-19,6.30934889620619,0.438725444080304,18.5766245579814,1.24711257551993,7.22459188228036,0.512557398467684,39.0455265663139,1.19713824455507,6.00239155488407e-19,4.24504322829289e-19,3.94276486537337,0.0674110968648687,0.747781583556336,0.778657860217055,0.153722545242054,0.0236297352862367,2.72919836677813
"20",4,0.508967429041474,0.00511794137813539,0.001,3.34159920703549,28.6892215381435,19.1326858167955,3.58115232176345,2.27738763776885,13.7474197319174,36.318439328878,5.51658291251839,141.395513733036,0.484031009431154,0.0691547078254373,0.00815287274707901,0.0112312066172918,0.0452204461660984,0.167910535071783,0.0109072044076485,0.338039792468547,0.156018365754714,0.10093262167349,154.79312070107,4.0567736277851e-17,1.31118159644067e-16,510.307851812595,8.15610500783406,97.3393543196064,93.6271215932465,18.4849026920178,2.80776102207861,359.828555513508,74.9246704659376,2.80544994943418e-18,1.06898967040927e-18,5.73137292213358,0.368822707431806,16.3443030673469,1.0212101533173,6.24863266981098,0.43806228609449,36.3184394609631,1.19736883004733,3.1380298235917e-19,1.01423627031953e-18,3.94737642552474,0.0630897927940403,0.752947600457694,0.724232424122379,0.142985981609756,0.0217188303642456,2.78337625458732
"21",4,0.441315147490811,0.00387722831676923,0.001,3.05216542616397,29.6519124368525,19.9396448793884,3.25534691696805,2.14634973101646,12.7654308608198,33.5100102035166,4.99862046709818,144.680518867516,0.631379712218999,0.0686647634361449,0.0085996222556471,0.0116026663611935,0.0462083646655264,0.166721858802627,0.0109371740228421,0.360469453787283,0.166370517132592,0.104965279422474,134.592552081846,0.290907171041689,0,444.151950822106,6.58079465123681,85.1553071339787,74.8858400601912,14.7884750953835,2.20596692868802,319.248522615326,84.9790068002564,0.0199750720814557,0,5.15334689906213,0.304087759033296,14.1972510922856,0.81903946458503,5.33079353997974,0.367007858703222,33.5100103815296,1.20071096662535,0.00259520623642908,0,3.96231522436582,0.0587077976056543,0.759677334002418,0.66806259346762,0.131929174029593,0.0196796081381818,2.84804170999048
"22",4,0.37617300003931,0.00293729417937063,0.001,2.78562025972221,28.1163673147035,19.7835377948662,2.92069379571045,2.00401267468815,11.906173209022,31.1005192158969,4.46847659880503,150.914598689632,0.825879999898954,0.0694621741402361,0.00912686382573983,0.012036041629294,0.0474525769331341,0.168656493021202,0.0112240999896448,0.389697575115657,0.179860419284149,0.109566742168703,117.132264217599,2.23692419449161,2.15443691743278e-15,386.947963625098,5.23263635497966,74.0677392856485,59.0162226536238,11.6991756162242,1.68092024777794,283.849986694037,96.7371943601952,0.155381617936284,1.96632523665556e-17,4.65732179856224,0.248302079197787,12.4920051539262,0.662403984075412,4.55914036849477,0.302331020548557,31.1005183066954,1.22590044069561,0.0234115371554298,2.25482294240062e-17,4.0497781059969,0.054764511353189,0.775189268628186,0.617660845562289,0.122442989038964,0.0175924275543505,2.97075981672504
"23",4,0.315561724502285,0.00222522286315957,0.001,2.5331887286001,26.5755656487415,19.5922164833166,2.60193107466793,1.86120286298523,11.0488767778252,28.5849499008797,3.9562834141821,157.245785108992,1.08262037963649,0.0703549376063569,0.00974980207234043,0.0125421499940493,0.0489353292593722,0.170822466893623,0.0115561229880049,0.426449355056873,0.196822779257019,0.11521369462652,100.316378208709,3.57753338423172,1.34817654422783e-15,331.723336016742,4.07392699491599,63.3851870171101,45.4004926772647,9.02031608553304,1.24845161679909,248.103755598547,108.604555460071,0.251697138032282,1.31444544647932e-17,4.16052383684841,0.199358958874859,10.8276140107764,0.524653677094488,3.84670797708471,0.245723716986316,28.5849503332238,1.25156614454226,0.0446339844462743,1.68201060460039e-17,4.13864320190463,0.0508270852000411,0.790805604754248,0.56642515006059,0.112539172838109,0.0155759189534728,3.09538947064945
"24",4,0.260835274031525,0.00168577489633301,0.001,2.29660250008123,25.0478778493508,19.3694712572284,2.30450983241229,1.72041288993247,10.2085320134788,26.0392951151478,3.4734719536718,163.539828781787,1.42151768089004,0.0713485398240644,0.0104844782026435,0.013131539413881,0.0506887273712598,0.173233090227578,0.011937906125495,0.472598237592186,0.218122263504086,0.122086983316507,84.6176170616135,4.36235986571041,8.64101812757272e-18,280.061940397211,3.11148961278823,53.4144762747199,34.1633465636466,6.79196667694732,0.9060040088768,213.28478027683,120.285438767867,0.311248006605539,9.05965662071839e-20,3.67764440865398,0.157717448701129,9.25315478795738,0.407838824209564,3.20987148131016,0.197619645159983,26.0392954113221,1.27720541590459,0.0658447949739973,1.30426210695931e-19,4.22721224592762,0.0469643500134301,0.806229964335971,0.515656346417124,0.102516909902157,0.0136750864317787,3.21928796814541
