"","convergence","mu","x_C","x_W","C","AA","NT","ATP","LIP","rRNA","mRNA","tRNA","DNA","TC","p","tau tC","tau FERM","tau ATPS","tau EAA","tau ENT","tau LIPS","tau rRNAp","tau mRNAp","tau tRNAp","tau DNAp","tau tRNAc","tau r","v tC","v FERM","v ATPS","v EAA","v ENT","v LIPS","v rRNAp","v mRNAp","v tRNAp","v DNAp","v tRNAc","v r","p tC","p FERM","p ATPS","p EAA","p ENT","p LIPS","p rRNAp","p mRNAp","p tRNAp","p DNAp","p tRNAc","p r","f tC","f FERM","f ATPS","f EAA","f ENT","f LIPS","f rRNAp","f mRNAp","f tRNAp","f DNAp","f tRNAc","f r"
"11",4,9.7743445458911e-12,0.0485193928301464,0.001,43.486832589158,0.310072500001352,16.8716315997712,9.46238678132554,72.1375899634799,8.44955158000546,0.189827618030409,0.0144963326590641,3.94781605524375e-13,0.359075694234434,148.718535340731,-0.0301213141313887,0.00106196495620322,0.00789819533266871,0.0874243650883693,0.0724598317741527,0.0199663155637806,1671248905048.71,2506873357573.07,1671248905048.71,1716932251666.94,0.601057010162313,4.96555045558761,2.93230672749369e-09,1.68186613156499e-14,1.85298779300742e-08,1.62942216228183e-09,1.03430094329587e-09,3.91720921674038e-09,8.25888284012519e-11,1.85544054295503e-12,3.61447718194483e-12,3.8587314327753e-24,1.45366314930221e-07,1.45362620478059e-07,-8.83249320684219e-11,1.7860828927471e-17,1.46352595382233e-10,1.42451197998407e-10,7.4945272355066e-11,7.82122353507883e-11,138.026489034848,4.65135446369487,6.04069103264886,6.62518044745289e-12,8.73734426302715e-08,7.21805426340235e-07,1.00000114712768,5.73564847466593e-06,6.31922268310862,0.555679941719401,0.352726445727304,1.33588129562,0.0281651719333515,0.00063275872676803,0.00123264094247775,1.31593868508125e-15,49.5741050282937,49.5728451135771
"12",4,9.85746784193441e-12,0.0451343189117641,0.001,43.4868326589482,0.310072500001185,16.8716316105485,9.46238677058506,72.13758996348,8.4495515799948,0.189827618014916,0.014496332648406,3.98138919950841e-13,0.359075694234434,148.718535340731,-0.0298369641414601,0.0010619649561605,0.00789819533091298,0.0874243650818021,0.0724598317894114,0.0199663155671135,1657156064940.04,2485734097410.06,1657156064940.04,1702454185739.39,0.601057011481772,4.96555046310525,2.95724374557409e-09,1.69615588103393e-14,1.86874603154297e-08,1.64327914677209e-09,1.04309687872703e-09,3.95052207366475e-09,8.32911829785648e-11,1.87121964009304e-12,3.64521553523273e-12,3.92464160003791e-24,1.46602543832725e-07,1.46598817962084e-07,-8.82351755942512e-11,1.80125810584356e-17,1.47597211809949e-10,1.43662636058716e-10,7.55826243726203e-11,7.88773703776378e-11,138.02648902896,4.65135446312266,6.04069103222459,6.6815225195115e-12,8.81164868717232e-08,7.2794382842231e-07,1.00000114735137,5.73560373458978e-06,6.31922268310862,0.555679941719401,0.352726445727307,1.33588129562,0.028165171933316,0.000632758726716386,0.00123264094244221,1.32712973316947e-15,49.5741050282937,49.5728451135771
"13",4,9.85746789671539e-12,0.0419854129411759,0.001,43.4868325829143,0.310072499823194,16.8716316415517,9.46238677908706,72.1375899636368,8.44955156865715,0.189827601539748,0.0144963213145388,3.98138919950841e-13,0.359075694228039,148.718535340732,-0.029576851591151,0.0010619649560558,0.00789819532938428,0.0874243650888083,0.0724598318353644,0.0199663155654039,1657156064356.44,2485734096534.66,1657156064356.44,1702454184918.7,0.601057480779265,4.96555087757646,2.95724376128929e-09,1.69616943484741e-14,1.86874604192712e-08,1.6432791559043e-09,1.04309688453431e-09,3.9505220956276e-09,8.32911833296791e-11,1.87121948808855e-12,3.6452154437299e-12,3.92464162184836e-24,1.46602544647441e-07,1.4659881877678e-07,-8.74659598465103e-11,1.80127249934091e-17,1.47597212601542e-10,1.43662636868606e-10,7.55826248413487e-11,7.88773708094016e-11,138.026489562202,4.65135408364184,6.04069087846276,6.68152255342186e-12,8.81165561616207e-08,7.27943893228711e-07,1.0000011471082,5.7356495353558e-06,6.31922268310508,0.555679941719401,0.352726445730849,1.3358812956229,0.0281651718955238,0.00063275867179916,0.00123264090465007,1.32712973316947e-15,49.5741050282939,49.5728451135773
"14",4,9.85745847738451e-12,0.0390561980848148,0.001,43.486832590106,0.310072499823194,16.8716316426585,9.46238677798075,72.1375899636368,8.44955156865705,0.189827601539599,0.0144963213145388,3.98138539503063e-13,0.359075694228039,148.718535340732,-0.0293386020562242,0.00106196495605141,0.00789819532920367,0.0874243650881315,0.0724598318369305,0.0199663155657471,1657157647858.12,2485736471787.18,1657157647858.12,1702455811697.28,0.601057480869666,4.96555087831398,2.95724093555494e-09,1.69616645074369e-14,1.86874425624164e-08,1.64327758566433e-09,1.04309588780018e-09,3.95051832069522e-09,8.3291103740556e-11,1.87121770003809e-12,3.64521196053312e-12,3.92463412139796e-24,1.46602404560972e-07,1.4659867869387e-07,-8.67613149926227e-11,1.80126933031989e-17,1.47597071561239e-10,1.43662499590262e-10,7.55825526197947e-11,7.8877295439266e-11,138.026489562207,4.6513540836384,6.04069087846137,6.6815161687594e-12,8.81164719748533e-08,7.27943197748017e-07,1.00000114713125,5.73564492522801e-06,6.31922268310508,0.555679941719401,0.352726445730849,1.3358812956229,0.0281651718955235,0.000632758671798662,0.00123264090464973,1.32712846501021e-15,49.5741050282939,49.5728451135773
"15",4,1.01055089444089e-11,0.0363313470556417,0.001,43.486832511675,0.310072499823028,16.8716316306329,9.4623867900439,72.137589963637,8.4495515686463,0.189827601523974,0.0144963213038807,4.08157192077281e-13,0.359075694228039,148.718535340732,-0.0291201188293392,0.00106196495609912,0.0078981953311698,0.0874243650955116,0.0724598318199091,0.0199663155620059,1616480950333.88,2424721425500.82,1616480950333.88,1660667222632.35,0.601057480326083,4.96555087071246,3.03165616026408e-09,1.73886357400894e-14,1.91576884037489e-08,1.6846285863822e-09,1.0693440756788e-09,4.04992811447574e-09,8.53870189531991e-11,1.9183045250962e-12,3.73693910604597e-12,4.12463615526177e-24,1.50291468532346e-07,1.50287648908515e-07,-8.82821876365884e-11,1.84661217903477e-17,1.51311165106495e-10,1.47277584586213e-10,7.74844918813023e-11,8.08621427370621e-11,138.026489543645,4.65135408263594,6.04069087748104,6.84964806832755e-12,9.0333811390559e-08,7.46260965895005e-07,1.00000114687987,5.73569519877575e-06,6.31922268310508,0.555679941719401,0.352726445730852,1.33588129562291,0.0281651718954877,0.000632758671746579,0.00123264090461389,1.36052397359094e-15,49.5741050282939,49.5728451135773
"16",4,1.01054121968312e-11,0.0337966019122248,0.001,43.4868325976863,0.310072499823011,16.8716316438155,9.46238677686457,72.137589963637,8.44955156864524,0.18982760152244,0.0144963213038807,4.08153284422585e-13,0.359075694228039,148.718535340732,-0.0289195438691453,0.00106196495604682,0.00789819532901849,0.0874243650874181,0.0724598318384987,0.0199663155660789,1616496426261.24,2424744639391.86,1616496426261.24,1660683121500.22,0.601057481402962,4.96555087949155,3.03162713679337e-09,1.73883027903e-14,1.91575049929027e-08,1.6846124581757e-09,1.06933383805004e-09,4.04988934149191e-09,8.53862014795416e-11,1.91828615972007e-12,3.7369033295288e-12,4.12455717858069e-24,1.50290029679973e-07,1.5028621009271e-07,-8.76732739773873e-11,1.84657682084296e-17,1.51309716450592e-10,1.47276174574365e-10,7.74837500843223e-11,8.08613685999267e-11,138.026489543701,4.65135408260084,6.04069087746703,6.84958249013151e-12,9.0332946719421e-08,7.46253822701307e-07,1.00000114715559,5.73564028582379e-06,6.31922268310508,0.555679941719401,0.352726445730853,1.33588129562291,0.0281651718954841,0.000632758671741468,0.00123264090461037,1.36051094807528e-15,49.5741050282939,49.5728451135773
"17",4,1.09630334788022e-11,0.0314386994532324,0.001,43.4868316431972,0.310072499821279,16.8716314973865,9.4623869236778,72.1375899636385,8.44955156853501,0.189827601362261,0.014496321193036,4.42792242790889e-13,0.359075694228039,148.718535340732,-0.0287352253681952,0.00106196495662778,0.00789819535295234,0.0874243651772318,0.0724598316312404,0.0199663155205447,1490040391346.46,2235060587019.69,1490040391346.46,1530770430160.43,0.601057474004686,4.96555078621344,3.28891380647059e-09,1.88660171747557e-14,2.07833549504661e-08,1.8275813413706e-09,1.16008555002199e-09,4.39359341028598e-09,9.26327167267152e-11,2.08108634893519e-12,4.05404505016692e-12,4.85434618187044e-24,1.63044771932053e-07,1.63040628185887e-07,-9.45076794455013e-11,2.00350491107285e-17,1.6415099748853e-10,1.59775138579078e-10,8.40596036324282e-11,8.77238722987559e-11,138.026489482961,4.65135407668976,6.0406908730869,7.43088959296944e-12,9.79992787671499e-08,8.09586519473167e-07,1.00000114409633,5.73625210918568e-06,6.31922268310504,0.555679941719401,0.352726445730887,1.33588129562294,0.0281651718951167,0.000632758671207537,0.00123264090424294,1.4759741426363e-15,49.5741050282939,49.5728451135773
"18",4,2.43605308501509e-09,0.0292453018169604,0.001,43.4868326974397,0.310072496838648,16.8716323750759,9.46238670793198,72.1375899662669,8.44955137853491,0.189827325266714,0.0144961312948055,9.83912676303176e-11,0.359075694127853,148.718535340742,-0.028565690033999,0.0010619649534527,0.00789819526887318,0.0874243650755434,0.0724598329083509,0.0199663156030223,6705659313.61394,10058488970.4209,6705659313.61394,6888957516.7748,0.601065366430715,4.96555796949908,7.30816764104212e-07,4.1916145180479e-12,4.61818857357924e-06,4.06099750891966e-07,2.5777810393012e-07,9.76283325460435e-07,2.05835557026735e-08,4.62429441336141e-10,9.00833140402876e-10,2.39686351049381e-19,3.62295454473134e-05,3.6228624681574e-05,-2.08762851550511e-08,4.45134771655041e-15,3.64753551426077e-08,3.55030128790665e-08,1.8678558338208e-08,1.94927809941112e-08,138.026312004924,4.65134143527748,6.04068013795464,1.65118908972995e-09,2.17763250099077e-05,0.000179895336011581,1.00000114748414,5.7355270619673e-06,6.31922268304568,0.555679941719401,0.352726445790245,1.33588129567161,0.028165171261783,0.000632757750889045,0.00123264027091497,3.27970892101059e-13,49.5741050282968,49.5728451135806
"19",4,2.45938239667889e-09,0.0272049319227538,0.001,43.4868338763002,0.310072492664221,16.8716313685251,9.46238864128053,72.1375899699464,8.44955111254288,0.189826938756068,0.0144958654914262,9.93335200485957e-11,0.359075693959454,148.718535340756,-0.0284096206041328,0.00106196495699199,0.00789819551600773,0.0874243649611352,0.0724598285927027,0.019966314390869,6642051216.7942,9963076825.1913,6642051216.7942,6823610730.83471,0.601076231297663,4.96556654350914,7.37815569777549e-07,4.23787945725799e-12,4.66241550815164e-06,4.09988840055677e-07,2.60246763547201e-07,9.85632882838477e-07,2.07806772660265e-08,4.66857031592116e-10,9.09459480996179e-10,2.44299110607666e-19,3.65765043713141e-05,3.65755747876922e-05,-2.09610604132023e-08,4.50047947556422e-15,3.68246692602482e-08,3.584301398302e-08,1.88574358784358e-08,1.96794560127316e-08,138.026322720619,4.65133247213301,6.04067645237569,1.66700203267584e-09,2.1985267401552e-05,0.000181618450475381,1.00000115309963,5.74382612342127e-06,6.31922268296259,0.555679941719405,0.352726445873341,1.33588129573975,0.0281651703751429,0.000632756462520228,0.00123263938434882,3.31111733495319e-13,49.5741050283009,49.5728451135853
"20",4,2.45932021219203e-09,0.0253069134165152,0.001,43.4868331745708,0.310072492644553,16.8716312652815,9.46238874888605,72.1375899699637,8.44955111129107,0.189826936937072,0.0144958642401605,9.93310084968496e-11,0.359075693959454,148.718535340756,-0.0282658359153098,0.00106196495740351,0.00789819553324864,0.0874243650271498,0.0724598284467869,0.019966314357591,6642219166.65544,9963328749.98316,6642219166.65544,6823783274.53288,0.601076274396725,4.96556651852295,7.37796912750619e-07,4.23810394506345e-12,4.66229762086538e-06,4.09978473654066e-07,2.60240183313578e-07,9.85607961510848e-07,2.07801518319477e-08,4.66845222827842e-10,9.0943648260355e-10,2.4428675689372e-19,3.65755795492293e-05,3.65746499891115e-05,-2.08544464746312e-08,4.50071787549095e-15,3.68237382437947e-08,3.58421077340068e-08,1.88569590378622e-08,1.967895839287e-08,138.026322784173,4.65133243039293,6.040676435605,1.66695988588125e-09,2.19847130893518e-05,0.000181613857412628,1.00000115085056,5.74427562550706e-06,6.3192226829622,0.555679941719405,0.352726445873732,1.33588129574007,0.0281651703709702,0.000632756456456906,0.00123263938017647,3.31103361656165e-13,49.574105028301,49.5728451135853
