"","convergence","mu","x_C","x_W","C","I","AA","NT","ATP","RNA","DNA","p","tau tC","tau RESP","tau FERM","tau EAA","tau ENT","tau RNAp","tau DNAp","tau r","v tC","v RESP","v FERM","v EAA","v ENT","v RNAp","v DNAp","v r","p tC","p RESP","p FERM","p EAA","p ENT","p RNAp","p DNAp","p r","f tC","f RESP","f FERM","f EAA","f ENT","f RNAp","f DNAp","f r"
"13",4,0.839670627260157,0.0429219824179915,0.001,5.5195862547539,8.87239170223572,12.4661337923943,4.00404542155406,66.7917956717539,33.5551790909457,5.8422353600733,116.948634197252,0.041364080897492,0.0579713081060221,0.0147280648627788,0.19147161898254,0.0439096720374746,0.277027799715128,0.206412870375977,0.538401376439801,352.370811324833,347.736176872087,2.50689213702467e-16,98.8459461112318,36.44293103521,28.1752982751213,4.90555342939422,98.1983330336255,14.5754947455553,20.1587210490619,3.69216699980895e-18,18.9261933317785,1.60019714984037,7.80534088747428,1.01256936414398,52.870117669398,1.65217957341904,1.63044891887276,1.17541971367737e-18,0.463464191220163,0.170871889262099,0.132107004295062,0.0230009266144618,0.46042769368997
"14",4,0.818368459310954,0.0330169095523012,0.001,5.38920516484031,8.65677596050922,12.3060348883582,3.89844092163796,66.7838519180119,33.1266790423379,5.70218777669776,118.136825098121,0.0500465970922053,0.0580660782691801,0.0148228350259368,0.192348889635769,0.0441121541785505,0.281307613288108,0.209601751077414,0.542364509878032,343.502411807471,339.09205627981,2.4098214063892e-16,97.082377200906,34.9666810062401,27.1098292899665,4.6664906255179,96.6794515434371,17.1911268039293,19.6897458804007,3.57203851488783e-18,18.6736874577952,1.54245562365946,7.62620137420854,0.978104606494889,52.4355033516332,1.65252177627676,1.6313044331081,1.15931714424994e-18,0.467044005813651,0.168217747010526,0.130419996229677,0.0224495581759754,0.465105610622524
"15",4,0.792514097773584,0.0253976227325394,0.001,5.23476520431571,8.40160852046914,12.1105303703912,3.77327730978688,66.7738171147081,32.5994940467232,5.534078014891,119.572429683679,0.0613338681453327,0.0581844440099963,0.0149412007667531,0.193445258412558,0.0443652409253498,0.286759473185272,0.21366392119687,0.547389761575584,332.731884925493,328.583259702538,6.78704902016076e-16,94.8843186564705,33.2117689201094,25.8355586123141,4.38583484497996,94.762836229356,20.4077335577682,19.1184342767844,1.01406662024017e-17,18.3549215418005,1.47344812969769,7.40859117711442,0.937094670700283,51.8722063298133,1.6529271271866,1.63231781535858,3.3716328212672e-18,0.471361090888591,0.164987595950398,0.128344464750879,0.0217877087200433,0.470757597179838
"16",4,0.761634420357331,0.0195366328711841,0.001,5.0552450113574,8.10532863066391,11.8751756234681,3.62779525831842,66.7612888715094,31.9594001782667,5.33581394781107,121.279952742585,0.0760073205143986,0.0583311210553656,0.0150878778121224,0.194804883366204,0.0446791385880779,0.293676560980595,0.218817829750247,0.553724982658837,319.858405883704,316.008157279715,1.66861504996264e-16,92.1784303598784,31.1683725317622,24.3413792297422,4.06393956327565,92.3709865080631,24.3115803752273,18.433110076766,2.51758599893048e-18,17.9568083751359,1.39257603591145,7.14849254171517,0.889262435472145,51.1481229023569,1.65339830878896,1.63349576937416,8.62533311890238e-19,0.476484775951947,0.161114210174788,0.125824410150656,0.0210071415268152,0.477480128907814
"17",4,0.725435281182076,0.0150281791316801,0.001,4.85084689801101,7.76843069679525,11.5964543175912,3.46233096172136,66.7458788396766,31.194083446961,5.10662992092131,123.275345191777,0.0950828085941839,0.0585113420444227,0.0152680988011795,0.196476914829647,0.04506520314861,0.302414707417198,0.22532860552654,0.561658768307754,304.754952375416,301.235976891986,5.76540084005828e-16,88.89793333041,28.8455152439014,22.6292886965633,3.70452951257635,89.4282847020145,28.9769568048413,17.6257212800128,8.80267096544131e-18,17.4663916754906,1.29992900439274,6.8434297202305,0.834736469200741,50.2281802376087,1.65393478683892,1.6348369644058,3.12893914770454e-18,0.482457736181854,0.156547418620487,0.12281135215339,0.0201048422083516,0.485336004692037
"18",4,0.683894481693024,0.0115601377936001,0.001,4.6232062047294,7.39379331125182,11.2723752344154,3.27851861519528,66.7272614242452,30.2949275483304,4.84752340375325,125.562393722468,0.119880943097905,0.0587308131394488,0.0154875698962056,0.198515179299026,0.0455358618379733,0.313403603237807,0.233516410255621,0.57152122162821,287.407473165449,284.245687954306,7.60204080513962e-16,84.9934005758565,26.2758890683577,20.7185337735932,3.31519450570463,85.871428174963,34.4546789364598,16.6939803849384,1.17737138323407e-17,16.8724801545501,1.19649525428665,6.4932631384483,0.774152320271304,49.0773435335139,1.65453226366468,1.63633066443346,4.37630296918493e-18,0.489285549545815,0.151263659713697,0.119271368300514,0.0190847378100521,0.494340132765624
"19",4,0.637341987105692,0.00889241368738467,0.001,4.37539941168932,6.98668076205221,10.9030053618424,3.0793168709702,66.7052318883226,29.2588215142724,4.56151268115807,128.130031294672,0.152118517952742,0.0589956878541266,0.0157524446108834,0.200977963197822,0.0461045558121942,0.327160667465403,0.243766771836967,0.583683628545607,267.949023809388,265.160398053961,1.18123069869626e-16,80.4453269806751,23.5176969341665,18.6478754442772,2.9072435564171,81.6626487532605,40.7600083887682,15.6433200748674,1.86072711538879e-18,16.1677379653588,1.08427297087555,6.10085137716142,0.70868937669162,47.6651511409485,1.65518267729858,1.63795669536279,7.29673339570062e-19,0.496929265854515,0.145274216796853,0.115192210686112,0.017958711343142,0.504448942105006
"20",4,0.586503548386855,0.00684031822106513,0.001,4.11173923699703,6.55437825411409,10.4908090312734,2.868811396999,66.6797552061805,28.0895551529893,4.2536066576455,130.951345545185,0.194027365264031,0.0593125639875324,0.0160693207442892,0.203928053948725,0.0467857426974481,0.344309027356318,0.256543981167452,0.598558078265675,246.678802852631,244.267253200091,4.5047732522092e-17,75.2759826677467,20.6519472319801,16.4746237698365,2.49475539815104,76.8034288282844,47.8624381839812,14.4881170854892,7.23886462700443e-19,15.3508846545115,0.966216689396695,5.67236168625367,0.640014481880659,45.9713127636724,1.65587470332405,1.63968675357209,3.02390800761277e-19,0.505303228432836,0.138629815778086,0.110588799814919,0.0167464829041161,0.515556478524352
"21",4,0.532486714061562,0.00526178324697318,0.001,3.83737058106298,6.10551333843718,10.0406719773324,2.65182395996807,66.6509989583707,26.7984552183774,3.93044348703384,133.984723907437,0.248508866768706,0.0596885428699954,0.0164452996267521,0.207433247448279,0.0475950077249893,0.365601079673295,0.27240864759971,0.616597785097961,224.057144319166,222.013795467819,0,69.557101259305,17.7747913250881,14.2698213611597,2.09290893721532,71.345085367917,55.6801870261883,13.2516799485113,0,14.4284553973064,0.845991330427642,5.21706209638503,0.570126493136171,43.9912216154825,1.65659483724144,1.64148707904827,0,0.514279226354434,0.131420167973934,0.10550572920621,0.0154741869568261,0.527498913021407
"22",4,0.476700203210326,0.00404752557459475,0.001,3.55778826410162,5.64922631836282,9.55957924800963,2.43340601918735,66.619329821469,25.4039610892314,3.59964993672322,137.177060207095,0.319334818724784,0.0601313189210462,0.0168880756778029,0.211567309378139,0.0485492839842901,0.3919496795558,0.292040937708243,0.63829975131076,200.672421151758,198.976422763281,3.11224501098493e-17,63.4101525989967,14.9860324137456,12.1100734135838,1.71595385632199,65.392332476517,64.08169123156,11.9647147349478,5.2559829273378e-19,13.4155153726269,0.727561143452713,4.74653939385138,0.501128773264351,41.7399095573914,1.6573286456597,1.64332160524985,2.57036456699553e-19,0.523696588324389,0.123767783642291,0.100015594839494,0.0141718501445796,0.540067166169663
"23",4,0.420716050982861,0.00311348121122673,0.001,3.27833638340869,5.19435990551182,9.05599985033134,2.21833380472387,66.5852860665956,23.9301896405207,3.26906169107796,140.468432545603,0.411408556267684,0.0606493570043695,0.0174061137611262,0.216411406926848,0.04966718372017,0.424468860745739,0.316270915849766,0.664210434426922,177.183629012704,175.804380275683,2.16666925158636e-17,56.9975963002375,12.3764502480057,10.0678148848308,1.37534672508967,59.0973242283386,72.8948610063857,10.6624226222718,3.77132914758463e-19,12.3349300067829,0.614703428271244,4.27347391436314,0.434982168355088,39.2530593991734,1.6580621084935,1.64515527233835,2.02754182635899e-19,0.533376335202261,0.11581726431623,0.09421334504142,0.0128703216184172,0.55302532498269
"24",4,0.366101570673096,0.00239498554709749,0.001,3.00382748460758,4.7488113018268,8.53910211308536,2.01070668350296,66.5495165723023,22.404755542103,2.94596914275268,143.797311102631,0.531104415073455,0.0612520778195388,0.0180088345762956,0.222055941769003,0.0509694271325468,0.464526815088555,0.34611801908559,0.694935331217798,154.249860909952,153.150154949806,1.42453229429388e-17,50.5061580036553,10.0170629998202,8.20241619451067,1.07852393031623,52.6444214532409,81.9227821537418,9.38076520905995,2.56541664365294e-19,11.2151924806358,0.510563962651468,3.81024227086682,0.373296566297458,36.5844684593773,1.65878260465202,1.64695651219294,1.53192318981681e-19,0.543136543722255,0.107722170741569,0.0882076989846575,0.0115983037116247,0.566131146073349
"25",4,0.314257232575968,0.00184229657469037,0.001,2.7382840235791,4.31912487883194,8.017965936234,1.81370535622871,66.5127143981635,20.8563306832611,2.63653861247081,147.105336749841,0.68670903152096,0.0619501018838043,0.0187068586405611,0.228602619747478,0.0524793267510569,0.513813817309454,0.382841667799201,0.731152086076987,132.461878418801,131.601352859544,7.12095727112698e-17,44.125728207754,7.95277411610228,6.55425276221088,0.828551327934758,46.2289160241608,90.9627682424222,8.15271721769526,1.33210741056448e-18,10.0872570665578,0.41735623141628,3.36766563136261,0.317203972243786,33.800368388143,1.65947957368227,1.64869892792015,8.92112000642004e-19,0.552806177209019,0.0996321836691364,0.0821115381230753,0.0103800732774441,0.579154869093862
"26",4,0.266293076780427,0.00141715121130029,0.001,2.48483357281499,3.91031899038804,7.50092949613569,1.6295201106801,66.4755526039961,19.312350135466,2.34547661357064,150.341019885238,0.88899503290271,0.062755490584118,0.0195122473408747,0.236166753791227,0.0542233258532786,0.574428951640841,0.428005885536313,0.773627665919009,112.289607143816,111.627913166424,9.08421581208262e-16,38.0287410706318,6.20125924532698,5.14274513743413,0.624584183944264,40.0347727515475,99.8249029974489,7.00526445364024,1.77253465823241e-17,8.98112432941821,0.336252900760022,2.95414169785232,0.26732570674104,30.9720077993776,1.66014480301289,1.65036199367109,1.34305516365029e-17,0.56223561965689,0.0916824679516405,0.0760328745490785,0.00923415989594741,0.591893779075741
"27",4,0.222962579449863,0.00109011631638484,0.001,2.24571410002049,3.52590483659329,6.99512717238531,1.4594104788413,66.438633300967,17.7972666361788,2.07594441589615,153.461999316163,1.15196683469899,0.0636820034094169,0.0204387601661737,0.244879731794445,0.0562315736854356,0.648990049039026,0.48356121300947,0.823238640723119,94.053685256996,93.5529750485485,1.43614566461209e-16,32.3543064914931,4.75637632296076,3.96812447635941,0.462857921762744,34.2162832150648,108.346726097276,5.95764087600277,2.93530368026967e-18,7.92291389603211,0.267458525680229,2.57527329850545,0.223820138098635,28.1681664845672,1.6607724056236,1.65193101152903,2.53590391883802e-18,0.571302860460361,0.083986698940615,0.0700679788825936,0.00817300951140215,0.604181099669932
"28",4,0.184655684187192,0.00083855101260372,0.001,2.02234827314128,3.16803248511491,6.5062649723927,1.30385030459012,66.4024612111932,16.3314454611892,1.82966430180332,156.435932739387,1.49383017703415,0.0647453983238702,0.021502155080627,0.25489166528225,0.0585385389258732,0.740772862358619,0.551948407247598,0.880994718577479,77.921947492578,77.5485093885363,8.94236878922118e-17,27.1995245822881,3.59431551895584,3.0156942354017,0.337857913482373,28.8867841914531,116.402156617684,5.02090912978317,1.92280200493992e-18,6.93293211566492,0.210405978918266,2.2339444507569,0.186480137222593,25.4491043093576,1.66135866430154,1.65339666322619,1.90658503097184e-18,0.579915765503312,0.0766337010534749,0.0642970293747605,0.0072034027630052,0.615889498973965
"29",4,0.151438860199397,0.0006450392404644,0.001,1.81546718347215,2.83770375773015,6.03857943668908,1.16270589056633,66.3674288951758,14.9306967314372,1.60714433034473,159.240273898984,1.93825252206987,0.0659637276733091,0.0227204844300659,0.266374250689919,0.0611836710535854,0.853887886893422,0.636230190234314,0.948065972518392,63.9258293284801,63.6508970474857,2.84189903684212e-17,22.6181246065075,2.68055065536954,2.26108769499172,0.24338410556333,24.115165577102,123.904399921334,4.19865043900218,6.45693228183907e-19,6.02488599406965,0.164005929540603,1.9307153939572,0.154848315782566,22.8627679052972,1.66190166175204,1.65475415315569,7.38818218155719e-19,0.588011125770765,0.0696871927257807,0.0587822705962095,0.00632733988324698,0.626930212200723
"30",4,0.123123318413731,0.00049618403112646,0.001,1.62524371590738,2.53500410977391,5.59493263771423,1.03541462048902,66.333819023008,13.6063335368764,1.40795436780249,161.861299329872,2.5160015706163,0.0673576720960719,0.0241144288528287,0.279523961882402,0.0642121354547564,0.993503595846258,0.74025758121878,1.02581373836173,51.9888014707287,51.7886960711951,2.20890981099068e-17,18.6248769392835,1.97609263445191,1.67525693650426,0.173352013938949,19.9289002962521,130.803906154812,3.48836600824669,5.326659847945e-19,5.20609939164071,0.126889127914572,1.66437379038337,0.128325142537851,20.4433397143364,1.66240094393097,1.65600234662425,7.0632398727576e-19,0.595551582813382,0.0631878052171964,0.0535682422711668,0.00554312743229327,0.637249209960126
