"","convergence","mu","x_C","C","ATP","NT","AA","DNA","RNA","degact","p","tau Cin","tau Met","tau DNAp","tau RNAp","tau RNase","tau r","v Cin","v Met","v DNAp","v RNAp","v RNase","v r","p Cin","p Met","p DNAp","p RNAp","p RNase","p r","f Cin","f Met","f DNAp","f RNAp","f RNase","f r"
"11",4,0.69477750202092,3.45716130336078,64.9414028775964,25.4380066780244,3.56030442525456,5.32514309739028,20.4081551595583,69.4645270575383,3.96895473292425,146.893506194887,0.180021177096839,0.206217381484377,0.229818120933683,0.212139803938784,0.107197918436641,0.331676271824472,236.224350842169,191.104525173138,14.1791270626133,103.413199687605,55.1508090995043,102.058303297178,42.5253856975439,39.4090747710197,3.25862033800972,21.938055906411,5.91205193556342,33.8503175463392,1.00000000065639,0.808995874545815,0.0600239857634069,0.437775357988304,0.233467925466132,0.432039724102609
"12",4,0.659466757753378,2.46940093097198,56.8276736661464,25.8928995621338,3.36368607645049,5.0020611895616,20.6682775094491,72.3184332323127,4.1668555387848,151.760113411962,0.205431268095644,0.216256266443804,0.237281232015636,0.219028829552894,0.106913866598766,0.3369392185097,224.218697759337,186.742736056057,13.6300419575034,102.6496569333,54.9580542437824,100.080749948071,46.0615314114546,40.3842868849836,3.23415314810122,22.4832342121068,5.87577807994752,33.7211296753678,1.00000000054941,0.832859783884277,0.0607890514983796,0.457810423552967,0.245109149340283,0.446353274741064
"13",4,0.618753052272549,1.76385780783713,48.506399726496,26.2175781420761,3.16343695306667,4.64369847802589,20.8603778956137,75.3955527756486,4.43173214345831,156.781224289797,0.237858911361579,0.228959530458392,0.245973182109825,0.227052168101377,0.106631690883517,0.34407507863796,210.376038022755,180.362555137234,12.9074224944698,101.494184220092,54.8429558123838,97.0088610683389,50.0398153806547,41.2957259364968,3.17487978380067,23.0444745768525,5.8479971113245,33.3783315006676,1.00000000118877,0.857334119640253,0.061354052634158,0.482441751896514,0.260690126085783,0.461121247911167
"14",4,0.573153958640962,1.25989843416938,40.3735166235729,26.27279925116,2.97465924363993,4.25899432410121,20.957898730971,78.626619715962,4.80857066126242,161.726941598618,0.279256788930411,0.244727061650024,0.255384569228025,0.23573960236433,0.106359169474743,0.353115463206856,194.872346023492,171.732105146434,12.0121026224524,100.186184542908,55.1210261981469,92.6944367961434,54.4194256018562,42.0274934834598,3.06770565375783,23.6178513065446,5.86262656703048,32.7318389859688,1.00000000043908,0.881254363310924,0.0616408786205029,0.514111861591796,0.282857097721319,0.475667475290052
"15",4,0.523554064232787,0.899927452978129,32.7320550308548,25.7390298791883,2.82894947172206,3.85630554960533,20.9486685281729,82.0411198734264,5.43424213089856,166.419630417254,0.332193901431092,0.263608497666073,0.263646494715172,0.243365995121697,0.106094504813823,0.363242817100313,178.008382300463,160.871381858368,10.9677605481904,99.8553528170814,56.9023910731397,87.1296738730716,59.133299003828,42.4070632891495,2.89161162340576,24.3013973065572,6.03703100362724,31.649228190686,1.00000000259154,0.903729252500786,0.0616137309652145,0.560958713209993,0.319661301817563,0.489469501227217
"16",4,0.489137038833628,0.642805323555806,17.3779381558872,3.76281089599129,6.26218894840924,5.05330588962062,23.4462538582281,93.4505178851909,17.0272901631358,173.619694826669,0.347180604770595,0.21280937550916,0.169046465750082,0.156042891461614,0.105350425137443,0.349559595571406,166.30659350823,157.806400297626,11.4684311839552,212.283675390976,166.573565795145,84.9238234107148,57.7384237115248,33.5826814986862,1.93869775934566,33.1253585181065,17.5485959731783,29.6859373658269,1.00000000183274,0.948888419021307,0.0689595701712592,1.27645976808208,1.00160530371387,0.510646161254907
"17",4,0.443697966333426,0.459146659682719,13.3210103527404,3.32298594562199,5.79852205534954,4.8593021171115,23.8782613266832,95.2935418889002,17.4372738326279,176.089103665089,0.425160334816083,0.227026466099313,0.17468846611426,0.161250891797778,0.1052469452818,0.372938576555815,150.857309078758,144.946803875741,10.5947359902274,197.019209499535,154.737658758721,78.130377189676,64.1385440373782,32.9067606562997,1.85077817901837,31.7695232330934,16.285665904413,29.1378316548867,1.00000000348272,0.960820561268776,0.0702301803725976,1.30599711335723,1.02572199015458,0.517909128426733
"18",4,0.395394414368901,0.327961899773371,10.049186467724,2.9631541214097,5.30438011380184,4.62482656441547,24.2814920524334,96.8468532728649,17.7627960601795,178.167311320342,0.531317155115321,0.24504418265651,0.181885775199951,0.167894561723032,0.105162790355111,0.400884012187191,134.434100874818,130.460708676529,9.60076633007503,178.758911748673,140.466206915378,70.4463597191884,71.4271440272945,31.9686377264291,1.74624282645929,30.0126491421296,14.7718182698195,28.2408193282104,0.999999999921092,0.970443569133668,0.0714161530953924,1.32971404257781,1.04487035648115,0.52402150388336
"19",4,0.345502056681405,0.234258499838122,7.45708632603583,2.65725512267228,4.79985851574278,4.35924992980058,24.6642153923916,98.136148860386,18.0237337615891,179.902452153727,0.676710453754953,0.267847990939097,0.190836382981041,0.176156661213269,0.105094962516935,0.434501492026856,117.470699293218,114.894260630722,8.52153714450448,158.450982940198,124.544741674143,62.1566672211406,79.4936502216252,30.7741968803718,1.62621932609583,27.912196120706,13.0890249579253,27.0071646470024,1.00000000018337,0.978067393342085,0.0725418099776224,1.34885536497697,1.06021963303465,0.529124859275666
"20",4,0.295648109446743,0.167327499884373,5.4438774987637,2.39064881465659,4.29970023450016,4.07106035462711,25.0323923358404,99.1873443995563,18.233865165352,181.341113244098,0.876803574331145,0.296829087000323,0.201840043461918,0.18631388627254,0.105040965689996,0.475158952653536,100.520357817201,98.9108857266317,7.40077946902034,137.140706133635,107.816155280863,53.6131572955853,88.1366090271674,29.3596279046294,1.49377364967914,25.5512179259179,11.3251130676845,25.4747716690196,1.00000000602175,0.983988601613619,0.0736246833407069,1.36430778737234,1.07258030384424,0.533356215423817
"21",4,0.247604687728206,0.119519642774552,3.91273631589701,2.15440763145425,3.81544243148213,3.76863374459492,25.3900839072102,100.027143379543,18.4037765373643,182.527775178074,1.15316201877477,0.333892028770865,0.215288336686896,0.198727695403289,0.104998643199304,0.524542746840869,84.1855936110892,83.2167817574287,6.28670379723772,115.904416451911,91.1372268510753,45.194732774691,97.079629080316,27.7854200887701,1.3534540037505,23.0334175685514,9.56928516431012,23.7065692723755,0.999999997428292,0.98849194944036,0.0746767173741476,1.37677257096126,1.08257509043319,0.53684639758257
"22",4,0.203014821838807,0.0853711734103943,2.77267931193904,1.94280366910221,3.35617614091298,3.46020621622221,25.7394343709426,100.682868112384,18.5419950634102,183.503838925662,1.5358343480704,0.381612310781135,0.231665206032292,0.21384480556827,0.104966088167471,0.584722272860549,69.0250397927678,68.4621447962384,5.22548668304858,95.7261110187408,75.2859964866851,37.2539991662303,106.011026990659,26.1259972767252,1.21056344904745,20.4705315986092,7.90247654499734,21.7832430656232,1.00000000532522,0.991845066172457,0.0757042187380664,1.38683167464878,1.0907055919653,0.539717173310769
"23",4,0.163138826240465,0.0609794095788531,1.94098592032277,1.75200575941366,2.92870264133668,3.1535062929503,26.0806485472636,101.182019351245,18.6554642236969,184.306667787507,2.06669078140251,0.443457758379265,0.251554045702019,0.232203734494171,0.104941589456367,0.658230133736708,55.4672010071999,55.1505508424092,4.25476639159069,77.3753266021003,60.8686107284982,30.0675734511453,114.63355299178,24.4569396499565,1.07030369932162,17.9668397947139,6.38764875784945,19.7913828938857,1.0000000015404,0.994291219421804,0.076707789844893,1.39497442301524,1.09738024845276,0.542078434669139
"24",4,0.128704959793179,0.0435567211277522,1.34544178122026,1.57933394092632,2.53752723025327,2.85527502783515,26.4121427213573,101.551622925687,18.7497630504569,184.968893551057,2.80410437867626,0.524098897776641,0.275651249864393,0.254447307567132,0.104923604228028,0.748168606438487,43.7596863591278,43.5865213287718,3.399373767004,61.3339475363966,48.263749990814,23.8064140074777,122.70672812913,22.8436477863274,0.937041627630883,15.6062578130998,5.06400660259665,17.8112115922722,1.00000000067292,0.996042818963449,0.0776827727098743,1.40160848216125,1.10292723826217,0.544026157503109
