"","convergence","mu","x_C","C","AA","NT","ATP","RNA","DNA","p","tau tC","tau EAA","tau ENT","tau ATPS","tau RNAp","tau DNAp","tau r","v tC","v EAA","v ENT","v ATPS","v RNAp","v DNAp","v r","p tC","p EAA","p ENT","p ATPS","p RNAp","p DNAp","p r","f tC","f EAA","f ENT","f ATPS","f RNAp","f DNAp","f r"
"11",4,0.388275518032752,0.0345716130336078,13.2895876457509,12.485480916178,2.6994658485885,3.58780670657784,56.6468412180716,6.88714688987679,158.403671920597,0.538683810534332,0.0839860569455434,0.134679353622152,3.06534257161392,0.394228682103734,0.1478357557889,1.04981973976556,98.6219820251431,60.2016475665509,25.7168286460728,7.54348428492388,21.9945816188658,2.67411052643457,61.5042677732598,53.1260650797525,5.05609900073988,3.46352585926473,23.1233635168778,8.67089492502847,0.395329150738508,64.5683943881951,1.0000000045104,0.610428289939824,0.260761629750145,0.0764888736166832,0.223019059913668,0.027114751534948,0.623636503624397
"12",4,0.344162095968481,0.0246940093097198,10.9962228882084,11.8182977746682,2.48442317420008,3.19858821339069,55.1812692005007,6.37096406097093,163.95023692436,0.694128247354076,0.0950024191911349,0.147515748908746,3.45557740955803,0.417201828521962,0.156450685695736,1.12078814574818,87.4171731456434,54.8503215898845,22.0389898977143,6.74337854110229,18.9913012662453,2.19264434456362,56.4254571744167,60.6787291842333,5.21091324445076,3.25109809995362,23.3022665507314,7.923205614289,0.343040711193856,63.2409835195076,1.00000000880433,0.627454767742488,0.252112820612881,0.0771402043536482,0.217249091340554,0.0250825356731139,0.645473373717951
"13",4,0.298834542266148,0.0176385780783713,8.9598715294782,11.1090015398626,2.26631362924834,2.80168873111485,53.4861960748188,5.82814669374039,169.548781947926,0.906706532068798,0.109487591156879,0.164039375828597,3.9613938262717,0.446282932827892,0.16735609981046,1.21457259038437,75.9039737792882,48.9200827708712,18.4024272670878,5.90394463405409,15.9835229215759,1.74165154948387,50.6670326451916,68.8226288356594,5.35614202177782,3.01872268262424,23.3878498239918,7.13317348636275,0.291476010550465,61.53878908696,1.00000000057555,0.644499627137781,0.242443529125227,0.0777817595508169,0.210575575097712,0.0229454594241747,0.667514889558766
"14",4,0.253854253063533,0.0125989843416938,7.19096352929736,10.3664741320824,2.04925901915287,2.40827084102507,51.6187797789962,5.27485241997873,175.091400439427,1.19963926138415,0.128854884013359,0.18555705340391,4.62369056026185,0.483071583233583,0.181151843712594,1.3390850632078,64.4789803187438,42.6345005564611,14.9629036235829,5.05611946316298,13.1036467848481,1.33904372109407,44.4476966763987,77.3515163243808,5.4936636241703,2.77647230675872,23.3779318333829,6.3299993984902,0.242570238887962,59.5192467133566,1.00000000062976,0.661215490266012,0.232058626843023,0.0784150034841253,0.203223542436993,0.0207671355117273,0.68933622220247
"15",4,0.21081653647836,0.00899927452978129,5.68716254216384,9.59703437162717,1.83705072713709,2.0299250747943,49.6588590514867,4.72826019820768,180.461708511372,1.60603939342566,0.155221898326173,0.213916606003381,5.50015182931448,0.529576264678888,0.198591099254583,1.50554339121728,53.5474003660184,36.2630946664916,11.8529847808862,4.23237300911219,10.4689086707015,0.996795438554628,38.0443123553348,85.9992344033614,5.62882639331452,2.5355502753369,23.2786941484097,5.54408554909451,0.197954701874518,57.2773630399803,1.00000000187712,0.677214850519141,0.221354999908785,0.0790397477398878,0.195507319100341,0.0186151976307389,0.710479167367606
"16",4,0.17114537834675,0.00642805323555806,4.43604035969011,8.80302858785072,1.63294829772916,1.67764209733673,47.7008098364388,4.20447650650297,185.545054561036,2.17314186632386,0.191767110580252,0.251718977279889,6.67197240227916,0.588309430117463,0.220616036294049,1.72999658274441,43.4709261422763,30.0862583651601,9.16282142359471,3.46263854780081,8.16377314690369,0.719576722455472,31.7551785632168,94.4684895676531,5.76955483485769,2.30645603774551,23.102628829995,4.80282472766316,0.158750164317589,54.9363503988038,1.0000000009708,0.692100699577886,0.210780451341224,0.0796541242261429,0.187798463922987,0.0165530571122164,0.730492340791479
"17",4,0.135908316268459,0.00459146659682719,3.41717290620374,7.98282747669149,1.43946126684468,1.36050350688919,45.8417568510222,3.71672073476299,190.241557035477,2.96838403150931,0.243244111968433,0.302604244325628,8.25314357630152,0.662423750151697,0.248408906306886,2.03562274862708,34.5207123020022,24.3548013723022,6.93104400262275,2.77044471099681,6.23027598841052,0.505133257101707,25.8554097009817,102.47073115359,5.92416203197323,2.09736333280133,22.8648779700619,4.12708278472297,0.12547959993587,52.6318601623916,0.999999999125556,0.705512711844964,0.200779286821377,0.0802545638206177,0.18047935768119,0.0146327587982795,0.748982508013689
"18",4,0.105705107837462,0.00327961899773371,2.60428344616891,7.13369129826924,1.25823604433456,1.08448753303898,44.1700682186488,3.27417958420643,194.475053500033,4.08821077220877,0.316682145936778,0.371638769089667,10.4034068099546,0.755924478496657,0.283471679436246,2.45623321169928,26.8490973510443,19.2553734596883,5.14810130701947,2.17033652182,4.66900182424034,0.346097506027759,20.5570065019173,109.764769014621,6.09783298802816,1.91323403288962,22.5788937509954,3.52941276908882,0.0981088412823851,50.4928021031271,0.99999999852244,0.717170234048421,0.191742062390511,0.0808346176497727,0.173897906372633,0.0128904708039623,0.765649816929263
"19",4,0.0806583927335597,0.00234258499838122,1.96771106011212,6.25819300072918,1.09010369480377,0.851846755506951,42.7567086045598,2.88184762223298,198.193588429609,5.6708551166754,0.422287940070202,0.465845073950634,13.3469183520409,0.873988647934633,0.327745742975487,3.04174069524649,20.4872316871804,14.8921544524012,3.76905860386908,1.66730621943738,3.44868739462095,0.232445197312343,15.9859762928289,116.180122639761,6.2887772269118,1.75579738404366,22.2533999786806,3.01411363317398,0.0761829238942176,48.6251946431432,0.999999996722651,0.726899301525106,0.18397110205353,0.0813826992065662,0.168333498443149,0.0113458567804448,0.780289718226806
"20",4,0.0604954141955369,0.00167327499884373,1.47711560505719,5.37211419590117,0.935294343521533,0.661319048187729,41.6488644308163,2.54055848930406,201.364733765672,7.91499274434045,0.574658126234025,0.59491105709621,17.3994368519452,1.02357998284044,0.383842493565166,3.86678555570807,15.3658351983138,11.2884669495623,2.72983846132051,1.25817106708835,2.519565304516,0.153692138098436,12.1816429735283,121.620474105385,6.48700926529017,1.62401108472608,21.8914680307482,2.57897661116186,0.0589935735290656,47.1038010948321,0.999999999521496,0.734647144035457,0.177656367179693,0.0818810725384053,0.163971907207938,0.0100021987767876,0.792774542384536
"21",4,0.044680135069455,0.00119519642774552,1.10384521300734,4.50588301730576,0.793593781538034,0.50900419830527,40.8677297672917,2.24873792005866,203.971206560982,11.1070092108496,0.794574752859246,0.772049601457235,23.0083252229919,1.21422211256206,0.455333292210774,5.04461880715584,11.3487543281269,8.40343841530234,1.96190747733801,0.934088482273639,1.82597568598458,0.100473914004026,9.1134610594244,126.050718854175,6.67716000200675,1.51468988597478,21.4918115872028,2.21714005492316,0.0457491180447555,45.9739370586547,1.00000000180507,0.740472318591298,0.172874257751529,0.0823075781669429,0.160896573886975,0.00885329889786874,0.803036246303079
"22",4,0.0325492921352945,0.00085371173410394,0.822527703416585,3.69626904656279,0.665062943075313,0.38951126718198,40.4214946160572,2.00234898406224,206.002786721801,15.6605725640382,1.11206830618184,1.01533736791941,30.8130357385441,1.4592195342464,0.547207325342399,6.74885831661347,8.26752024409811,6.15503133813062,1.40251340686485,0.683202804594762,1.31569103680328,0.0651750420390522,6.70524488569267,129.474100707354,6.84481527469105,1.42402427099784,21.0515524346519,1.91988206193624,0.0356642604332681,45.2527477117369,1.00000000504786,0.744483374394423,0.169641364343286,0.082636968265205,0.159139742582902,0.00788326371678048,0.811034593392917
"23",4,0.0234206997359827,0.00060979409578853,0.611609764939854,2.97167206611635,0.549760525991455,0.29679559821514,40.4418618179666,1.8053149911775,207.322985279661,22.1685421333293,1.57097128673568,1.34992894012568,41.7233705680424,1.77106717670017,0.664150191262564,9.23929160680868,5.94885773397169,4.43968308711656,1.00233421894588,0.492516099249007,0.947176702402698,0.0422817403372364,4.85564938660249,131.877503320734,6.97461465206615,1.35307996983331,20.5494317196931,1.67751356816052,0.0280814259318897,44.8627606232421,1.00000000017349,0.74630849928272,0.168491879272187,0.0827917091581937,0.159219928417191,0.00710753933534448,0.816232225510475
"24",4,0.0166632313032609,0.00043556721127752,0.454554529750474,2.35189079492976,0.447805371920634,0.2258618302377,40.7649894521333,1.63388623967321,208.121009969327,31.5066736941997,2.23571401689062,1.8071669234829,57.0755810245371,2.18784141332956,0.820440529998586,12.9463131127196,4.23246072083401,3.16036177568436,0.713964157141932,0.350560440738544,0.679276448315886,0.0272258243348898,3.46796852818715,133.350758854835,7.06566512034287,1.29025240933924,20.0084408393702,1.48614914472491,0.0223371697469654,44.8974064309681,0.999999992866031,0.746696062076079,0.168687720723335,0.0828266253038204,0.160492084457218,0.00643262299083941,0.81937405499735
