"","convergence","mu","x_C","x_W","C","AA","NT","ATP","rRNA","DNA","p","tau tC","tau MET","tau RNAp","tau DNAp","tau r","v tC","v MET","v RNAp","v DNAp","v r","p tC","p MET","p RNAp","p DNAp","p r","f tC","f MET","f RNAp","f DNAp","f r"
"11",4,0.429986486692374,0.004,0.2,9.69323129079348,12.1444670857445,5.53453724031164,36.638140694902,58.868727929674,8.88876540733135,122.232130233093,0.603248259860789,0.132024213983805,0.213999821409118,0.0978284897870254,0.698038744627254,109.21656756906,105.048609101635,25.3127574985298,3.82204900853112,52.5581642398525,65.8847043340039,13.8689600467354,5.41692558405769,0.373905282396597,36.6876349858996,0.999999999534844,0.961837671618334,0.231766645392417,0.0349951393989423,0.481228859185406
"12",4,0.367064824101458,0.003,0.2,8.7840831195465,10.959541291276,5.45838659875508,36.6378037392159,59.3171460326699,8.78924252895978,124.053797010406,0.796597061098221,0.136015803477937,0.215210340196158,0.0983818698039578,0.71454718321462,93.2344654395355,90.0101375143665,21.7732377746825,3.22622176287768,45.5357851787426,74.2703011621976,12.2428011751762,4.68582590866125,0.317401729434127,32.5374670349366,1.00000000126311,0.965416996855443,0.233532070994763,0.0346033170431488,0.488400775631519
"13",4,0.819084223120268,0.1,0.4,16.1422599185183,23.247765730297,5.61202940264211,36.9403142932781,56.7870086850283,8.95828412214627,106.312338465997,0.0464037122969838,0.11661652132319,0.213033310838225,0.0973866563831884,0.727098298815898,208.047393178666,194.825522753901,46.5133428921003,7.33758919067881,87.0787591605203,9.65417137720029,22.719874728532,9.90889143445774,0.714583277193635,63.3148176486136,1.00000000243271,0.936447798029091,0.223570900334757,0.0352688351265601,0.418552513645658
"14",4,0.695920684414621,0.02,0.4,13.9386808185801,19.7115527057878,5.49474366003396,36.8656963614049,57.7110654075656,8.81258659705947,111.465674150345,0.139211136890951,0.120277682504987,0.214811737122782,0.0981996512561288,0.74169944417117,176.763853633078,167.063637337975,40.16232413673,6.13286129608874,77.5712682434453,24.6074970254865,20.0940271298652,8.6273386146992,0.602244840478125,57.5345665398161,0.999999998821956,0.945123302685814,0.227208918927424,0.0346952228230688,0.438841236812382
"15",4,0.589475396729103,0.01,0.4,12.2285478403043,17.0483204321021,5.39675595585434,36.8168009113519,58.447307793268,8.68737189012335,115.374895148119,0.255220417633411,0.124028358383508,0.216381572432583,0.0989172902548949,0.757582018125637,149.72675075217,142.518322662586,34.4532499491847,5.12099199146372,68.0106620900163,38.2133238578625,17.6763135994116,7.45504839941737,0.506554651212609,51.5236546402153,0.999999999886312,0.951856110751256,0.230107510997118,0.0342022515359187,0.454231870661887
"16",4,0.492172755987998,0.006,0.4,10.7481908667099,14.8086725160679,5.30318161114069,36.781780489289,59.1075707526413,8.56479037949484,118.685813395622,0.409899458623357,0.128238846156771,0.217957512498362,0.099637719999251,0.776011407468542,125.011880026349,119.721913305595,29.091135997083,4.21535648553547,58.4139238756007,51.2423019442883,15.3530000219904,6.34063163767576,0.42000850920281,45.3298712824652,1.00000000004317,0.957684287969512,0.232706971467092,0.0337196471633655,0.467266981872529
"17",4,0.409728684108797,0.004,0.4,9.51653842859169,12.9923758357751,5.21561558290314,36.7578751797609,59.681945084192,8.44747797492173,121.388172482503,0.603248259860789,0.132740271055631,0.219504225030987,0.100344788585594,0.79611385990347,104.071085996626,100.171887229008,24.4534048243995,3.46117403470273,49.7362161776278,62.7807015292871,13.2968434629326,5.3676256753488,0.347310776770192,39.5956910381647,1.00000000223877,0.962533315512032,0.234968287733039,0.0332577873028415,0.477906190875998
"18",4,0.35187140833057,0.003,0.4,8.64625778863986,11.7337805105063,5.14611224739043,36.7437383721357,60.1073521476573,8.3526582600403,123.270100645897,0.796597061098221,0.13669419535786,0.220783675689304,0.100929680315111,0.813979143716987,89.3753377062062,86.3329668013283,21.1500586512177,2.93906162526435,43.3752239193228,71.1961313514249,11.8012154297644,4.66958769006021,0.29663855026434,35.3065276243829,0.999999999890813,0.965959614896168,0.236643118691564,0.0328844813387413,0.485315356873609
"19",4,0.701439246051986,0.1,0.8,15.0348863006818,25.6079973596205,5.11195640911401,37.3625160836136,58.3012931526378,8.27628445199469,104.305065922174,0.0464037122969838,0.118322234098415,0.221684155336746,0.101341328153941,0.909609370848133,178.165568272629,167.619508961402,40.8948151128421,5.80531072611893,73.1636667998527,8.26754377135171,19.8331147787923,9.06573254594281,0.588317899331213,66.5503569267564,0.999999998739516,0.9408075329888,0.229532650207236,0.0325837970550972,0.410649865835333
"20",4,0.607655397426587,0.02,0.8,13.1547165587798,21.8231047465123,5.00010153855257,37.2135525803813,59.1289338125675,8.12454968201517,109.555041083755,0.139211136890951,0.121876023024888,0.223849489271639,0.102331195095606,0.926576507728444,154.344470947911,146.350936429352,35.9300157752861,4.93692646593698,66.5717120298354,21.4864692734911,17.8366700979775,8.04291568081971,0.505201585358459,61.6837844461085,1.00000000001009,0.948209777337733,0.232791078002234,0.0319864160709259,0.431319059384864
"21",4,0.52371538455962,0.01,0.8,11.6557685050131,18.9374181499536,4.90893240802063,37.1094354833021,59.7958137871316,7.99852331248591,113.594108551233,0.255220417633411,0.1255306275531,0.225709566991354,0.103181516338905,0.944864713020667,133.023707781389,126.919402496448,31.315987612583,4.18894971250765,59.4909822436164,33.9503662551108,15.9322722440436,7.06831800394272,0.432222183203958,56.2109298649322,1.00000000077614,0.954111148394201,0.235416589713116,0.0314902492617556,0.447220899808005
